name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Khalkhālī, Muḥammad ibn Muẓaffar, -approximately 1344",author,,,,,,,,human,Muḥammad ibn Muẓaffar Khalkhālī,Q129951598,Q54228
"Zayn al-ʻArab, ʻAlī ibn ʻUbayd Allāh, 14th cent",author,,,human,ʻAlī ibn ʻUbayd Allāh Zayn al-ʻArab,Q121322793,DSNAME7529,Q67815,,,,
"Sukhūmī, ʻAlī ibn Ṣalāḥ al-Dīn, 14th cent",author,,,human,ʻAlī ibn Ṣalāḥ al-Dīn Sukhūmī,Q131690040,DSNAME7477,Q67763,,,,
"Ibn Malak, Muḥammad ibn ʻAbd al-Laṭīf, active 14th century-15th century",author,,,,,,,,human,Muḥammad ibn ʻAbd al-Laṭīf Ibn Malak,Q131386051,Q63958
"Khaṭīb al-Tibrīzī, Muḥammad ibn ʻAbd Allāh, active 1337",author,,,human,Muḥammad ibn ʻAbd Allāh Khatib Al-Tabrizi,Q105062495,DSNAME6332,Q49203,,,,
"Ṭībī, al-Ḥusayn ibn Muḥammad, -1343",author,,,human,al-Ḥusayn ibn Muḥammad Ṭībī,Q16125325,DSNAME7530,Q67816,,,,
"Iṣfahānī, Ismāʻīl ibn Muḥammad, d. 1141",author,,,human,Ismāʻīl ibn Muḥammad Iṣfahānī,Q131690041,DSNAME7478,Q67764,,,,
"Saffārīnī, Muḥammad ibn Aḥmad, 1702 or 1703-1774",author,,http://id.loc.gov/authorities/names/n85212066,,,,,,human,Muḥammad ibn Aḥmad al-Saffārīnī,Q12240064,Q41616
"Ibn al-Athīr, Majd al-Dīn al-Mubārak ibn Muḥammad, 1149-1209",author,,,,,,,,human,Majd ad-Dīn Ibn Athir,Q25468769,Q12438
"Ibn al-Daybaʻ, ʻAbd al-Raḥmān ibn ʻAlī, 1461-1537",author,,,human,ʻAbd al-Raḥmān ibn ʻAlī Ibn al-Daybaʻ,Q6533520,DSNAME7531,Q67817,,,,
