subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Shir ha-yiḥud--Early works to 1800,0,a--v,,Shir ha-yiḥud;Early works,http://id.worldcat.org/fast/1375003;http://id.worldcat.org/fast/1411636,Q75106;Q300,,,
Benedictions--Early works to 1800,0,a--v,,Benedictions;Early works,http://id.worldcat.org/fast/1356049;http://id.worldcat.org/fast/1411636,Q75107;Q300,,,
Bible. Pentateuch.--Aramaic.--Targum Yerushalmi--Early works to 1800,0,a;p--l--s--v,,Bible. Pentateuch;Aramaic language;Early works,http://id.worldcat.org/fast/1808093;http://id.worldcat.org/fast/812667;http://id.worldcat.org/fast/1411636,Q7949;Q67192;Q300,,,
Maʻaśeh merkavah--Early works to 1800,0,a--v,,Maʻaśeh merkavah;Early works,http://id.worldcat.org/fast/1372012;http://id.worldcat.org/fast/1411636,Q75108;Q300,,,
"Rashi, 1040-1105",0,a;d,http://id.loc.gov/authorities/names/n50082616,"Rashi, 1040-1105",http://id.worldcat.org/fast/19837,Q74920,,,
Talmud--Commentaries--History and criticism,0,a--x--x,,"Talmud;Commentaries;Criticism, interpretation, etc.",http://id.worldcat.org/fast/1356431;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411635,Q48130;Q2812;Q177,,,
Alphabet of Ben Sira--Early works to 1800,0,a--v,,Alphabet of Ben Sira;Early works,http://id.worldcat.org/fast/1370359;http://id.worldcat.org/fast/1411636,Q74933;Q300,,,
Talmud. Menaḥot--Commentaries--History and criticism,0,a;p--x--x,,"Talmud. Menaḥot;Commentaries;Criticism, interpretation, etc.",http://id.worldcat.org/fast/1368998;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411635,Q75396;Q2812;Q177,,,
Talmud. Pesaḥim--Commentaries--History and criticism,0,a;p--x--x,,"Talmud. Pesaḥim;Commentaries;Criticism, interpretation, etc.",http://id.worldcat.org/fast/1364280;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411635,Q75339;Q2812;Q177,,,
Talmud. Zevaḥim--Commentaries--History and criticism,0,a;p--x--x,,"Talmud. Zevaḥim;Commentaries;Criticism, interpretation, etc.",http://id.worldcat.org/fast/1361026;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411635,Q75395;Q2812;Q177,,,
Talmud. Bekhorot--Commentaries--History and criticism,0,a;p--x--x,,"Talmud. Bekhorot;Commentaries;Criticism, interpretation, etc.",http://id.worldcat.org/fast/1370713;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411635,Q75398;Q2812;Q177,,,
Talmud. Arakhin--Commentaries--History and criticism,0,a;p--x--x,,"Talmud. Arakhin;Commentaries;Criticism, interpretation, etc.",http://id.worldcat.org/fast/1371647;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411635,Q74915;Q2812;Q177,,,
Talmud. Temurah--Commentaries--History and criticism,0,a;p--x--x,,"Talmud. Temurah;Commentaries;Criticism, interpretation, etc.",http://id.worldcat.org/fast/1372114;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411635,Q75399;Q2812;Q177,,,
