title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Ḥidushim ʻal parashiyot ha-shavuʻa,חדושים על פרשיות השבוע,,,Torah commentary,Q44107,,
Me menuḥot; ḥeleḳ shelishi,מי מנוחות,,,Hebrew texts,Q44123,,
Segulot; sefer refuʼah,סגולות,Segulot,סגולות,Segulot,Q76014,,
Ḥupat Eliyahu; ṿe-or ʻolam,חופת אליהו,,,Hebrew texts,Q44123,,
Shirah ʻal derekh ha-ḳabalah /,שירה על דרך הקבלה,,,Hebrew texts,Q44123,,
Sefer ʻets ḥayim /,ספר עץ חיים,,,Hebrew texts,Q44123,,
"Liḳuṭim; kolel: derashot, tefilot, segulot, keniʻot ṿe-ʻod",לקוטים,,,Tefilot,Q75987,,
Sefer naftali; Naftule Elohim niftalti /,ספר נפתלי,,,Hebrew texts,Q44123,,
Nagid u-metsaṿeh,נגיד ומצוה,,,Hebrew texts,Q44123,,
"Sefer Yetsirah; ʻim perush ha-Rabad, Ramban, Rasag ṿe- Moshe Butril",ספר יצירה,Sefer Yeẓirah,ספר יצירה,Sefer Yeẓirah,Q76007,,
Perush sefer Yetsirah /,פרוש ספר יצירה,,,Sefer Yeẓirah,Q76007,,
Ḥokhmat ha-ḳabalah,חכמת הקבלה,,,Hebrew commentary,Q75988,,
Kelal eḥad me-ʻen ha-ḳabalah,כלל אחד מעין הקבלה,Kabalah,קבלה,Kabbalistic texts,Q39650,,
Mikveh (ritual bath) /,מקוה,,,Hebrew texts,Q44123,,
Collection of letters [manuscript,,,,Letters,Q5068,,
Booklist,,,,,,Book list,Q39470
Goralot; shel Pazar ha-ḥozeh,גורלות,Goralot,גורלות,Divination texts,Q27675,,
Haftarot; Nasʹo-Pinḥas,הפטרות,Haftarot,הפטרות,Haftarah,Q44119,,
Haftarot; Nasʹo-Masʻe,הפטרות,Haftarot,הפטרות,Haftarah,Q44119,,
Haftarot; ḳeṭʻa,הפטרות,Haftarot,הפטרות,Haftarah,Q44119,,
Ḥidushim ṿe-sheʼelot u-teshuvot; ʻal Shulḥan ʻarukh Yore Deʻah,חדושים ושאלות ותשובות,Responsa,שאלות ותשובות,Responsa,Q75989,,
Ḥidushim; ʻal Shulḥan ʻarukh,חדושים,Shulḥan ʻarukh (commentaries),שולחן ערוך (פרשנות),Commentary on Shulḥan ʻarukh;Legal texts,Q76016;Q44123,,
Goral ha-ḥol,גורל החול,,,Divination texts,Q27675,,
Ohel Daṿid,אהל דוד,,,Hebrew texts,Q44123,,
Asṭrologyah; keṭʻa,אסטרולוגיה,,,Astrological text,Q20378,,
