File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
20250313-subjects-penn-marcxml-combined.csv,Jews--Persecutions,fast,a--x,http://id.worldcat.org/fast/983322,,,,Jews--Persecutions,http://id.worldcat.org/fast/983322,Q4184
20250313-subjects-penn-marcxml-combined.csv,"Judaism--History--Medieval and early modern period, 425-1789",0,a--x--y,http://id.loc.gov/authorities/subjects/sh85070851,,,,Judaism;History;425-1789,http://id.worldcat.org/fast/984280;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355929,Q4197;Q6879;Q4310
20250313-subjects-penn-marcxml-combined.csv,"Medieval and early modern period, 425-1789",fast,a,,425-1789,http://id.worldcat.org/fast/1355929,Q4310,,,
20250313-subjects-penn-marcxml-combined.csv,Trials (Heresy)--Spain,0,a--z,,,,,Trials (Heresy);Spain,http://id.worldcat.org/fast/1156341;http://id.worldcat.org/fast/1204303,Q4157;Q343
20250313-subjects-penn-marcxml-combined.csv,Spain--Church history--15th century,0,a--x--y,,,,,Spain;Church history;Fifteenth century,http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/860740;http://id.worldcat.org/fast/923962,Q343;Q38895;Q154
20250313-subjects-penn-marcxml-combined.csv,Zaragoza (Spain)--History--Sources,0,a--x--v,,,,,Spain--Zaragoza;History;Sources,http://id.worldcat.org/fast/1204605;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,Q4172;Q6879;Q2769
20250313-subjects-penn-marcxml-combined.csv,Privileges and immunities--Italy--Amalfi,0,a--z--z,,,,,Privileges and immunities;Italy--Amalfi,http://id.worldcat.org/fast/1077674;http://id.worldcat.org/fast/1204570,Q38630;Q8013
20250313-subjects-penn-marcxml-combined.csv,Amalfi (Italy)--History--15th century,0,a--x--y,,,,,Italy--Amalfi;History;Fifteenth century,http://id.worldcat.org/fast/1204570;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,Q8013;Q6879;Q154
20250313-subjects-penn-marcxml-combined.csv,Italy--Amalfi,fast,a--z,http://id.worldcat.org/fast/1204570,,,,Italy--Amalfi,http://id.worldcat.org/fast/1204570,Q8013
20250313-subjects-penn-marcxml-combined.csv,Weapons--Law and legislation--Italy--Florence,0,a--x--z--z,,,,,Weapons--Law and legislation;Italy--Florence,http://id.worldcat.org/fast/1173015;http://id.worldcat.org/fast/1204699,Q4280;Q3604
20250313-subjects-penn-marcxml-combined.csv,Criminal law--Italy--Florence,0,a--z--z,,,,,Criminal law;Italy--Florence,http://id.worldcat.org/fast/883328;http://id.worldcat.org/fast/1204699,Q4291;Q3604
20250313-subjects-penn-marcxml-combined.csv,Weapons--Law and legislation,fast,a--x,http://id.worldcat.org/fast/1173015,,,,Weapons--Law and legislation,http://id.worldcat.org/fast/1173015,Q4280
20250313-subjects-penn-marcxml-combined.csv,Penance (Canon law),0,a,http://id.loc.gov/authorities/subjects/sh85099369,,,,Penance (Canon law),http://id.worldcat.org/fast/1056824,Q182
20250313-subjects-penn-marcxml-combined.csv,Penance (Canon law),fast,a,http://id.worldcat.org/fast/1056824,,,,Penance (Canon law),http://id.worldcat.org/fast/1056824,Q182
20250313-subjects-penn-marcxml-combined.csv,Usury--Early works to 1800,0,a--v,,,,,Usury;Early works,http://id.worldcat.org/fast/1163232;http://id.worldcat.org/fast/1411636,Q309;Q300
20250313-subjects-penn-marcxml-combined.csv,"Medicine, Greek and Roman--Early works to 1800",0,a--v,,,,,"Medicine, Greek and Roman;Early works",http://id.worldcat.org/fast/1015251;http://id.worldcat.org/fast/1411636,Q217;Q300
20250313-subjects-penn-marcxml-combined.csv,"Medicine, Greek and Roman",fast,a,http://id.worldcat.org/fast/1015251,,,,"Medicine, Greek and Roman",http://id.worldcat.org/fast/1015251,Q217
