title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
"Part of a collection of liturgical poems, probably for Yom Kippur",,Ma.ḥzor,,Maḥzor,Q3712,,
Maʻaśeh taluy,מעשה תלוי,,,Hebrew text,Q75984,,
Two rahiṭim,,,,Hebrew text,Q75984,,
From a Rabbinic treatise in Judeo-Arabic on laws of inheritance; prohibitions against robbery and oppression,,,,Legal text,Q8041,,
"Midrash David on Genesis, colophon",,,,Book of Genesis;Torah,Q7274;Q42434,,
Proverbs 31:20-Job 1:18,,Bible,,Book of Proverbs;Book of Job;Bible,Q20508;Q20456;Q661,,
Tafsīr to Exodus III:16-IV:7,"תפסיר לשמות ג:ט""ז-ד:ז",,,Book of Exodus;Torah,Q20415;Q42434,,
Tukus al-din /,,,,Aramaic text,Q76024,,
Commentary on Ezekiel 1:21-24,,,,Torah commentary,Q44107,,
Masoretic lists of unique Biblical vocalizations,,,,Orthographical text,Q76599,,
Meḳitse nirdamim,,,,,,Meḳitse nirdamim,Q3709
Dirges for the Ninth of Av,,,,Lamentations,Q75996,,
Maḥazor for Rosh ha-Shanah,,Maḥzor,,Maḥzor,Q3712,,
Student's notebook,,,,Notebook,Q5488,,
Seliḥah,,,,Seliḥot,Q76013,,
Rabbanite polemic against Karaism and Christianity,,,,Polemics,Q18422,,
Classified list of angels' names,,,,List of names,Q7419,,
Copy of a letter to Samuel ha-Nagid,,,,Letter,Q1454,,
"Letter to Abraham ben Nathan, ""the Seventh""",,,,Letter,Q1454,,
Kitāb fi al-Sharaʾiʻ(13-16),,Kitāb fi al-Sharaʾiʻ,,Legal text,Q8041,,
Lists of prospective contributors,,,,List of names,Q7419,,
"Part of a prayer book for the Evening Service, Sabbath eve",,Arvit (Sabbath),,Prayer book,Q1486,,
Manuscript leaf from an Ashkenazic maḥzor for Pesaḥ,,,,,,Maḥzor,Q3712
Yotser for the Sabbath of the reading of Nitsavim (Devarim 29:9,,,,Yotserot,Q76600,,
Genealogy of the Exilarchs to David and Adam,,,,Bible genealogies,Q800,,
Lamentation for the Ninth of Av,,Kinot,,Lamentations,Q75996,,
Midrash on Psalm 62,,,,Commentary on Psalms,Q20442,,
"Lamentations rabbah, in Hebrew and Judeo-Malayalam translation",איכה רבתי עם תרגום מלאיאלאם יהודית,Midrash rabbah,מדרש רבה,Lamentations,Q75996,,
"Letter to Abu'l-ʹIz ben Bishr, Fustat, from his mother",,,,Letter,Q1454,,
"Ṭur Yoreh deʻah, Hilkhot ḳeriʾiah, simanim 340 ; Hilkhot ḳevurah siman 356-361",,Hilkhot ḳeriʾah,,Hebrew text,Q75984,,
"Part of Ibn Gabirol's Keter malkhut, paragraphs 11-15",,Keter malkhut,,Hebrew text,Q75984,,
Part of a collection of Seliḥot,,Seliḥot,,Seliḥot,Q76013,,
Sarah al-Asaṭir,,Asāṫīr,,Hebrew text,Q75984,,
"Proverbs 30:27-31:9, with Masorah parva",,Bible,,Book of Proverbs;Bible,Q20508;Q661,,
Critical treatise on Tafsir Genesis 1:1-4,,,,Book of Genesis;Torah,Q7274;Q42434,,
Sirr al-Kulub /,,,,Aramaic text,Q76024,,
Judeo-Arabic medical treatise,,,,Medical texts,Q817,,
Megilat ha-Śaṭan ha-yaduʹa,,,,Hebrew text,Q75984,,
"Prayer book, incipit ; eighteen benedictions for the New Moon",,Musaf (Rosh hodesh),,Prayer book,Q1486,,
Ḳerovah for Shavuot,,Maḥzor,,Maḥzor,Q3712,,
Grocer's accounting book,פנקס של בעל מכולת,,,Accounts,Q7851,,
"Marriage contract of Shimʹah daughter of Daud, a virgin",,,,Ketubah,Q76000,,
Account note page of an India trader,,,,Accounts,Q7851,,
KItaāb al-Su'alat̄,,,,Aramaic text,Q76024,,
