holding_institution,shelfmark,url
kansas,MS A10,https://archive.org/details/MSA10_30
kansas,MS A15,https://archive.org/details/MSA15_30
kansas,MS A16,https://archive.org/details/MSA16_30
kansas,MS A17,https://archive.org/details/MSA17_30
kansas,MS A18,https://archive.org/details/MSA18_30
kansas,MS A19,https://archive.org/details/MSA19_30
kansas,MS A20,https://archive.org/details/MSA20_30
kansas,MS A28,https://archive.org/details/MSA28_30
kansas,MS A30,https://archive.org/details/MSA30_30
kansas,MS A35,https://archive.org/details/MSA35_30
kansas,MS A6,https://archive.org/details/MSA6_30
kansas,MS A7,https://archive.org/details/MSA7_30
kansas,MS B110,https://archive.org/details/MSB110_30
kansas,MS B15,https://archive.org/details/MSB15_30
kansas,MS B16,https://archive.org/details/MSB16_30
kansas,MS B17,https://archive.org/details/MSB17_30
kansas,MS B18,https://archive.org/details/MSB18_30
kansas,MS B19,https://archive.org/details/MSB19_30
kansas,MS B20,https://archive.org/details/MSB20_30
kansas,MS B21,https://archive.org/details/MSB21_30
kansas,MS B22,https://archive.org/details/MSB22_30
kansas,MS B44,https://archive.org/details/MSB44_30
kansas,MS B61,https://archive.org/details/MSB61_30
kansas,MS B63,https://archive.org/details/MSB63_30
kansas,MS B74,https://archive.org/details/MSB74_30
kansas,MS B89,https://archive.org/details/MSB89_30
kansas,MS B90,https://archive.org/details/MSB90_30
kansas,MS B91,https://archive.org/details/MSB91_30
kansas,MS B92,https://archive.org/details/MSB92_30
kansas,MS C105,https://archive.org/details/MSC105_30
kansas,MS C126,https://archive.org/details/MSC126_30
kansas,MS C131,https://archive.org/details/MSC131_30
kansas,MS C143,https://archive.org/details/MSC143_30
kansas,MS C145,https://archive.org/details/MSC145_30
kansas,MS C147,https://archive.org/details/MSC147_30
kansas,MS C158,https://archive.org/details/MSC158_30
kansas,MS C160,https://archive.org/details/MSC160_30
kansas,MS C164,https://archive.org/details/MSC164_30
kansas,MS C189,https://archive.org/details/MSC189_30
kansas,MS C18,https://archive.org/details/MSC18_30
kansas,MS C195,https://archive.org/details/MSC195_30
kansas,MS C196,https://archive.org/details/MSC196_30
kansas,MS C198,https://archive.org/details/MSC198_30
kansas,MS C19,https://archive.org/details/MSC19_30
kansas,MS C20,https://archive.org/details/MSC20_30
kansas,MS C210,https://archive.org/details/MSC210_30
kansas,MS C21,https://archive.org/details/MSC21_30
kansas,MS C236,https://archive.org/details/MSC236_30
kansas,MS C243,https://archive.org/details/MSC243_30
kansas,MS C246,https://archive.org/details/MSC246_30
kansas,MS C247,https://archive.org/details/MSC247_30
kansas,MS C24,https://archive.org/details/MSC24_30
kansas,MS C251,https://archive.org/details/MSC251_30
kansas,MS C25,https://archive.org/details/MSC25_30
