title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,standard_title
Pattern-books of bridles and harnesses,,,,Pattern-books,Pattern-books
Pawilhar,,,,Pawilhar,Pawilhar
Payment receipt,,,,,
Payment request,,,,,
Permission to Pedro de Anaya to erect a house,,,,,
Perpetual calendar with Metonic cycle,,,,Calendar,Calendar
Persii opera,,,,,
Pesiḳta rabata,פסיקתא רבתא.,Pesikta rabbati.,פסיקתא רבתי.,Pesikta rabbati,Pesikta rabbati
Petition for guardianship,,,,,
Petrino Blassori power of attorney,,,,Power of attorney,Power of attorney
Piccolomini family land agreement,,,,Family documents,Family documents
Piero di Binduccio power of attorney,,,,Power of attorney,Power of attorney
Pietro Lamberto legal decision,,,,Legal documents,Legal documents
Pietro Parenzi notarial document,,,,Notarial documents,Notarial documents
Pietro Partini deed,,,,Deed,Deed
Pistoia notarial documents,,,,Notarial documents,Notarial documents
Podestà of Fucecchio order,,,,,
Poems on monastic life,,,,Poetry,Poetry
Poesias y obras,,,,Poetry,Poetry
Poetical miscellany,,,,Poetry,Poetry
Pontifical bifolium,,,,Pontifical,Pontifical
Pope Adrian VI bull,,,,Bull,Bull
Pope Alexander VI bull,,,,Bull,Bull
Pope Clement VII bull,,,,Bull,Bull
Pope Gregory XIII papal brief,,,,Bull,Bull
Pope Gregory XIV bull,,,,Bull,Bull
Pope Julius II bull,,,,Bull,Bull
Pope Leo X brief,,,,,
Pope Leo X bull,,,,Bull,Bull
Pope Paul III bull,,,,Bull,Bull
Pope Pius III agreement,,,,,
Pope Pius III bull,,,,Bull,Bull
Pope Pius III judgment,,,,,
Pope Pius III judgment review,,,,,
Pope Pius IV brief,,,,,
Pope Sixtus V brief,,,,,
Pope Sixtus V indulgence,,,,,
Porcelii poetae clarissimi et oratoris Ortographia,,,,Orthographia,Orthographia
Portolan atlas,,,,Atlas,Atlas
Power of attorney,,,,"Power of attorney
","Power of attorney
"
Pratica deli devoti,,,,,
Prayer book and processional,,,,Prayerbook,Prayerbook
Prayers and commentary,,,,Prayerbook,Prayerbook
Prenosticatio,,Prognosticatio,,Prognosticatio,Prognosticatio
Privilege of citizenship,,,,,
Privileges for the Eremite Friars of St. Augustine,,,,,
Privilegia et libertates,,,,,
Proceedings of the inquisition under the podestà of Perugia and the administration of Alessandro Zeno,,,,,
Processi contra il vescovo di Valva del 1500 ... etc,,,,,
Processi per la signora Francesca di Vincenzo de' Medici... etc,,,,,
Processional,,,,Processional,Processional
"Processo contra Ysabel Rodriguez, natural dela Salceda en Portugal, muger de Manuel Diaz, mercader de Mexico ... etc",,,,,
Processus? honorabilis procuratoris fiscalis heretice et apostatice pravitatis Archiepiscopatus civitatis Ceserauguste contra Johannem de Gurrea Pelliparinum habitatorem ville Exee militum super causa fidei,,,,,
Procès criminel contre Girard Didelot blasphémateur (1569) (Dossier original),,,,,
Prolegomena in Aristotelem,,,,,
Property inventory of Bivigliano de' Medici,,,,,
Property survey,,,,,
Proprium de tempore ... etc,,,,Proprium de tempore,Proprium de tempore
Pros mathēmatikous ... etc,,,,Pros mathēmatikous,Pros mathēmatikous
Provinciale secundum provincias,,,,,
Psalter bifolium,,Bible.,,Bible,Bible
Psalter fragment,,Bible.,,Bible,Bible
Psalter leaf,,Bible.,,Bible,Bible
Psalterium cum canticis,,,,Psalter,Psalter
Puccino Ferri deed,,,,,
Pupilla oculi,,,,Pupilla oculi,Pupilla oculi
Quaternus protocollorum,,,,,
Questions on Aristotle's Physics,,,,Commentary on Aristotle's Physics,Commentary on Aristotle's Physics
Racccolti del entrata delle gabelle delle bestie di Firenze,,,,,
Raccolta di celebri arcani chimici da diversi famosi filosofi dati in luce et esperimentati,,,,,
Raginamento d'amore /,,,,Ragionamenti d'amore,Ragionamenti d'amore
Ratiffication pour noble Gaolon Garnier dit de la Galliniere,,,,,
Rationale divinorum officiorum,,,,Rationale divinorum officiorum,Rationale divinorum officiorum
Rawḍat al-adhhān fī maʻrifat tashrīḥ badan al-insān,روضة الاذهان في معرفة تشريح بدن الانسان.,Tashrīḥ-i Manṣūrī,تشريح منصورى,Tashrīḥ-i Manṣūrī,Tashrīḥ-i Manṣūrī
Rechnung vom Schiffmeister Ampt,,,,,
"Recognoyssenssas et fieux novels appertenens al noble Joham de Vernoils, seigneur de Peyrat et conseigneur de Pompinhan an los locs de Pompinhan et de Gresolas",,,,Notarial documents,Notarial documents
Reconoychenssas de Salelas e de Lemosis,,,,,
Record of the heresy trial of Johann von Wesel,,,,,
"Records of agreements between members of the Bragadin family, regarding property and obligations",,,,Family documents,Family documents
Records of lawsuit,,,,,
"Records of the Priorista of the city of Florence, 1282-1509",,,,,
Regensburg indulgence,,,,,
Register of writs,,,,Writs,Writs
Registre des marches passes pour la reconstruction et les restaurations du chateau de Cancon,,,,,
Registro del peage d'Arle,,,,,
"Registro di lettere di monsignore archivescovo di Rossana che fu poi Papa Urbano Settimo della sua nunciatura di Spagna sotto Pio Quarto, Pio Quinto, e Gregorio Decimoterzo",,,,,
Registrum ordinis Cysterciensis,,,,,
Regolatori delle entrate e delle uscite order,,,,,
Regulae artificialis memoriae,,,,,
Regulae de longis et brevibus syllabis,,,,,
Regulations for mills and bakeries,,,,,
Relacion de la manera et forma que tienen en España en su justicia civil y criminal,,,,,
"Relatione di Messer Vincenzo Fidele ritornato ambasciatore per la serenissima signoria di Venetia dal Signor Duca di Fiorenza, del Conte Filippo Maria Anguissola",,,,,
Relatione di Savoia del Clarissimo Gio. Cornero al tempo del Duca Emanuel Filiberto,,,,,
Renaissance miscellany,,,,Miscellany,Miscellany
Rental agreement for property in Bonana,,,,,
Repartimientto de las tierras de Écija quando segano delos moros,,,,,
"Reports, letters, discourses and treaties",,,,,
Requesens family papers,,,,Family documents,Family documents
Reshut le-nishmat le-Fesah leha-R. Binyamin,רשות לנשמת לפסח לה״ר בנימין.,Siddur (Roman rite).,סידור.,Siddur,Siddur
Ricettario,,,,Recipes,Recipes
Rime burlesche,,,,Poetry,Poetry
"Roman de Troie, fragment",,Roman de Troie.,,Roman de Troie,Roman de Troie
Roman de la Rose,,Roman de la rose,,Roman de la rose,Roman de la rose
Roman-- des sept sages de Rome,,,,Seven sages of Rome,Seven sages of Rome
Rule,,,,,
Rule of the Heilig-Geist-Spital in Eichstätt,,,,,
"Rule, statutes, and customs of the Teutonic Order",,,,,
Rumori di Napoli in tempo del governo del vicere Don Pietro di Toledo,,,,,
Sacramental handbook,,,,,
Sacramentale,,,,,
Sale records,,,,,
Samminiati notarial document excerpts,,,,Notarial documents,Notarial documents
Sancti Augustini opera quaedam,,,,,
Sandra de Bascoli power of attorney,,,,Power of attorney,Power of attorney
Sangalletti family accounts,,,,Family documents,Family documents
Scartafaccio di Bartolomeo Corsini di fiera di Piacenza,,,,,
Schedule of tariffs on goods entering the city of Siena,,,,,
Scholia ex Georgicorum P. Vergilii carminibus undique excerpta,,,,,
School miscellany,,,,School miscellany,School miscellany
Schwebell zuem Pulffer unnd Feuuerwercken zue Beraitten,,,,,
Seals of the planets,,,,,
Sebastiano Benivieni will,,,,Will,Will
Sefer ha-Ḳanon ... etc,,Qānūn fī al-ṭibb.,قانون في الطب.,Qānūn fī al-ṭibb,Qānūn fī al-ṭibb
Sefer ha-Ḳanon ... etc,,Qānūn fī al-ṭibb.,,Qānūn fī al-ṭibb,Qānūn fī al-ṭibb
Sefer ha-seder ha-ḳaṭan ... etc,,Qānūn fī al-ṭibb.,,Qānūn fī al-ṭibb,Qānūn fī al-ṭibb
Selections from the Ḥadīth,,,,Ḥadīth,Ḥadīth
Sentencia contra el Almine,,,,,
Sentenzia arbitraria ... por los conzejos de Quintana? y Valdenozeda y Lapuente,,,,,
"Sentenzia arbitraria ... sobre el monte de Axzaedo, y otras cosas ano 1459 ante Juan Alfonso de Bene",,,,,
Sermone,,,,Sermons,Sermons
Sermones a cena Domini usque ad vigiliam Paschae,,,,Sermons,Sermons
Sermones anonymi,,,,Sermons,Sermons
"Sermones de tempore, sanctis et variis causis",,,,Sermons,Sermons
Sermones de tribus partibus penitencie ... etc,,,,Sermons,Sermons
Sermones dominicales,,,,Sermons,Sermons
Sermones dominicales per circulum anni,,,,Sermons,Sermons
Sermones varii,,,,Sermons,Sermons
Sermons,,,,Sermons,Sermons
Sette salmi penitenziali ... etc,,Penitential Psalms.,,Penitential Psalms,Penitential Psalms
Sharḥ Fuṣūl Buqurāṭ. Masāʼil Ḥunayn ibn Isḥāq,شرح فصول بقراط. مسائل حنين بن اسحاق.,Sharḥ Fusūl Ibuqrāṭ,شرح فصول ابقراط,Sharḥ Fusūl Ibuqrāṭ,Sharḥ Fusūl Ibuqrāṭ
Sharḥ Jighmīnī fī fann al-hayʼah,شرح جغميني في فن الهيئه.,Sharḥ al-Jaghmīnī,شرح الجغميني,Sharḥ al-Jaghmīnī,Sharḥ al-Jaghmīnī
Sharḥ al-Mulakhkhaṣ fī al-hayʼah,شرح الملخص في الهيئة.,Sharḥ al-Jaghmīnī,شرح الجغميني,Sharḥ al-Jaghmīnī,Sharḥ al-Jaghmīnī
Sharḥ-i Zīj Gūrgānī,شرح زیج گورگانی.,,,,
Shāh Qāsim wa-ghayruhu min taṣānīfih,شاه قاسم وغيره من تصانيفه.,Poems,,Poetry,Poetry
Sidur =,סדור.,Siddur (Italian),,Siddur,Siddur
Signoria order,,,,,
Simone di Nicholo Petroni petition,,,,,
Simone di San Miniato will,,,,Will,Will
Sirr al-asrār,سر الاسرار.,Secretum secretorum.,,Secretum secretorum,Secretum secretorum
"Societas Sanctae Annae per Poloniam, Lithuaniam, Russiam, et alias sancti? regis Poloniae ditiones instituta",,,,,
Sommaria relatione et breve avviso della gran corte di Roma solo per istruttione di nuovo cardinale,,,,,
Somme le roi,,Somme des vices et vertus,,Somme le roi,Somme le roi
Spanish Forger illumination,,,,Forgery,Forgery
Specchio de coscienza,,Omnis mortalium cura.,,Omnis mortalium cura,Omnis mortalium cura
Speculum monachorum ... etc,,,,Speculum monachorum,Speculum monachorum
Spiritualis philosophia,,,,De anima,De anima
Splendor solis oder Sonnen Glantz,,,,Splendor solis,Splendor solis
Statements from the Council of Basel,,,,,
Statuta,,,,Statutes,Statutes
Statuta Amelie,,,,Statutes,Statutes
Statuta Ecclesiae Tullensis,,,,Statutes,Statutes
Statuta civitatis Castelli,,,,Statutes,Statutes
"Statuta communitatis Viglani edita per homines et communitatem dicti loci Viglani, diocesis et capitaneatus Astensis",,,,Statutes,Statutes
Statuta et ordinamenta communis et hominum Montis Dolii,,,,Statutes,Statutes
Statuta sive capitula loci Castini,,,,Statutes,Statutes
Statutes,,,,Statutes,Statutes
Statutes and constitution of the Ordre de Saint-Michel,,,,Statutes,Statutes
Statutes and membership lists,,,,Statutes,Statutes
Statutes and ordinances,,,,Statutes,Statutes
Statuti del Bosco,,,,Statutes,Statutes
Statuti della Dogana di Livorno etc,,,,Statutes,Statutes
Stefano Orlandini power of attorney,,,,Power of attorney,Power of attorney
Stefano d'Andrea appointment,,,,,
"Storia d'Ungheria, dalle origini al 1539",,,,,
Strozzi family power of attorney,,,,Power of attorney,Power of attorney
Summa,,,,,
Summa aurea in quattuor libros sententiarum,,Summa aurea,,Summa aurea,Summa aurea
Summa de vitiis,,Summa de vitiis,,Summa de vitiis,Summa de vitiis
"Summa delas coronicas de Vizcaya y algunos otros linajes de aquel señorio, la qual yo Castilla Rey de armas del susodicho Emperador y Rey nostro señor halle escritas en un quaderno, escrito ano M.cccc.iiii (corrected in later hand to fortè anno MCCCCC.IIII)",,,,,
Summa dictaminis ...etc,,,,Summa dictaminis,Summa dictaminis
Summa metrica,,,,Summa metrica,Summa metrica
Summa totius logicae,,Summa logicae,,Summa logicae,Summa logicae
Summula de Summa Raymundi,,,,Summa,Summa
Summula de casibus,,,,,
Summula de summa Raymundi,,,,Summa,Summa
Survey of property in Tarn,,,,,
Susanna family ledger,,,,Family documents,Family documents
Taddea Salamon will,,,,Will,Will
Tafsīr al-Taḥrīr,تفسير التحرير.,,,,
Taḥrīr Uṣūl al-handasah wa-al-ḥisāb,تحرير اصول الهندسة والحساب.,,,,
Taḥṣīl al-munā fī sharḥ Talkhīṣ Ibn al-Bannāʼ,تحصيل المنا في شرح تلخيص ابن البناء.,,,,
Tailles de Blois,,,,,
Tax payment receipt,,,,,
Tax table,,,,,
Taxe cancellarie apostolice,,,,,
Terentii Comedie,,,,Comedies,Comedies
Terms of payment,,,,,
Teseide,,,,Teseida,Teseida
Texts for the Commemorative Office of the Virgin Mary and notated Office of the Dead,,,,Book of hours,Book of hours
Textus tertius libri sententiarum,,Libri quattuor sententiarum,,Libri quattuor sententiarum,Libri quattuor sententiarum
The names and armes of all the nobilitie who were in England at the tyme of King William the Conqueror,,,,,
Theologia naturalis,,,,Theologia naturalis,Theologia naturalis
Theological miscellany,,,,Theological miscellany,Theological miscellany
Three devotional works,,,,Religious miscellany,Religious miscellany
Three itineraries,,,,,
Titus Flavius et alii opera tragica manuscripta,,,,,
Tommaso di Aringhello power of attorney,,,,Power of attorney,Power of attorney
Tommaso di San Miniato will,,,,Will,Will
Topica ... etc,,,,Topics,Topics
"Torah with Masorah, and haftarot",,Bible.,,Bible,Bible
Tractato breve della via della salute ... etc,,,,,
"Transaction dated July 4, 1447, relating to the disagreement between the clergy of the cathedral church of Arles and the vicar Dr. Jean Albalet",,,,,
Trattato dei peccati,,Omnis mortalium cura.,,Omnis mortalium cura,Omnis mortalium cura
Trattato dei peccati mortali,,,,Omnis mortalium cura,Omnis mortalium cura
Treatise on practical mathematical calculation,,,,,
Treatise on the seven deadly sins,,,,,
Treatises on astronomical instruments,,,,,
Tribunal arbitration,,,,,
Tribunal nomination of guardian,,,,,
Tribunal notarial document,,,,Notarial documents,Notarial documents
Triumpho de la morte contra li magni et valenti homini de Italia,,,,Triumpho de la morte,Triumpho de la morte
Tsurat ha-arets ... etc,,,,,
Two letters concerning the territories of the late Amaury de Sevrac,,,,,
Uguccioni and Marucelli miscellany,,,,Miscellany,Miscellany
Uguccioni family papers,,,,Family documents,Family documents
Università de' mercanti minutes,,,,,
Vanne de' Medici power of attorney,,,,Power of attorney,Power of attorney
Ventimiglia family papers,,,,Family documents,Family documents
Ventura di Baronto will,,,,Will,Will
Verse chronicle of Metz,,,,,
Versus reperti Hierosolimae in capella sepulchri domini nostri Jesu Christi,,,,,
Viridarium consolationis,,,,Viridarium consolationis,Viridarium consolationis
Vita Sanctae Katharinae de Alexandria,,,,Life of Catherine of Alexandria,Life of Catherine of Alexandria
Vita di Bartolommeo di Meo di Taldo di Valore Rustichelli... /,,,,,
"Vita, morte e miracoli di Bartolomeo Garosi detto Brandano e volgarmente detto il Pazzo di Gesù Christo ... etc",,,,,
Vitae episcoporum et patriarcharum aquileiensium,,,,Vitae episcoporum et patriarcharum aquileiensium,Vitae episcoporum et patriarcharum aquileiensium
Vittoria Piccolomini dowry arrangement,,,,,
Von den Tugenden ... etc,,,,,
Wedding regulations,,,,,
Welscher Krieg etwas zamengeclaupter Neuzeytt ... etc,,,,,
Works on civil law,,,,,
XVI libri reductorii moralis in quo moralizantur omnes figure biblie et cetera,,Reductorium morale,,Reductorium morale,Reductorium morale
"Yemenite manuscript consisting of Va-yiḳra, Ba-midbar, Devarim","חומש תימני כולל ויקרא, במדבר, דברים.",Bible.,תורה.,Bible,Bible
Yesod ʻolam,,,,Yesod ʻolam,Yesod ʻolam
Ymbenttario delos bienes de Don Diego de Anaya,,,,,
Yoreh deʻah,יורה דעה :,Yoreh deʻah,יורה דעה,Yoreh deʻah,Yoreh deʻah
Ystoria gestorum Alexandri pueri magni,,,,,
al-Bayān wa al-tidhkār fī ṣinʻat ʻamal al-ghubār,البيان و التذكار في صنعة عمل الغبار.,,,,
al-Hidāyah,الهداية.,Hidāyah fī sharḥ al-Bidāyah,هداية في شرح البداية,Hidāyah fī sharḥ al-Bidāyah,Hidāyah fī sharḥ al-Bidāyah
al-Kullīyāt,الكليات.,Qānūn fī al-ṭibb.,قانون في الطب.,Qānūn fī al-ṭibb,Qānūn fī al-ṭibb
al-Mulakhkhaṣ fī al-hayʼah,الملخص في الهيئة.,Sharḥ al-Jaghmīnī,شرح الجغميني,Sharḥ al-Jaghmīnī,Sharḥ al-Jaghmīnī
al-Qāmūs al-muḥīṭ,القاموس المحيط.,,,,
al-Thānī min al-ṣiḥāḥ,الثاني من الصحاح.,Ṣiḥāḥ.,صحاح.,Ṣiḥāḥ,Ṣiḥāḥ
ʻIr siḥon,,,,,
