row_index,workflow_history,place_as_recorded,authorized_label,structured_value
45,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.832971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, France",Belgium|France,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/1000070
46,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.832971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, Hainault","Belgium;Hainaut, Province de",http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7007877
47,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.832971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, Liège",Belgium|Liège,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7007945
48,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.832971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, Metz",Belgium|Metz,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7008418
49,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.832971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, Mosan",Belgium|Mosan,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7030259
50,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.832971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, Northern Belgium",Belgium,http://vocab.getty.edu/tgn/1000063
51,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.482994100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.832971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, Southeast Low Countries (?)",Belgium|Low Countries,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7029439
52,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.483990Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.832971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, Southern Low Countries",Belgium|Low Countries,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7029439
53,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.483990Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.832971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, Southern Low Countries (Huy)",Belgium|Low Countries|Huy,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7029439|http://vocab.getty.edu/tgn/7007896
54,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.483990Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.832971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium, Walloon Brabant",Belgium|Brabant Wallon,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/7018238
55,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.483990Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.832971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium; France, Belgium/northern France",Belgium|France|Northern France,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/1000070|http://vocab.getty.edu/tgn/4004036
56,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.483990Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.832971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium; France, France or Belgium",Belgium|France,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/1000070
57,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.176980100Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.483990Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.832971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.174338900Z","Belgium; France, Northern France or Belgium",Belgium|France|Northern France,http://vocab.getty.edu/tgn/1000063|http://vocab.getty.edu/tgn/1000070|http://vocab.getty.edu/tgn/4004036
