title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid,authorized_label_add,ds_qid_add
Qaṣīdahā nafá al-ṣifāt ʻanhu taʻlālá dar madḥ-i Amīr-i Muʾminān /,قصىدها نفى الصفات عنه تعلالى در مدح امىر مؤمنان /,,,,,Qaṣīdahā nafá al-ṣifāt ʻanhu taʻlālá dar madḥ-i Amīr-i Muʾminān,
Nubz̲ah dar vājibāt va muhimmāt az furūʻ-i dīnīyah ... [etc.,نبذه در واجبات و مهمات از فروع دىنية,,,,,Nubz̲ah dar vājibāt va muhimmāt az furūʻ-i dīnīyah,
Collection of Persian and Arabic fragments,,,,,,Persian texts;Arabic texts,Q7568;Q12258
Commonplace book of ḥadīth,,,,,,Ḥadīth,Q3679
Muntahá al-amal rajāʾan min Allāh an yahdī bihi al-ṭālibīn ilá aḥsan al-ʻamal ... [etc.,منتهى الامل رجاءن من الله ان يهدي به الطالبين الى احسن العمل,,,,,Muntahá al-amal rajāʾan min Allāh an yahdī bihi al-ṭālibīn ilá aḥsan al-ʻamal,
Vaṣl al-fuṣūl ... [etc.,وصل الفصول,,,,,Vaṣl al-fuṣūl,
Dar ʻilm-i shīmī urganīk ... [etc.,در علم شىمى ارگنىک,,,,,Scientific texts,Q7521
Metrical introduction to the French language,,,,,,Metrical introduction to the French language,
Tadhkirat al-salāṭīn fī ighāthat al-malhūfīn,تذكرة السلاطين في اغاثة الملهوفين,,,,,Tadhkirat al-salāṭīn fī ighāthat al-malhūfīn,
Maqṣad-i aqṣá] ... [etc.,مقصد اقصى ... الخ,,,,,Maqṣad-i aqṣá,
Sirāj al-ẓulmah wa-al-raḥmah ... [etc.,سراج الظلمة والرحمة,,,,,Sirāj al-ẓulmah wa-al-raḥmah,
Marāḥil al-sālikīn /,مراحل السالکىن /,,,,,Marāḥil al-sālikīn,
Sharḥ-i Fārsī-i hayʼat-i Qūshjī /,شرح فارسى هيئت قوشجى /,Sharḥ-i Risālah dar hayʼat,شرح رساله در هيئت,,,Sharḥ-i Risālah dar hayʼat,Q27610
Sharḥ-i Ṣaḥīfah-i kāmilah,شرح صحىفه کامله,,,,,Sharḥ-i Ṣaḥīfah-i kāmilah,
Kitāb-i mustaṭāb-i Majālis al-muʼminīn,کتاب مستطاب مجالس المؤمنىن,Majālis al-muʼminīn,مجالس المؤمنين,,,Majālis al-muʼminīn,
Z̲ākhirah-ʼi Khvārazmshāhī,ذاخرۀ خوارزمشاهى,Z̲ākhirah-i Khvārazmshāhī,ذاخره خوارزمشاهى,,,Z̲ākhirah-i Khvārazmshāhī,
Ganjīnah,گنجىنه,,,,,Ganjīnah,
Hadīyah-ʼi Sulaymānī,هديۀ سلىمانى,,,,,Hadīyah-ʼi Sulaymānī,
Favātiḥ,فواتح,,,,,Favātiḥ,
Dīvān-i Maghribī maʻa Dīvān-i Āz̲arī,دىوان مغربى مع دىوان آذرى,,,,,Dīwān,Q11912
Akhbār al-akhyār,اخبار الاخىار,,,,,Akhbār al-akhyār,
Dastūrāt-i Tuḥfat al-muʼminīn,دستورات تحفت المؤمنىن,Tuḥfat al-muʼminīn,تحفت المؤمنىن,,,Tuḥfat al-muʼminīn,
Baḥr al-maʻārif,بحر المعارف,,,,,Baḥr al-maʻārif,
Maṣābīḥ al-aḥvāl,مصابىح الاحوال,,,,,Maṣābīḥ al-aḥvāl,
Collection of hadiths] ... [etc.,,,,,,Hadiths,Q11863
Ḥizb al-aʻẓam ... [etc.,حزب الاعظم,,,,,Ḥizb al-aʻẓam,
Qaṣīd-i Burdah-i sharḥī /,قصىد برده شرحى /,,,,,Qaṣīd-i Burdah-i sharḥī,
al-Risālah al-quds li-ahl al-uns /,الرسالة القدس لاهل الانس /,,,,,al-Risālah al-quds li-ahl al-uns,
Dānishʹnāmah-ʼi shāhī /,دانش‌نامۀ شاهى /,,,,,Dictionary,Q7823
Taḥqīq dar dīn-i Yahūd va Naṣārá,تحقىق در دىن ىهود و نصارى,,,,,Taḥqīq dar dīn-i Yahūd va Naṣārá,
Inshāʼ-i Ṭughrā,انشاء طغرا,,,,,Inshāʼ-i Ṭughrā,
Ṣaydīyah-i Ṣafdarīyah,صىديه صفدره,,,,,Ṣaydīyah-i Ṣafdarīyah,
Mas̲navī-i Ghanīmat,مثنوى غنىمت,,,,,Mas̲navī,Q27606
Nayrang-i Bahār,نىرنگ بهار,,,,,Nayrang-i Bahār,
Dīvān-i Ghaws̲,دىوان غوث,,,,,Dīwān,Q11912
Awṣāf al-ashrāf ... [etc.,اوصاف الاشراف ... الخ,,,,,Awṣāf al-ashrāf,
Tuḥfah-i naṣāyiḥ,تحفه نصاىح,,,,,Tuḥfah-i naṣāyiḥ,
Dīvān-i afz̤al-i Khvājah Ḥāfiẓ al-shuʻarā va al-mutakallimīn,دىوان افضل خواجه حافظ الشعرا و المتکلمىن,Dīvān,,,,Dīwān,Q11912
Ṭibb-i kimīyāʾī,طب کميائي,Ṭibb al-jadīd al-kimiyāʾī,طب الجديد الكميائي,,,Ṭibb al-jadīd al-kimiyāʾī,
ʻIqd al-fiḍḍah; mawsūm bi-Javāhirāt,عاقد الفضه,,,,,ʻIqd al-fiḍḍah,
Intikhābāt-i Kitāb-i Maẓhar /,انتخابات کتاب مظهر /,Maẓhar al-ʻajāʾib,مظهر العجائب,,,Maẓhar al-ʻajāʾib,
Kitāb-i Shāhnāmah,کتاب شاهنامه,Shāhnāmah,شاهنامه,,,Shāhnāmah,Q18627
Collection of six Sufi texts,,,,,,Sufi texts,
Hāz̲ā Dīvān /,هذا دىوان /,Dīvān-i Samjhū Sūratī,دىوان سمجهو سورتى,,,Dīvān-i Samjhū Sūratī,
Kitāb-i Bahrām Gulʹandām,کتاب بهرام گل ا‌ندام,Bahrām va Gulandām,بهرام و گلندام,,,Bahrām va Gulandām,
Majmūʻah-i ghazalīyāt va mas̲navīyāt va mukhammas va rasāʾil-i Shaykh ʻAlī Ḥazīn,مجموعه غزليات و مثنويات و مخمس و رسائل شىخ على حزىن,,,,,Majmūʻah,Q18453
Khulāṣat al-qiṣaṣ,خلاصت القصص,,,,,Khulāṣat al-qiṣaṣ,
Safīnat al-najāt,سفينة النجات,,,,,Safīnat al-najāt,
Vāridāt,واردات,,,,,Vāridāt,
Gulzār-i ḥāl,گلزار حال,Prabodhachandrodaya,,,,Prabodhachandrodaya,
Nuskhah-i Maṭālib-i rashīdī,نسخه مطالب رشىدى,Maṭālib-i rashīdī,مطالب رشىدى,,,Maṭālib-i rashīdī,
Guldastah-i chaman,گلدسته چمن,,,,,Guldastah-i chaman,
Jāmiʻ al-favāʼid,,,,,,Jāmiʻ al-favāyid,
Majmūʻah-yi ashʻār,,,,,,Majmūʻah,Q18453
Inshā; Khazān va bahār,,,,,,Inshā,
Collection of five Persian texts on riddles,,,,,,Persian riddles,
Zubdat al-taṣānīf,,,,,,Zubdat al-taṣānīf,
Kīmiyā-yi saʻādat,,,,,,Kīmiyā-yi saʻādat,
Taʼrikh-i Hasht bihisht,,Hasht bihisht,,,,Hasht bihisht,
Kulliyāt,,Works,,,,Works,Q5989
Farhang-i Jahāngīrī,,,,,,Farhang-i Jahāngīrī,
Gulistān-i Raḥmat,,,,,,Gulistān,Q3702
Bahār-i ʻAjam,,,,,,Bahār-i ʻAjam,
Ātishkadah,,,,Ātishkadah,Q27681,,
Dīvān-i ḥālī,,,,,,Dīwān,Q11912
Burhān-i qāṭiʻ,,,,,,Burhān-i qāṭiʻ,
Farhang-i Irtiz̤āʼī,,,,,,Farhang-i Irtiz̤āʼī,
Muʼayyid al-fuz̤alāʼ,,,,,,Muʼayyid al-fuz̤alāʼ,
Ṭibb al-akhlāq,,,,,,Ṭibb al-akhlāq,
Tārīkh-i Kashmīr,,,,Tārīkh-i Kashmīr,Q18508,,
Collection of Arabic and Persian dictionaries,,,,,,Dictionary,Q7823
Maktūbāt,,Correspondence,,,,Correspondence,Q38385
Persian and Urdu miscellany,,,,,,Persian and Urdu miscellany,
Rasīdan-i Sikandar bihbāgh-i īn mard tamāshā kardī...,رسىدن سکندر بهباغ اين مرد تماشا کردى...,,,,,Rasīdan-i Sikandar bihbāgh-i īn mard tamāshā kardī,
Anthology of Persian poetry and miniatures,,,,,,Persian poetry,Q18530
Tuḥfah-i Shāhīyah-i ʻAbbāsīyah dar sharḥ-i Risālah-i Riz̤awīyah ... [etc.,تحفه شاهية عباسية در شرح رساله رضوية,,,,,Tuḥfah-i Shāhīyah-i ʻAbbāsīyah dar sharḥ-i Risālah-i Riz̤awīyah,
Risālātī az Nasafī va ghayrih,رسالاتى از نسفى و غيره,,,,,Risālātī az Nasafī va ghayrih,
Ramz al-ḥaqāʾiq,رمز الحقائق,,,,,Ramz al-ḥaqāʾiq,
Khulāṣat al-ʻaysh-i ʻĀlam Shāhī,خلاصت العىش عالم شاهى,,,,,Khulāṣat al-ʻaysh-i ʻĀlam Shāhī,
William McElwee Miller collection of Bābī writings and other Iranian texts,,,,,,William McElwee Miller collection of Bābī writings and other Iranian texts,
Risālah-i Majdīyah dar intiqād az ruʾūs-i ḥukūmat va sulṭānī-i Īrān dar ʻahd-i Qājārī /,رساله مجدية در انتقاد از رؤوس حکومت و سلطانى ايران در عهد قاجارى /,,,,,Risālah-i Majdīyah dar intiqād az ruʾūs-i ḥukūmat va sulṭānī-i Īrān dar ʻahd-i Qājārī,
Shabīh-i mubārak Shihāb al-Dīn Muḥammad Shāh Jihān Pādshāh-i Hind,شبىه مبارک شهاب الدىن محمد شاه جهان پادشاه هند,,,,,Shabīh-i mubārak Shihāb al-Dīn Muḥammad Shāh Jihān Pādshāh-i Hind,
Garden scene with ten male figures and a horse,,,,,,Garden scene with ten male figures and a horse,
Maṣābīḥ al-mustakhīr wa-mafātīḥ al-mustashīr,مصابيح المستخير ومفاتيح المستشير,,,,,Maṣābīḥ al-mustakhīr wa-mafātīḥ al-mustashīr,
Khulāṣah-i kalimāt-i rāviyān akhbār-i anbiyāʼ ʻālamqadār,خلاصه کلمات راوىان اخبار انبىاء عالمقدار,,,,,Khulāṣah-i kalimāt-i rāviyān akhbār-i anbiyāʼ ʻālamqadār,
Silsilat al-z̲ahab,,,,,,Silsalat al-z̲ahab,
Dīvān-i Anvarī,دىوان انورى,,,,,Dīwān,Q11912
Rukn-i sivvum az miʻrāj al-nubūwah,رکن سوم از معراج النبوه,Maʻārij al-nubūwah fī madārij al-futūwah,معارج النبوة في مدارج الفتوة,,,Maʻārij al-nubūwah fī madārij al-futūwah,
Qism-i avval dar z̲ikr-i anbiyāʾ-i kubār va ḥukamāʾ-i ʻuẓām va mulūk-i ʻajam,قسم اول در ذكر انبياء كبار وحكماء عظام و ملوك عجم,Rawz̤at al-ṭāhirīn,روضة الطاهرين,,,Rawz̤at al-ṭāhirīn,
Kitāb Naẓar al-insān bi-tarjamat Wafayāt al-aʻyān,كتاب نظر الانسان بترجمة وفيات الاعيان,Wafayāt al-aʻyān,وفيات الاعيان,,,Wafayāt al-aʻyān,
Majmūʻah-ʾi naẓm-i zar az Haft awrang-i /,مجموعۀ نظم زر از هفت اورنگ /,Haft awrang,هفت اورنگ,,,Haft awrang,Q27579
Nafaḥāt al-uns min haḍarāt al-quds,نفحات الانس من حضرات القدس,,,,,Nafaḥāt al-uns min haḍarāt al-quds,
Risālah-i salāmat al-safar min malāmat al-khaṭar,رساله سلامة السفر من ملامة الخطر,,,,,Risālah-i salāmat al-safar min malāmat al-khaṭar,
Qaṣīdah-i Shāh va gadā,قصيدۀ شاه وگدا,Shāh va gadā,شاه وگدا,,,Shāh va gadā,
Kitāb-i Nūr al-ʻuyūn /,كتاب نور العيون /,,,,,Kitāb-i Nūr al-ʻuyūn,
Risālat al-muʻammá,رسالة المعمى,,,,,Risālat al-muʻammá,
Khuṭbah-ʼi quds ast bi-malik-i qadīm,خطبۀ قدس است بملك قديم,Khamsah,خمسة,,,Khamsah,Q18558
Mihr va Mushtarī,مهر ومشتري,,,,,Mihr va Mushtarī,
Tarjamah-i Hidāyah,ترجمه هداىه,Hidāyah,هداىه,,,Hidāyah,Q39473
Tarjamah-i Qānūnchah,ترجمه قانونچه,Qānūnchah,قانونچه,,,Qānūnchah,
Sharḥ-i Qaṣīdah-i Burdah,شرح قصىده برده,,,,,Sharḥ-i Qaṣīdah-i Burdah,
Tārīkh-i dilgushā-yi Shamshīrkhānī,تارىخ دلگشاى شمشىرخانى,,,,,Tārīkh-i dilgushā-yi Shamshīrkhānī,
Qaṣāʼid] ... [etc.,,Selections,,,,Selections,Q12769
Dastūr al-mubtadī ... [etc.,دستور المبتدى,,,,,Dastūr al-mubtadī,
Intikhāb-i Mas̲navī ... [etc.,انتخاب مثنوى ... الخ,,,,,Intikhāb-i Mas̲navī,
Sāqīʹnāmah /,ساقى‌نامه /,,,,,Sāqīʹnāmah,
Kitāb-i ʻumdah,کتاب عمده,Aḥkām al-aʻwām,احکام الاعوام,,,Aḥkām al-aʻwām,
Sharḥ-i Viqāyah,شرح وقاىه,Sharḥ al-Wiqāyah,شرح الوقاية,,,Sharḥ al-Wiqāyah,Q11990
Intikhāb-i nuskhah-i Abvāb al-jinān ... [etc.,انتخاب نسخه ابواب الجنان ... الخ,,,,,Intikhāb-i nuskhah-i Abvāb al-jinān,
Maktūbāt-i Shaykh Aḥmad al-Fārūqī al-Naqshabandī ... [etc,مکتوبات شىخ احمد الفاروقى النقشبندى,Correspondence,,,,Correspondence,Q38385
Mukātabāt-i ʻAllāmī,مکاتبات علامى,,,,,Correspondence,Q38385
Jild-i avval-i Hidāyah,جلد اول هداىه,Hidāyah,هداىة,,,Hidāyah,Q39473
Selections from the Z̲ākhirah-i Khvārazmshāhī,,Z̲ākhirah-i Khvārazmshāhī,ذاخره خوارزمشاهى,,,Z̲ākhirah-i Khvārazmshāhī,
Sirāj-i anvār-i rawshan,سراج انوار روشن,,,,,Sirāj-i anvār-i rawshan,
Sharḥ-i Kāfiyah,شرح کافىه,,,,,Sharḥ-i Kāfiyah,
Havāmiʻ ... [etc.,هوامع ... الخ,,,,,Havāmiʻ,
Sikandarnāmah /,سکندرنامه /,Iskandarnāmah,اسکندرنامه,,,Iskandarnāmah,
Z̤arūr al-mukallaf ... [etc,ضرور المکلف ... الخ,,,,,Z̤arūr al-mukallaf,
Jalāʼ al-ʻuyūn] ... [etc.,جلاء العيون,,,,,Jalāʼ al-ʻuyūn,
Ruqʻāt-i Abū al-Faz̤l] ... [etc.,رقعات ابو الفضل,,,,,Ruqʻāt-i Abū al-Faz̤l,
Ṭūṭīʹnāmah / Z̤iyāʼ al-Dīn Nakhshabī,طوطى‌نامه / ضىاء الدىن نخشبى,,,,,Ṭūṭīʹnāmah,Q48573
"Commonplace book of fatwas, poems, and other texts",,,,,,"Commonplace book of fatwas, poems, and other texts",
Sharḥ-i Būstān,شرح بوستان,,,,,Sharḥ-i Būstān,
Sharḥ-i Mishkāt; jild-i duvīm,شرح مشکات,Ashiʻʻat al-lamaʻāt,اشعة اللمعات,,,Ashiʻʻat al-lamaʻāt,
Mujallad-i s̲ālis̲ min Rawz̤at al-ṣafā,مجلد ثالث من روضة الصفا,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Arabic-Persian dictionary,,,,,,Dictionary,Q7823
Persian occult text,,,,,,Persian occult text,
Khulāṣat al-tavārīkh,خلاصت التوارىخ,,,,,Khulāṣat al-tavārīkh,
Maz̲hab-i ʻishq,مذهب عشق,Qiṣṣah-ʾi Gul-i Bakāvalī,قصۀ گل بکاولى,,,Qiṣṣah-ʾi Gul-i Bakāvalī,
Kitāb-i Ḥamlah-i Ḥaydarī,کتاب حمله حىدرى,Ḥamlah-i Ḥaydarī,حمله حىدرى,,,Ḥamlah-i Ḥaydarī,Q27641
Kitāb-i Alif bāʾ fārisī va turkī va ʻarabī bijihat-i taʻlīm-i zabān-i Islāmī /,کتاب الف باء فارسى و ترکى و عربى بجهت تعلىم زبان اسلامى /,Alif bāʾ fārisī va turkī va ʻarabī bijihat-i taʻlīm-i zabān-i Islāmi,الف باء فارسى و ترکى و عربى بجهت تعلىم زبان اسلام,,,Alif bāʾ fārisī va turkī va ʻarabī bijihat-i taʻlīm-i zabān-i Islāmi,
Woman reading on a large stool,,,,,,Woman reading on a large stool,
Dīvān-i Nūr al-Dīn Niʻmat Allāh,,Poems,,,,Poems,Q1455
Kāristan-i Munīr,,Kārnāmah,,,,Kārnāmah,
Risālah-i Latʹhah bāzī,,Latʹhah bāzī,,,,Latʹhah bāzī,
Tashrīd al-nawm bi-mawʻiẓat al-yawm,,,,,,Tashrīd al-nawm bi-mawʻiẓat al-yawm,
Sharḥ-i Gulshan-i rāz,,Mafātīḥ al-iʻjāz fī sharḥ-i Gulshan-i rāz,,,,Mafātīḥ al-iʻjāz fī sharḥ-i Gulshan-i rāz,
Muntakhab-i ashʻār; mas̲navī,,,,,,Poems,Q1455
Būstān,,,,Būstān,Q18625,,
Tuḥfat al-aḥrār,,,,,,Tuḥfat al-aḥrār,
Gawhar-i murād,,,,,,Gawhar-i murād,
Sharḥ-i Bīst bāb dar taqvīm,,,,,,Sharḥ-i bīst bāb,Q27522
Muntakhab-i ashʻār,,,,,,Poems,Q1455
Khamsīn maqālāt,,,,,,Khamsīn maqālāt,
Iskandarnāmah,,,,,,Iskandarnāmah,
Haft paykar,,,,,,Haft paykar,
Ḥadīqat al-ḥaqīqah wa-sharīʻat al-ṭarīqah,,,,,,Ḥadīqat al-ḥaqīqah wa-sharīʻat al-ṭarīqah,
Risālah-i manẓūm dar dīnīyāt,,,,,,Risālah-i manẓūm dar dīnīyāt,
Laylá va Majnūn,,,,,,Laylá va Majnūn,
Rūḥ al-arvāḥ va mūnis al-ashbāḥ,,,,,,Rūḥ al-arvāḥ va mūnis al-ashbāḥ,
Irshād al-zirāʻah,,,,,,Irshād al-zirāʻah,
Khamsah-i Niẓāmī,,Khamsah,,,,Khamsah,Q18558
Jung-i ashʻār,,,,,,Jung-i ashʻār,
Majmūʻah-i ashʻār,,,,,,Majmūʻah,Q18453
Kanz al-ishtihā,,,,,,Kanz al-ishtihā,
Selections of poetry,,Dīvān,,,,Dīwān,Q11912
Dīvān-i aṭʻimah,,,,,,Dīwān,Q11912
Bayān al-vaqāʼiʻ,,,,,,Bayān al-vaqāʼiʻ,
Risale fi'l-muamma,,,,,,Risale fi'l-muamma,
Naṣīḥat nāmah; majmūʻah-i ashʻār,,,,,,Naṣīḥat nāmah,
Kullīyāt-i dīvān-i ashʻār,,Poems,,,,Poems,Q1455
Manṭiq al-ṭayr,,,,,,Manṭiq al-ṭayr,
Gulistān,,,,Gulistān,Q3702,,
Bahāristān,,,,,,Bahāristān,Q39215
Dīvān-i Ṣāʼib,,Poems,,,,Poems,Q1455
Dīvān-i rubāʻīyāt,,,,,,Dīwān,Q11912
Akhlāq-i Muḥsinī,,,,,,Akhlāq-i Muḥsinī,
Dīvān-i ʻUrfī Shīrāzī,,Poems,,,,Poems,Q1455
Lubb-i lubāb-i Mas̲navī,,Mas̲navī,,,,Mas̲navī,Q27606
Sāqīnāmah,,,,,,Sāqīʹnāmah,
Divan,,,,,,Dīwān,Q11912
Risālah dar bāb-i taḥrīm shurb al-muskirāt,,,,,,Risālah dar bāb-i taḥrīm shurb al-muskirāt,
Sharḥ-i muʻammā-i Amīr Ḥusaynī dar asmāʼ al-ḥusná,,,,,,Sharḥ-i Muʻammāʼ-yi Amīr Ḥusayn,
Risālah dar asrār-i ḥurūfīyah,,,,,,Risālah dar asrār-i ḥurūfīyah,
Nāmah-ʼi nāmī,,,,,,Nāmah-ʼi nāmī,
Dīvān-i Naʻīmī,,,,,,Dīwān,Q11912
Jāvīdān nāmah,,,,,,Jāvīdān nāmah,
Tafsīr-i Qurʼān,,,,,,Tafsīr al-Qurʼān,Q11674
Ṭabaqāt-i akbarī,,,,,,Ṭabaqāt-i akbarī,
