row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value,ds_qid
244,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414932Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090472Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124338Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593840Z","ʻAṭṭār, Farīd al-Dīn, -approximately 1230",author,عطاّر، فريد الدين، -approximately 1230,,,,,human,Attar of Nishapur,Q194091,Q18697
245,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414945Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090487Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124346Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593852Z","Jalāl al-Dīn Rūmī, Maulana, 1207-1273",author,جلال الدين رومي,,,,,human,Rumi,Q43347,Q27901
246,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414953Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090496Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124349Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593858Z","Khāqānī, Afz̤al al-Dīn Shirvānī, approximately 1126-1198 or 1199",author,خاقانى، افضل الدىن شروانى,,,,,human,Afz̤al al-Dīn Shirvānī Khāqānī,Q123581745,Q18696
247,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414961Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090508Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124351Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593863Z","Farhād Mīrzā, Muʻtamad al-Dawlah, 1818-1888 or 1889",author,,,Muʻtamad al-Dawlah Farhād Mīrzā,human,Q129453229,,,,
248,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414971Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090522Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124356Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593877Z","Dawlah, Abjalāl",author,دوله، ابجلال,,Abjalāl Dawlah,human,Q129453231,,,,
249,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414979Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090531Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124358Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593883Z","Turkah Iṣfahānī, ʻAlī ibn Muḥammad, 1368 or 1369-1431 or 1432",author,,,ʿAlī Ibn-Muḥammad Turka-i Iṣfahānī,human,Q23682822,,,,
250,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414987Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090644Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124361Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593888Z","Ibn Ilyās, Muḥammad ibn Aḥmad ibn Muḥammad",author,,,Muḥammad ibn Aḥmad ibn Muḥammad Ibn Ilyās,human,Q129453233,,,,
251,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.414998Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090659Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124365Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593896Z",Aristotle,author,,,,,,human,Aristotle,Q868,Q395
252,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.415006Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090677Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124368Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593901Z","Mīr Findariskī, Abū al-Qāsim ibn Mīrzā Buzurg, -1640",author,مىر فندرسکى، ابو القاسم بن مىرزا بزرگ، d. 1640,,Mir Fendereski,human,Q4116338,,,,
253,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.415013Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.090692Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.124370Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.593906Z","ʻAbbāsī, ʻAbd al-Laṭīf, -1639 or 1640",author,عباسى، عبد اللطىف، -1639 or 1640,,ʻAbd al-Laṭīf ʻAbbāsī,human,Q129453235,,,,
