row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
44,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z","In Middle High German, the text probably composed in the Alemannic region (Switzerland) in the second half of the 13th century",gmh,,,Middle High German;Alemannic,Q837985;Q131339
45,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Old Church Slavonic,chu,,,Old Church Slavonic,Q35499
46,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Old Spanish,roa,,,Spanish,Q1321
47,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Ottoman Turkish,ota,,,Ottoman Turkish,Q36730
48,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Pali,pli,,,Pali,Q36727
49,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Persian,per,,,Persian,Q9168
50,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Spanish,spa,,,Spanish,Q1321
51,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Syriac,syr,,,Syriac,Q33538
52,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Syriac and Arabic,syr;syrara,Syriac;Arabic,Q33538;Q13955,,
53,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",Item 3 is in Latin and English,eng;lat,,,Latin;English,Q397;Q1860
