File,name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
names-chicago.csv,"Ashburnham, Bertram Ashburnham, Earl of, 1797-1878",former owner,,http://id.loc.gov/authorities/names/n82255127,,,,,,human,"Bertram Ashburnham, 4th Earl of Ashburnham",Q21855104,Q1565
names-chicago.csv,"Petrus, Comestor, active 12th century",author,,http://viaf.org/viaf/40175167,,,,,,human,Petrus Comestor,Q785250,Q1586
names-chicago.csv,Kloster Ochsenhausen,former owner,,,organization,Ochsenhausen Abbey,Q561312,DSNAME8053,Q68663,,,,
names-chicago.csv,"Proclus, approximately 410-485",author,,,human,Proclus,Q271809,DSNAME7959,Q68569,,,,
names-chicago.csv,Diogenes Laertius,author,,,,,,,,human,Diogenes Laërtius,Q59138,Q40539
names-chicago.csv,"Fishacre, Richard, approximately 1200-1248",author,,,human,Richard Fishacre,Q7325681,DSNAME7960,Q68570,,,,
names-chicago.csv,"Eyre, Thomas, -1792",former owner,,,human,Thomas Eyre,Q131856725,DSNAME7961,Q68571,,,,
names-chicago.csv,"Bruni, Leonardo, 1369-1444",author,,,,,,,,human,Leonardo Bruni,Q314488,Q1924
names-chicago.csv,"Navagero, Bernardo, 1507-1565",author,,,,,,,,human,Bernardo Navagero,Q823015,Q41321
names-chicago.csv,"Statius, P. Papinius",author,,,human,Publius Papinius Statius,Q243203,DSNAME5264,Q41709,,,,
names-chicago.csv,"Averroës, 1126-1198",author,,,,,,,,human,Averroes,Q39837,Q3262
names-chicago.csv,"Bullinger, Heinrich, 1504-1575",author,,http://id.loc.gov/authorities/names/n80045117,,,,,,human,Heinrich Bullinger,Q123839,Q5096
names-chicago.csv,"Brooke, Richard, fl. 1650",author,,,human,Richard Brooke,Q131856726,DSNAME7962,Q68572,,,,
names-chicago.csv,"Burchard, of Mount Sion, -1285",author,,http://id.loc.gov/authorities/names/n2004063569,,,,,,human,Burchard of Mount Sion,Q4998199,Q7592
names-chicago.csv,"Libri, Guillaume, 1803-1869",former owner,,http://id.loc.gov/authorities/names/n91076026,,,,,,human,Guglielmo Libri Carucci dalla Sommaja,Q1251586,Q382
names-chicago.csv,"Phillipps, Thomas, Sir, 1792-1872",former owner,,http://id.loc.gov/authorities/names/n50078542,,,,,,human,Thomas Phillipps,Q2147709,Q385
names-chicago.csv,Francis Edwards (Firm),former owner,,,organization,"Francis Edwards, Ltd.",Q120869246,DSNAME8054,Q68664,,,,
names-chicago.csv,"Ovid, 43 B.C.-17 A.D. or 18 A.D.",author,,,,,,,,human,Ovid,Q7198,Q41379
names-chicago.csv,"Petrus Veronensis, active 1519",author,,,human,Petrus Veronensis,Q131856727,DSNAME7963,Q68573,,,,
names-chicago.csv,"Eusebius, of Caesarea, Bishop of Caesarea, approximately 260-approximately 340",author,,http://id.loc.gov/authorities/names/n79150225,,,,,,human,Eusebius of Caesarea,Q142999,Q899
names-chicago.csv,"Taccone, Francesco, marchese, 1763-1818",former owner,,,human,Francesco Taccone,Q120869147,DSNAME7964,Q68574,,,,
names-chicago.csv,"Germain, Jean, -1461",author,,,human,Jean Germain,Q3172288,DSNAME2975,Q20286,,,,
names-chicago.csv,"Jerome, Saint, -419 or 420",author,,,,,,,,human,Jerome,Q44248,Q898
names-chicago.csv,"Ubaldi, Baldo degli, 1327-1400",author,,,human,Baldus de Ubaldis,Q504929,DSNAME3768,Q40213,,,,
names-chicago.csv,"Suriano, Michele, active 1558-1573",author,,,human,Michele Suriano,Q3311319,DSNAME7965,Q68575,,,,
names-chicago.csv,"Stirling Maxwell, William, 1818-1878",former owner,,,,,,,,human,"Sir William Stirling-Maxwell, 9th Baronet",Q334215,Q41718
names-chicago.csv,"Heneage, Thomas, 1533?-1595",author,,,human,Thomas Heneage,Q5800654,DSNAME7966,Q68576,,,,
names-chicago.csv,"Albertus, Magnus, Saint, 1193?-1280",author,,http://id.loc.gov/authorities/names/n81007973,,,,,,human,Albertus Magnus,Q60059,Q410
names-chicago.csv,Juvenal,author,,,,,,,,human,Juvenal,Q193800,Q41056
names-chicago.csv,"Sanguigni, Battista di Biagio, 1392 or 1393-1451",illuminator,,,human,Battista di Biagio Sanguigni,Q963010,DSNAME3843,Q40288,,,,
names-chicago.csv,Middelburg (Netherlands),author,,,organization,Middelburg,Q52101,DSNAME8055,Q68665,,,,
names-chicago.csv,"Velada, D. Gomez Davila, Marques de",author,,,human,"D. Gomez Davila, Marques de Velada",Q131856728,DSNAME7967,Q68577,,,,
names-chicago.csv,"Guillaume, de Lorris, active 1230",author,,http://id.loc.gov/authorities/names/n50018450,,,,,,human,Guillaume de Lorris,Q544959,Q7918
names-chicago.csv,"Cockerell, Sydney Carlyle, Sir, 1867-1962",former owner,,,,,,,,human,Sydney Cockerell,Q966843,Q1609
names-chicago.csv,Catholic Church. Pope (1513-1521 : Leo X),author,,,,,,,,organization;human,Catholic Church;Leo X,Q9592;Q49237,Q425;Q3831
names-chicago.csv,"Lydgate, John, 1370?-1451",author,,,,,,,,human,John Lydgate,Q662063,Q16506
names-chicago.csv,"Charles V, Holy Roman Emperor, 1500-1558",author,,,,,,,,human,Charles V,Q32500,Q7656
names-chicago.csv,"Lucan, 39-65",author,,,,,,,,human,Lucan,Q188646,Q41156
names-chicago.csv,"Petersen, William O., 1926-2012",former owner,,,human,William O. Petersen,Q131822032,DSNAME7968,Q68578,,,,
names-chicago.csv,"Gerardus, de Senis, -1336",author,,,human,Gerardo da Siena,Q55228111,DSNAME7969,Q68579,,,,
names-chicago.csv,"Giles, of Rome, Archbishop of Bourges, approximately 1243-1316",author,,,,,,,,human,Giles of Rome,Q380647,Q40080
names-chicago.csv,"Leo I, Pope, -461",author,,,,,,,,human,Leo I,Q43954,Q41119
names-chicago.csv,"Bartholomew, of San Concordio, 1262-1347",author,,,,,,,,human,Bartholomew of San Concordio,Q3635444,Q855
names-chicago.csv,"Bernard, of Clairvaux, Saint, 1090 or 1091-1153",author,,http://viaf.org/viaf/59875293,,,,,,human,Bernard of Clairvaux,Q188411,Q10865
names-chicago.csv,"Boccaccio, Giovanni, 1313-1375",author,,,,,,,,human,Giovanni Boccaccio,Q1402,Q418
