title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Hādhihi Muqaddimat al-Lumʻah fī ʻilm al-ḥisāb /,هذه مقدمة اللمعة في علم الحساب /,Lumaʻ al-yasīrah fī ʻilm al-ḥisāb,لمع اليسيرة في علم الحساب,Lumaʻ al-yasīrah fī ʻilm al-ḥisāb,Q108611,,
Hādhā matn al-Lumaʻ /,هذا متن اللمع /,Lumaʻ al-yasīrah fī ʻilm al-ḥisāb,لمع اليسيرة في علم الحساب,Lumaʻ al-yasīrah fī ʻilm al-ḥisāb,Q108611,,
Khulāṣat al-ḥisāb,خلاصة الحساب,,,,,Khulāṣat al-ḥisāb,Q27667
Sabk al-nuḍār naẓm Nuzʹhat al-nuẓẓār fī ʻilm,سبك النضار نظم نزهة النظار في علم,,,,,,
Kitāb Sharḥ al-Yāsamīnīyah fī ʻilm al-jabr wa-al-muqābalah /,كتاب شرح الياسمينية في علم الجبر والمقابلة /,Sharḥ al-Yāsamīnīyah,شرح الياسمينية,Sharḥ al-Yāsamīnīyah,Q108605,,
Hādhihi Ḥāshiyah ʻalá Sharḥ Sibṭ al-Māridīnī al-Ṣaghīr /,هذه حاشية على شرح سبط المارديني الصغير /,Farāʼid ʻawāʼid jabrīyah ʻalá sharḥ al-Sibṭ lil-Yāsamīnīyah,فرائد عوائد جبرية على شرح السبط للياسمينية,,,,
Bayān al-ḥikmah,بىان الحکمة,,,,,,
Sharḥ AshkāI al-taʼsīs,شرح اشکال التأسىس,,,,,,
ḥāshiyah ʻalá Sharḥ Ashkāl al-taʼsīs fī al-handasah,حاشىة على شرح اشکال التأسىس في الهندسة,,,,,,
Risālat madkhal fī ʻilm al-handasah,رسالة مدخل في علم الهندسة,,,,,,
