row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
42,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Persian with some English glosses,per,Persian,Q9168,,
43,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Persian with some phrases in Arabic,per,Persian;Arabic,Q9168;Q13955,,
44,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Persian with source-text in Arabic,per,Persian;Arabic,Q9168;Q13955,,
45,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Persian with titles in Arabic,per,Persian;Arabic,Q9168;Q13955,,
46,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Persian with two leaves in Sanskrit; colophon in Urdu,per,Persian;Sanskrit;Urdu,Q9168;Q11059;Q1617,,
47,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Persian with two pages in Arabic (f. 1v-2r),per,,,Persian;Arabic,Q9168;Q13955
48,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Persian with two pages in Arabic (f. 23r/v),per,,,Persian;Arabic,Q9168;Q13955
49,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Spanish,spa,,,Spanish,Q1321
50,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Turkish with source text in Arabic,ota,Turkish;Arabic,Q256;Q13955,,
51,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",ara,ara,,,Arabic,Q13955
