title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,authorized_label_add
al-Niṣf al-thānī min juzʼ aḥad ʻashar,النصف الثاني من جزء احد عشر.,Qurʼan.,قرآن.,Qurʼan,
al-Qurʼān,القرآن.,,,Qurʼan,
al-Qurʼān,القرآن.,Qurʼan.,قرآن.,Qurʼan,
al-Qurʼān,القرآن.,Qurʼan.,,Qurʼan,
al-Qurʼān],القرآن,Qurʼan.,قرآن.,Qurʼan,
al-Qurʼān],القرآن.,Qurʼan.,قرآن.,Qurʼan,
al-Qurʼān],القرآن.,Qurʼan.,,Qurʼan,
al-Qurʼān],القرآن.,Qurʼan.,قرآن,Qurʼan,
al-Risālah,,,,,al-Risālah
al-Risālah fī al-uṣūl al-ʻasharah min al-taṣawwuf. Risālat al-Taḥdhīr,الرسالة في الأصول العشرة من التصوف. رسالة التحذير.,,,,al-Risālah fī al-uṣūl al-ʻasharah min al-taṣawwuf
al-Sahm al-muṣīb fī kabid al-Khaṭīb,السهم المصيب في كبد الخطيب.,Radd ʻalá Abī Bakr al-Khaṭīb al-Baghdādī,رد على ابي بكر الخطيب البغدادي,,Radd ʻalá Abī Bakr al-Khaṭīb al-Baghdādī
al-Shifāʼ al-sharīf,الشفاء الشريف.,Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá,شفاء في تعريف حقوق المصطفى,Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá,
al-Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá,الشفاء في تعريف حقوق المصطفى.,,,,al-Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá
al-ʻĀqibah fī dhikr al-mawt],العاقبة في ذكر الموت.,ʻĀqibah,عاقبة,,ʻĀqibah
al-Ṣaḥīfah al-kāmilah,الصحيفة الكاملة.,,,,al-Ṣaḥīfah al-kāmilah
Āghāz-i kitāb-i Vīsparad bā maʻnī-i Fārsī tarjumah kardah mīnavīsam,آغاز ظتاب وىس)رد با معنى فارسى ترجمه ظرده مىنوىسم.,,,,Āghāz-i kitāb-i Vīsparad bā maʻnī-i Fārsī tarjumah kardah mīnavīsam
Ātishkadah,آتشظده.,,,,Ātishkadah
İlmihâl,علم حال,,,,İlmihâl
Șerh-i Hizbü'n-Nevevî],شرح حزب النووى,,,,Șerh-i Hizbü'n-Nevevî
ʻAjīb al-masāʼil. [Risālah dar hayʼat],عجيب المسائل. رسالة در هيئت.,,,,ʻAjīb al-masāʼil
ʻIlm al-badīʻ,علم البديع.,,,,ʻIlm al-badīʻ
Ḥafīrat al-taʼsīs min taʼlīf al-Qass Alīʻāzar,حفيرة التأسيس من تأليف القس اليعازر.,,,,Ḥafīrat al-taʼsīs min taʼlīf al-Qass Alīʻāzar
Ḥamlah-i Ḥaydarī,حمله حيدرى.,,,,Ḥamlah-i Ḥaydarī
