title_as_recorded,label,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Dīwān al-ʻĀrif billāh taʻālá quṭb al-ʻārifīn wa-minhāj jamīʻ al-nāsikīn imā[m] al-ṭarīqah wa-shaykh shuyūkh al-ḥaqīqah waḥīd dahrihi wa-farīd ʻaṣrihi Sharaf al-Dīn Abī Ḥafṣ ʻUmar Ibn Abī al-Ḥasan ʻAlī al-Saʻdī al-shahīr bi-Ibn al-Fāriḍ ʻafá ʻanhu,,ديوان العارف بالله تعالى قطب العارفين ومنهاج جميع الناسكين امام الطريقة وشيخ شيوخ الحقيقة وحيد دهره وفريد عصره شرف الدين ابي حفص عمر ابن ابي الحسن علي السعدي الشهير بابن الفارض عفى عنه,Dīwān,ديوان,Diwan,Q11912,,
Ḥāshiyat mawlānā Khusraw lil-Qāḍī,,حاشية مولانا خسرو للقاضي,Ḥāshiyah ʻalá Anwār al-tanzīl,حاشية على انوار التنزيل,,,Ḥāshiyah ʻalá Anwār al-tanzīl,Q11760
Hagakure,,葉隱,,,,,Hagakure,Q12790
Seiyakuchō hi,,製薬帳秘,,,,,Seiyakuchō hi,Q12777
Kōryō satsuyō,,口料撮要,,,,,Kōryō satsuyō,Q12792
Chujoryū sanzen sango no sho,,中條流産前産後之書,,,,,Chujoryū sanzen sango no sho,Q12761
Taisoku hassen shinsūhyō; zen,,大測八線真數表,,,Taisoku hassen shinsūhyō,Q40048,,
Shokihō; Ryūshun[dō] tohō kō. Banpō hiroku. Beriberi. Hakutansa seiren hō,,諸氣方,,,Shokihō,Q40043,,
Shinkyū hiden no maki,,鍼灸秘伝卷,,,,,Shinkyū hiden no maki,Q12721
Gyūbyō ryōji narabi ni eiri shahon,,牛病療治并繪入写本,,,,,Treatment of cattle diseases,Q12775
Uma no sho; Ie no Naomichi no maki,,馬書,,,Uma no sho,Q39859,,
Honkishū,,本騎集,,,,,Honkishū,Q12752
Yōka sagen /,,瘍科瑣言 /,,,,,Yōka sagen,Q12723
