title_as_recorded,label,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Kitāb al-Taqrīb wa-al-taysīr li-maʻrifat sunan al-bashīr al-nadhīr fī ʻilm al-ḥadīth /,,كتاب التقريب والتيسير لمعرفة سنن البشير النذير في علم الحديث /,Taqrīb wa-al-taysīr li-maʻrifat sunan al-bashīr al-nadhīr fī ʻilm al-ḥadīth,تقريب والتيسير لمعرفة سنن البشير النذير في علم الحديث,,,Taqrīb wa-al-taysīr li-maʻrifat sunan al-bashīr al-nadhīr fī ʻilm al-ḥadīth,Q12114
Zawāl al-taraḥ fī fī [sic] manẓūmat Ibn Faraḥ /,,زوال الترح في في كذا منظومة ابن فرح /,Zawāl al-taraḥ fī sharḥ manẓūmat Ibn Faraḥ,زوال الترح في شرح منظومة ابن فرح,Zawāl al-taraḥ fī sharḥ manẓūmat Ibn Faraḥ,Q11719,,
Hādhā Sharḥ Gharāmī ṣaḥīḥ /,,هذا شرح غرامي صحيح /,Zawāl al-taraḥ fī sharḥ manẓūmat Ibn Faraḥ,زوال الترح في شرح منظومة ابن فرح,Zawāl al-taraḥ fī sharḥ manẓūmat Ibn Faraḥ,Q11719,,
al-Ṣuḥbah /,,الصحبة /,Munīf al-rutbah li-man thabata la-hu sharīf al-ṣuḥbah,منيف الرتبة لمن ثبت له شريف الصحبة,,,Munīf al-rutbah li-man thabata la-hu sharīf al-ṣuḥbah,Q11806
Kitāb Taqrīb al-asānīd fī al-ḥadīth /,,كتاب تقريب الاسانيد في الحديث /,Taqrīb al-asānīd wa-tartīb al-masānīd,تقريب الاسانيد وترتيب المسانيد,,,Taqrīb al-asānīd wa-tartīb al-masānīd,Q12195
Kitāb al-Tabṣirah wa-al-tadhkirah fī ʻilm al-ḥadīth /,,كتاب التبصرة والتذكرة في علم الحديث /,Alfīyat al-ʻIrāqī,الفية العراقي,,,Alfīyat al-ʻIrāqī,Q12012
Kitāb al-Alfīyah fī ʻilm al-ḥadīth /,,كتاب الالفية في علم الحديث /,Alfīyat al-ʻIrāqī,الفية العراقي,,,Alfīyat al-ʻIrāqī,Q12012
Hādhā Kitāb bi-sharḥ Alfīyat al-ʻIrāqī al-musammá bi-Fatḥ al-Bāqī /,,هذا كتاب بشرح الفية العراقي المسمى بفتح الباقي /,Fatḥ al-bāqī bi-sharḥ Alfīyat al-ʻIrāqī,فتح الباقي بشرح الفية العراقي,,,,
Sanad,,سند,,,,,Sanad,Q12143
Kitāb al-Yawāqīt wa-al-durar bi-sharḥ Sharḥ Nukhbat Ibn Ḥajar /,,كتاب اليواقيت والدرر بشرح شرح نخبة ابن حجر /,Yawāqīt wa-al-durar fī sharḥ Sharḥ Nukhbat Ibn Ḥajar,يواقيت والدرر في شرح شرح نخبة ابن حجر,,,Yawāqīt wa-al-durar fī sharḥ Sharḥ Nukhbat Ibn Ḥajar,Q12108
Hādhihi Asānīd al-kutub al-sittah wa-asānīd al-aʼimmah al-arbaʻah /,,هذه اسانيد الكتب الستة واسانيد الايمة الاربعة /,Asānīd al-kutub al-sittah wa-asānīd al-aʻimmah al-arbaʻah,اسانيد الکتب الستة واسانيد الائمة الاربعة,,,Asānīd al-kutub al-sittah wa-asānīd al-aʻimmah al-arbaʻah,Q11756
Hādhihi Risālah fī awāʼil kutub al-ḥadīth /,,هذه رسالة في اوائل كتب الحديث /,Risālah fī awāʼil kutub al-ḥadīth,رسالة في أوائل کتب الحديث,,,Risālah,Q12161
Kitāb al-ʻIqd al-farīd fī ʻuluw al-asānīd /,,كتاب العقد الفريد في علو الاسانيد /,ʻIqd al-farīd fī ʻuluw al-asānīd,عقد الفريد في علو الاسانيد,,,ʻIqd al-farīd fī ʻuluw al-asānīd,Q12259
Hādhā mukhtaṣar Ibn al-Ṣalāḥ fī uṣūl al-ḥadīth al-sharīf,,هذا مختصر ابن الصلاح في اصول الحديث الشريف,Mukhtaṣar Uṣūl al-ḥadīth,مختصر اصول الحديث,,,Mukhtaṣar Uṣūl al-ḥadīth,Q11824
Hādhā Rawḍ al-mustarīḥ bi-sharḥ Gharāmī ṣaḥīḥ /,,هذا روض المستريح بشرح غرامي صحيح /,Rawḍ al-mustarīḥ bi-sharḥ Gharāmī ṣaḥīḥ,روض المستريح بشرح غرامي صحيح,,,Rawḍ al-mustarīḥ bi-sharḥ Gharāmī ṣaḥīḥ,Q11671
Sharḥ Mawāqif,,شرح مواقف,,,,,Sharḥ Mawāqif,Q12148
Kitāb Kashf al-asrār ʻammā khafiya ʻan al-afkār,,كتاب كشف الاسرار عما خفي عن الافكار,Kashf al-asrār ʻammā khafiya ʻan al-afkār,کشف الاسرارعما خفي عن الافکار,,,Kashf al-asrār ʻammā khafiya ʻan al-afkār,Q11793
Kitāb Tajrīd al-tawḥīd al-mufīd /,,كتاب تجريد التوحيد المفيد /,Tajrīd al-tawḥīd al-mufīd,تجريد التوحيد المفيد,,,Tajrīd al-tawḥīd al-mufīd,Q11848
Kitāb Tarjīḥ al-ʻuzlah fī ākhir al-zamān /,,كتاب ترجيح العزلة في آخر الزمان /,Tarjīḥ al-ʻuzlah fī ākhir al-zamān,ترجيح العزلة في آخر الزمان,,,Tarjīḥ al-ʻuzlah fī ākhir al-zamān,Q11837
al-Dhukhr,,الذخر,,,,,Dhukhr,Q11696
Hādhihi Ḥaqāyiq al-Sanūsīyah Umm al-barāhīn /,Text on Islamic doctrine,هذه حقايق السنوسية ام البراهين /,Ḥaqāʼiq al-Sanūsīyah Umm al-barāhīn,حقائق السنوسية ام البراهين,Text on Islamic doctrine,Q55095,,
Hādhā Sharḥ al-Ṣughrá al-ṣughrá /,,هذا شرح الصغرى الصغرى /,Sharḥ Ṣughrá al-ṣughrá fī ʻilm al-tawḥīd,شرح صغرى الصغرى في علم التوحيد,,,Sharḥ Ṣughrá al-ṣughrá fī ʻilm al-tawḥīd,Q11916
Hādhā Kitāb Ashrāṭ al-sāʻah /,,هذا كتاب اشراط الساعة /,Ashrāṭ al-sāʻah,اشراط الساعة,,,Ashrāṭ al-sāʻah,Q11981
Kitāb al-Madkhal /,,كتاب المدخل /,Madkhal,مدخل,,,Madkhal,Q11702
Hidāyat al-ḥayārá fī ajwibat al-Yahūd wa-al-Naṣārá /,,هداية الحيارى في اجوبة اليهود والنصارى /,,,,,Hidāyat al-ḥayārá fī ajwibat al-Yahūd wa-al-Naṣārá,Q11658
al-Lumʻah fī ajwibat al-asʼilah al-sabʻah /,,اللمعة في اجوبة الاسئلة السبعة /,,,,,Lumʻah fī ajwibat al-asʼilah al-sabʻah,Q12147
Ifādat al-khabar bi-naṣṣihi fī ziyādat al-ʻumr wa-naqṣih /,Text on Islamic doctrine,افادة الخبر بنصه في زيادة العمر ونقصه /,,,Text on Islamic doctrine,Q55095,,
Kitāb al-Burhān fī ʻalāmāt Mahdī ākhir al-zamān /,,كتاب البرهان في علامات مهدي آخر الزمان /,Burhān fī ʻalāmāt Mahdī ākhir al-zamān,برهان في علامات مهدي آخر الزمان,,,Burhān fī ʻalāmāt Mahdī ākhir al-zamān,Q12170
Hādhā al-Kitāb fī al-radd ʻalá al-rawāfiḍ wa-ʻaqāʼidihim,,هذا الكتاب في الرد على الروافض وعقائدهم,Mushtamil al-aqāwīl,مشتمل الاقاويل,,,ʻAlá al-rawāfiḍ wa-ʻaqāʼidihim,Q12203
Farāyid al-fikar fī al-Imām al-Mahdī al-muntaẓar /,,فرايد الفكر في الامام المهدي المنتظر /,Farāʼid al-fikar fī al-Imām al-Mahdī al-muntaẓar,فرائد الفکر في الامام المهدي المنتظر,,,Farāʼid al-fikar fī al-Imām al-Mahdī al-muntaẓar,Q12196
Mūḍiḥat al-ḥāl fī baʻḍ masmūʻāt al-Dajjāl /,,موضحة الحال في بعض مسموعات الدجال /,,,,,Mūḍiḥat al-ḥāl fī baʻḍ masmūʻāt al-Dajjāl,Q11879
al-Tarjamah al-ʻabqarīyah wa-al-ṣawlah al-ḥaydarīyah lil-Tuḥfah al-Ithnay ʻAsharīyah,,الترجمة العبقرية والصولة الحيدرية للتحفة الاثني عشرية,Tuḥfah-ʼi Is̲nay ʻAsharīyah,تحفۀ اثنى عشرية,,,Tuḥfah-ʼi Is̲nay ʻAsharīyah,Q11821
al-Naṣīḥah al-īmānīyah fī faḍīḥat al-millah al-Naṣrānīyah,,النصيحة الايمانية في فضيحة الملة النصرانية,,,,,Naṣīḥah al-īmānīyah fī faḍīḥat al-millah al-Naṣrānīyah,Q12237
Taḥrīm ziyārat al-qubūr,,تحريم زيارة القبور,,,,,Taḥrīm ziyārat al-qubūr,Q11869
Kitāb Manhaj al-ṣawāb fī taḥqīq al-murīd wa-al-murād,,كتاب منهج الصواب في تحقيق المريد والمراد,Manhaj al-ṣawāb fī qubḥ istiktāb ahl al-Kitāb,منهج الصواب في قبح استكتاب اهل الكتاب,,,Manhaj al-ṣawāb fī qubḥ istiktāb ahl al-Kitāb,Q11723
Sharḥ Khayālī /,,شرح خيالي /,,,,,Sharḥ Khayālī,Q12208
Hādhā Ḍawʼ al-maʻālī sharḥ Badʼ al-amālī /,,هذا ضوء المعالى شرح بدء الامالى /,Ḍawʼ al-maʻālī li-Badʼ al-amālī,ضوء المعالي لبدء الامالي,,,Ḍawʼ al-maʻālī li-Badʼ al-amālī,Q12154
Ḍawʼ al-maʻālī li-Badʼ al-amālī,,ضوء المعالي لبدء الامالي,,,,,Ḍawʼ al-maʻālī li-Badʼ al-amālī,Q12154
Sharḥ laṭīf ʻalá al-ʻaqīdah al-Shaybānīyah ... [etc,,شرح لطيف على العقيدة الشيبانية ... الخ,,,Sharḥ laṭīf ʻalá al-ʻaqīdah al-Shaybānīyah,Q11868,,
Tuḥfat al-ʻibād sharḥ tashṭīr al-shaybānīyah,,تحفة العباد شرح تشطير الشيبانية,Sharḥ Tuḥfat al-ʻibād bi-mā yajibu min al-iʻtiqād,شرح تحفة العباد بما يجب من الاعتقاد,,,Sharḥ Tuḥfat al-ʻibād bi-mā yajibu min al-iʻtiqād,Q12149
al-Manẓūmah al-Nasafīyah fī al-khilāfīyāt,,المنظومة النسفية في الخلافيات,,,,,Manẓūmah al-Nasafīyah fī al-khilāfīyāt,Q11973
Kitāb al-Manẓūmah fī al-fiqh ʻalá madhhab al-Imām al-Aʻẓam Abī Ḥanīfah al-Nuʻmān ibn Thābit al-Kūfī /,,كتاب المنظومة في الفقه على مذهب الامام الاعظم ابي حنيفة النعمان بن ثابت الكوفي /,Manẓūmah al-Nasafīyah fī al-khilāfīyāt,منظومة النسفية في الخلافيات,,,Manẓūmah al-Nasafīyah fī al-khilāfīyāt,Q11973
Ṭalibat al-ṭalabah,,طلبة الطلبة,,,,,Ṭalibat al-ṭalabah,Q11845
Sharḥ Mukhtaṣar al-Muntahá fī al-uṣūl,,شرح مختصر المنتهى في الاصول,,,,,Sharḥ Mukhtaṣar al-Muntahá fī al-uṣūl,Q11657
al-Kashfīyah ʻalá Sharḥ al-ʻAḍudīyah ... [etc,,الكشفية على شرح العضدية ... الخ,,,Kashfīyah ʻalá Sharḥ al-ʻAḍudīyah,Q11972,,
Hādhā Kitāb Manār,,هذا كتاب منار,Manār,منار,,,Manār,Q11931
Manār,,منار,,,,,Manār,Q11931
Sharḥ al-Manār fī ʻilm al-uṣūl /,,شرح المنار في علم الأصول /,Sharḥ Manār al-anwār fī uṣūl al-fiqh,شرح منار الانوار في اصول الفقه,,,Sharḥ Manār al-anwār fī uṣūl al-fiq,Q3722
al-Tawḍīḥ fī ḥall ghawāmiḍ al-Tanqīḥ,,التوضيح في حل غوامض التنقيح,,,,,Tawḍīḥ,Q11722
al-Juzʼ al-awwal min al-fawāʼid al-sanīyah fī sharḥ al-Alfīyah al-uṣūlīyah /,,الجزء الاول من الفوائد السنية في شرح الالفية الاصولية /,Fawāʼid al-sanīyah fī sharḥ al-Alfīyah,فوائد السنية في شرح الالفية,,,Fawāʼid al-sanīyah fī sharḥ al-Alfīyah,Q12119
Mīrʼāt,,ميرءات,Mirʼāt al-uṣūl,مرآة الاصول,,,Mirʼāt al-uṣūl,Q12229
Mirʼāt bi-sharḥ Mirqāt,,مرآة بشرح مرقات,Mirʼāt al-uṣūl,مرآة الاصول,Mirʼāt al-uṣūl,Q12229,,
Kitāb al-Wasāyil fī furūq al-masāʼil /,,كتاب الوسايل في فروق المسائل /,Wasāʼil fī furūq al-masāʼil,وسائل في فروق المسائل,,,Wasāʼil fī furūq al-masāʼil,Q12249
Kitāb ʻUyūn al-madhāhib fī khilāfāt al-amṣār /,,كتاب عيون المذاهب في خلافاة الامصار /,ʻUyūn al-madhāhib fī khilāfāt al-amṣār,عيون المذاهب في خلافات الامصار,,,ʻUyūn al-madhāhib fī khilāfāt al-amṣār,Q11757
Kitāb fī al-fiqh,,كتاب في الفقه,,,,,Kitāb fī al-fiqh,Q11854
Fragment of a text on Islamic law,,,,,,,Texts on Islamic law,Q12197
Kitāb Khizānat al-fiqh ʻalá madhhab al-Imām al-aʻẓam Abī Ḥanīfah al-Nuʻmān ibn al-Thābit /,,كتاب خزانة الفقه على مذهب الامام الاعظم ابي حنيفة النعمان بن الثابت /,Khizānat al-fiqh,خزانة الفقه,,,Khizānat al-fiqh,Q12014
Kitāb Sharḥ al-Jāmiʻ al-ṣaghīr,,كتاب شرح الجامع الصغير,Tartīb al-Jāmiʻ al-ṣaghīr,ترتيب الجامع الصغير,,,Tartīb al-Jāmiʻ al-ṣaghīr,Q12251
Hādhā Kitāb al-Qudūrī,Texts on Islamic law,هذا كتاب القدوري,Mukhtaṣar al-Qudūrī,مختصر القدوري,Texts on Islamic law,Q12197,,
Majmaʻ al-baḥrayn,,مجمع البحرين,Majmaʻ al-baḥrayn wa-multaqá al-nayyirayn,مجمع البحرين وملتقى النيرين,,,Majmaʻ al-baḥrayn wa-multaqá al-nayyirayn,Q12033
Wiqāyat al-riwāyah /,,وقاية الرواية /,,,,,Wiqāyat al-riwāyah,Q11691
al-Juzʼ al-thānī min al-Taḥrīr fī sharḥ al-Jāmiʻ al-kabīr /,,الجزء الثاني من التحرير في شرح الجامع الكبير /,Taḥrīr fī sharḥ al-Jāmiʻ al-kabīr,تحرير في شرح الجامع الكبير,,,Taḥrīr fī sharḥ al-Jāmiʻ al-kabīr,Q12231
al-Muḥīṭ ʻalá madhhab al-Imām al-Aʻẓam Abī Ḥanīfah al-Nuʻmān ibn Thābit,,المحيط على مذهب الامام الاعظم ابي حنيفة النعمان بن ثابت,Muḥīṭ,محيط,,,Muḥīṭ,Q12031
Hādhā Kitāb Shirʻat al-Islām,,هذا كتاب شرعة الاسلام,Shirʻat al-Islām,شرعة الاسلام,,,Shirʻat al-Islām,Q11965
Mafātīḥ al-jinān wa-maṣābīḥ al-janān,,مفاتيح الجنان ومصابيح الجنان,,,,,Mafātīḥ al-jinān wa-maṣābīḥ al-janān,Q12158
Itḥāf arbāb al-dirāyah bi-fatḥ al-Hidāyah /,,اتحاف ارباب الدراية بفتح الهداية /,,,,,Itḥāf arbāb al-dirāyah bi-fatḥ al-Hidāyah,Q11655
Hādhihi Risālah Dimashqīyah fī tark rafʻ al-yadayn ʻinda al-rukūʻ wa-ʻinda rafʻ al-raʼs minhu /,,هذه رسالة دمشقية في ترك رفع اليدين عند الركوع وعند رفع الرأس منه /,Risālah Dimashqīyah fī tark rafʻ al-yadayn ʻinda al-rukūʻ wa-ʻinda rafʻ al-raʼs minhu,رسالة دمشقية في ترك رفع اليدين عند الرکوع وعند رفع الرأس منه,,,Risālah,Q12161
al-Wajīz fī al-uṣūl,,الوجيز في الاصول,,,,,Wajīz fī al-uṣūl,Q12204
Kitāb al-Dhakhāyir al-Ashrafīyah fī al-alghāz al-Ḥanafīyah /,,كتاب الذخاير الاشرفية في الالغاز الحنفية /,Dhakhāʼir al-Ashrafīyah fī alghāz al-Ḥanafīyah,ذخائرالاشرفية في الغاز الحنفية,,,Dhakhāʼir al-Ashrafīyah fī alghāz al-Ḥanafīyah,Q12133
Fatāwá Muʼayyadʹzādah,,فتاوى مؤيدزادة,Majmūʻat masāʼil,مجموعة مسائل,,,Fatāwá,Q12221
al-Fawākih al-Badrīyah fī al-aqḍiyah al-ḥukmīyah,,الفواكه البدرية في الاقضية الحكمية,,,,,Fawākih al-Badrīyah fī al-aqḍiyah al-ḥukmīyah,Q11944
Hādhihi Risālah fī ḥukm al-māʼ al-mustaʻmal /,,هذه رسالة في حكم الماء المستعمل /,Risālah fī ḥukm al-māʼ al-mustaʻmal,رسالة في حکم الماء المستعمل,,,Risālah,Q12161
Fatāwá /,,فتاوي /,,,,,Fatāwá,Q12221
Kitāb Ṣadr al-Sharīʻah fī sharḥ al-Wiqāyah,,كتاب صدر الشريعة في شرح الوقاية,Sharḥ al-Wiqāyah,شرح الوقاية,,,Sharḥ al-Wiqāyah,Q11990
Sharḥ Wiqāyat al-riwāyah fī masāʼil al-Hidāyah,,شرح وقاية الرواية في مسائل الهداية,Sharḥ al-Wiqāyah,شرح الوقاية,,,Sharḥ al-Wiqāyah,Q11990
al-Awwal min al-ʻInāyah sharḥ al-Hidāyah,,الاول من العناية شرح الهداية,ʻInāyah ʻalá al-Hidāyah,عناية على الهداية,,,ʻInāyah ʻalá al-Hidāyah,Q12061
Hādhā al-Kitāb Īḍāḥ iṣlāḥ,,هذا الكتاب ايضاح اصلاح,Īḍāḥ al-iṣlāḥ,اصلاح والايضاح,,,Īḍāḥ al-iṣlāḥ,Q12155
al-Durr al-mukhtār fī sharḥ Tanwīr al-abṣār /,,الدر المختار في شرح تنوير الابصار /,,,,,Durr al-mukhtār fī sharḥ Tanwīr al-abṣār,Q11996
Iṣlāḥ al-isfār ʻan wujūh baʻḍ mukhaddarāt al-Durr al-mukhtār /,Texts on Islamic law,اصلاح الاسفار عن وجوه بعض مخدرات الدر المختار /,,,Texts on Islamic law,Q12197,,
Majmaʻ al-fatāwá /,,مجمع الفتاوى /,,,,,Majmaʻ al-fatāwá,Q11871
Kitāb Imdād al-fattāḥ sharḥ Nūr al-īḍāḥ wa-najāt al-arwāḥ /,,كتاب امداد الفتاح شرح نور الايضاح ونجاة الارواح /,Imdād al-fattāḥ sharḥ Nūr al-īḍāḥ wa-najāt al-arwāḥ,امداد الفتاح شرح نور الايضاح ونجاة الارواح,,,Imdād al-fattāḥ sharḥ Nūr al-īḍāḥ wa-najāt al-arwāḥ,Q11899
Tuḥfat al-akmal wa-al-humām al-muṣaddar li-bayān jawāz lubs al-aḥmar /,,تحفة الاكمل والهمام المصدر لبيان جواز لبس الاحمر /,Taḥqīqāt al-Qudsīyah,تحقيقات القدسية,,,Taḥqīqāt al-Qudsīyah,Q11813
al-Radd al-muṣān li-mā aftá bi-hi Riḍwān,,الرد المصان لما افتى به رضوان,,,,,Radd al-muṣān li-mā aftá bi-hi Riḍwān,Q11881
al-Juzʼ al-rābiʻ min Sharḥ Kitāb al-Durrah al-bahīyah fī al-masāyil al-fiqhīyah /,,الجز الرابع من شرح كتاب الدرة البهية في المسايل الفقهية /,Sharḥ al-Durrah al-bahīyah fī al-masāʼil al-fiqhīyah,شرح الدرة البهية في المسائل الفقهية,,,Sharḥ al-Durrah al-bahīyah fī al-masāʼil al-fiqhīyah,Q12074
Fī dhikr al-aʼimmah al-arbaʻah al-mujtahidīn wa-baʻḍ masāyil fiqhīyah ʻalá madhhab al-Ḥanafīyah /,,في ذكر الائمة الاربعة المجتهدين وبعض مسايل فقهية على مذهب الحنفية /,Risālah fī dhikr al-aʼimmah al-arbaʻah al-mujtahidīn wa-baʻḍ masāʼil fiqhīyah ʻalá madhhab al-Ḥanafīyah,رسالة في ذكر الائمة الاربعة المجتهدين وبعض مسائل فقهية على مذهب الحنفية,,,Texts on Islamic law,Q12197
Kitāb Miftāḥ al-saʻādah / allafahu Kamāl al-Dīn ibn Āsāyish al-Shirwānī,,كتاب مفتاح السعادة / الفه كمال الدين بن آسايش الشرواني,Miftāḥ al-saʻādah,مفتاح السعادة,,,Miftāḥ al-saʻādah,Q11999
Hādhā Kitāb Fatāwá kabīr,,هذا كتاب فتاوى كبير,Fatāwá kabīr,فتاوى کبير,,,Fatāwá,Q12221
al-Ḥudūd li-abwāb al-fiqh,,الحدود لابواب الفقه,,,,,Ḥudūd li-abwāb al-fiqh,Q11896
Kitāb al-Ḥāwī,,کتاب الحاوي,Ḥāwī al-kabīr fī al-furūʻ,حاوي الكبير في الفروع,,,Ḥāwī al-kabīr fī al-furūʻ,Q11714
Sharḥ al-Muhadhdhab /,,شرح المهذب /,Sharḥ al-Muhadhdhab,شرح المهذب,,,Sharḥ al-Muhadhdhab,Q12018
al-Juzʼ al-thānī min Tasʹhīl al-hidāyah wa-taḥṣīl al-Kifāyah /,,الجزء الثاني من تسهيل الهداية وتحصيل الكفاية /,Tasʹhīl al-hidāyah wa-taḥṣīl al-Kifāyah,تسهيل الهداية وتحصيل الکفاية,,,Tasʹhīl al-hidāyah wa-taḥṣīl al-Kifāyah,Q11969
Naẓm al-Ghāyah al-musammá bi-al-Kifāyah,,نظم الغاية المسمى بالكفاية,Kifāyah naẓm al-Ghāyah,کفاية نظم الغاية,,,Kifāyah naẓm al-Ghāyah,Q12112
