title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Kitāb Wiqāyat al-riwāyah fī masāʼil al-Hidāyah,كتاب وقاية الرواية في مسائل الهداية,Wiqāyat al-riwāyah,وقاية الرواية,Wiqāyat al-riwāyah,Q11691,,
Wiqāyat al-riwāyah fī masāʼil al-Hidāyah,وقاية الرواية في مسائل الهداية,Wiqāyat al-riwāyah,وقاية الرواية,Wiqāyat al-riwāyah,Q11691,,
Matn al-Wiqāyah,متن الوقاية,Wiqāyat al-riwāyah,وقاية الرواية,Wiqāyat al-riwāyah,Q11691,,
Kitāb al-ʻĀlim wa-al-mutaʻallim ... [etc,كتاب العالم والمتعلم ... الخ,,,Kitāb al-ʻĀlim wa-al-mutaʻallim,Q64073,,
Sayf al-ṣārim] ... [etc,سيف الصارم ... الخ,,,Sayf al-ṣārim,Q64074,,
Minaḥ al-azʹhar] ... [etc,منح الازهر ... الخ,,,,,,
Mukhtaṣar al-Qudūrī,,,,Mukhtaṣar al-Qudūrī,Q63881,,
Muqaddimat al-Ghaznawī,,,,,,,
Musallam al-thubūt,,,,,,,
Naqd al-Durar,,,,,,,
al-Nukat fī masāʼil al-khilāf,,,,,,,
Sharḥ al-Manār,,,,Sharḥ al-Manār,Q63882,,
Qurrat ʻayn al-ṭālib,,,,,,,
al-Munīr lil-Manār,,,,,,,
Sharḥ naẓm Mukhtaṣar al-Manār,,,,,,,
Tanqīḥ al-uṣūl,,,,,,,
al-Tawḍīḥ fī ḥall ghawāmiḍ al-Tanqīḥ,,,,,,Tawḍīḥ,"Q11722"
al-Talwīḥ ilá kashf ḥaqāʼiq al-Tanqīḥ,,,,al-Talwīḥ ilá kashf ḥaqāʼiq al-Tanqīḥ,Q63883,,
ḥāshiyah ʻalá al-Talwīḥ,,,,Ḥāshiyah ʻalá al-Talwīḥ,Q63884,,
Ḥāshiyah ʻalá al-Talwīḥ,,,,Ḥāshiyah ʻalá al-Talwīḥ,Q63884,,
al-Taṣrīḥ bi-ghawāmiḍ al-Talwīḥ,,,,,,,
ḥāshiyah li-qaṣd al-tarshīḥ ʻalá awākhir kitāb ṣāḥib al-Tawḍīḥ,,,,,,,
ḥāshiyat al-uṣūl wa-ghāshiyat al-fuṣūl,,,,,,,
Ḥāshiyah ʻalá al-Muqaddimāt al-arbaʻ,,,,Ḥāshiyah ʻalá al-Muqaddimāt al-arbaʻ,Q63885,,
ḥāshiyah ʻalá al-Muqaddimāt al-arbaʻ,,,,Ḥāshiyah ʻalá al-Muqaddimāt al-arbaʻ,Q63885,,
Mirʼāt al-uṣūl fī sharḥ Mirqāt al-wuṣūl,,,,,,,
ḥāshiyah ʻalá Mirʼāt al-uṣūl,,,,,,,
Wasīlat al-wuṣūl ilá masāʼil al-uṣūl,,,,,,,
Jalāʼ al-ghashwāt ʻan al-Mirʼāt,,,,,,,
