ds_label,ds_qid,ds_id,type,wikidata_label,wikidata_qid
Llanthony Priory,Q424,DSNAME151,Corporate (Name Authority),Llanthony Priory,Q3397679
"Llewelyn Lloyd-Mostyn, 3rd Baron Mostyn of Mostyn",Q20046,DSNAME2721,Personal (Name Authority),"Llewelyn Lloyd-Mostyn, 3rd Baron Mostyn of Mostyn",Q75271125
Lodi Cathedral,Q1671,DSNAME507,Corporate (Name Authority),Lodi Cathedral,Q3045557
Lodovico Lazzarelli,Q41109,DSNAME4664,Personal (Name Authority),Lodovico Lazzarelli,Q683317
Lodovico della Torre,Q41160,DSNAME4715,Personal (Name Authority),Lodovico della Torre,Q770010
Lodovicus Saltariellus,Q20154,DSNAME2836,Personal (Name Authority),Lodovicus Saltariellus,Q122873523
Loftus Bland,Q16646,DSNAME2345,Personal (Name Authority),Loftus Bland,Q26296383
Lolimbarāja,Q28241,DSNAME3457,Personal (Name Authority),Lolimbarāja,Q124252884
London School of Jewish Studies,Q2856,DSNAME746,Corporate (Name Authority),London School of Jewish Studies,Q6670742
"Long Island Historical Society, Maine",Q42008,DSNAME5563,Corporate (Name Authority),"Long Island Historical Society, Maine",Q71863962
Lope de Espejo,Q16712,DSNAME2413,Personal (Name Authority),Lope de Espejo,Q123274757
Lope de Olmedo,Q41171,DSNAME4726,Personal (Name Authority),Lope de Olmedo,Q55835391
Félix Lope de Vega y Carpio,Q7284,DSNAME1343,Personal (Name Authority),Félix Lope de Vega y Carpio,Q165257
Lorenz Fries,Q40690,DSNAME4245,Personal (Name Authority),Lorenz Fries,Q95863
Lorenz Stöer,Q41150,DSNAME4705,Personal (Name Authority),Lorenz Stöer,Q1870137
Lorenzo Belo,Q40249,DSNAME3804,Personal (Name Authority),Lorenzo Belo,Q55225451
Lorenzo Berdute,Q40272,DSNAME3827,Personal (Name Authority),Lorenzo Berdute,Q124566727
Lorenzo Campeggio,Q41146,DSNAME4701,Personal (Name Authority),Lorenzo Campeggio,Q222941
Lorenzo Giacomini,Q7332,DSNAME1392,Personal (Name Authority),Lorenzo Giacomini,Q19413034
Lorenzo Gondi,Q5505,DSNAME1178,Personal (Name Authority),Lorenzo Gondi,Q116377921
Lorenzo Grana,Q41148,DSNAME4703,Personal (Name Authority),Lorenzo Grana,Q68904102
Lorenzo Guglielmo Traversagni,Q1861,DSNAME626,Personal (Name Authority),Lorenzo Guglielmo Traversagni,Q18674108
Lorenzo Priuli,Q41508,DSNAME5063,Personal (Name Authority),Lorenzo Priuli,Q1232902
Lorenzo Pucci,Q4411,DSNAME1047,Personal (Name Authority),Lorenzo Pucci,Q745434
Lorenzo Rusio,Q41610,DSNAME5165,Personal (Name Authority),Lorenzo Rusio,Q17478120
Lorenzo Spirito Gualtieri,Q7313,DSNAME1372,Personal (Name Authority),Lorenzo Spirito Gualtieri,Q3837084
Lorenzo Valla,Q41149,DSNAME4704,Personal (Name Authority),Lorenzo Valla,Q214115
Lorenzo de' Medici,Q41147,DSNAME4702,Personal (Name Authority),Lorenzo de' Medici,Q177854
Louis Bourguet,Q20192,DSNAME2875,Personal (Name Authority),Louis Bourguet,Q975237
Louis César de La Baume Le Blanc,Q7919,DSNAME1555,Personal (Name Authority),Louis César de La Baume Le Blanc,Q1158739
Louis H. Silver,Q17663,DSNAME2454,Personal (Name Authority),Louis H. Silver,Q120691896
Louis Herbert Gray,Q27976,DSNAME3192,Personal (Name Authority),Louis Herbert Gray,Q6687378
Louis Hercule Timoléon de Cossé-Brissac,Q40351,DSNAME3906,Personal (Name Authority),Louis Hercule Timoléon de Cossé-Brissac,Q3262180
Louis Hélian,Q5112,DSNAME1119,Personal (Name Authority),Louis Hélian,Q116378630
"Louis II of Lorraine, cardinal of Guise",Q17750,DSNAME2542,Personal (Name Authority),"Louis II of Lorraine, cardinal of Guise",Q510693
"Louis II, Count of Flanders",Q16482,DSNAME2174,Personal (Name Authority),"Louis II, Count of Flanders",Q469648
Louis IV of Bavaria,Q40897,DSNAME4452,Personal (Name Authority),Louis IV of Bavaria,Q57161
Louis Jean Gaignat,Q40700,DSNAME4255,Personal (Name Authority),Louis Jean Gaignat,Q52154179
Louis Moréri,Q41284,DSNAME4839,Personal (Name Authority),Louis Moréri,Q1871889
Louis N. Cassett,Q3812,DSNAME973,Personal (Name Authority),Louis N. Cassett,Q116269877
Louis XII of France,Q1866,DSNAME631,Personal (Name Authority),Louis XII of France,Q58514
Louis XIII of France,Q17778,DSNAME2570,Personal (Name Authority),Louis XIII of France,Q737533
Louis XIV of France,Q41152,DSNAME4707,Personal (Name Authority),Louis XIV of France,Q7742
Louis d'Aumont de Rochebaron,Q42235,DSNAME5762,Personal (Name Authority),Louis d'Aumont de Rochebaron,Q11762842
Louis d'Harcourt,Q1669,DSNAME505,Personal (Name Authority),Louis d'Harcourt,Q3263358
Louis de Gruuthuse,Q40360,DSNAME3915,Personal (Name Authority),Louis de Gruuthuse,Q981450
Louis-Jean-Nicolas Monmerqué,Q4438,DSNAME1074,Personal (Name Authority),Louis-Jean-Nicolas Monmerqué,Q3262727
Luca Pacioli,Q3750,DSNAME911,Personal (Name Authority),Luca Pacioli,Q87620
Luca della Robbia,Q7343,DSNAME1403,Personal (Name Authority),Luca della Robbia,Q194977
Lucan,Q41156,DSNAME4711,Personal (Name Authority),Lucan,Q188646
Lucas Janszoon Waghenaer,Q41833,DSNAME5388,Personal (Name Authority),Lucas Janszoon Waghenaer,Q938869
Lucian of Samosata,Q41157,DSNAME4712,Personal (Name Authority),Lucian of Samosata,Q177847
Lucien Delamarre,Q40516,DSNAME4071,Personal (Name Authority),Lucien Delamarre,Q124566776
Lucien Gougy,Q7920,DSNAME1556,Personal (Name Authority),Lucien Gougy,Q89484729
Lucien Graux,Q40790,DSNAME4345,Personal (Name Authority),Lucien Graux,Q42887282
Lucien Magne,Q16720,DSNAME2421,Personal (Name Authority),Lucien Magne,Q1873405
Lucius Annaeus Florus,Q10860,DSNAME1720,Personal (Name Authority),Lucius Annaeus Florus,Q316483
Lucius Fenestella,Q40148,DSNAME3703,Personal (Name Authority),Lucius Fenestella,Q20010809
Lucius Manutius Planeus,Q41158,DSNAME4713,Personal (Name Authority),Lucius Manutius Planeus,Q124515276
Lucrezia Pio Sforza,Q1905,DSNAME670,Personal (Name Authority),Lucrezia Pio Sforza,Q117324182
Ludolph of Saxony,Q41159,DSNAME4714,Personal (Name Authority),Ludolph of Saxony,Q669351
Ludovico Costa,Q40461,DSNAME4016,Personal (Name Authority),Ludovico Costa,Q1874021
Ludovico Della Chiesa,Q40432,DSNAME3987,Personal (Name Authority),Ludovico Della Chiesa,Q3839100
Ludovico Foscarini,Q4370,DSNAME1006,Personal (Name Authority),Ludovico Foscarini,Q24175173
Ludovico Madruzzo,Q41180,DSNAME4735,Personal (Name Authority),Ludovico Madruzzo,Q1233211
Ludovico Settala,Q3273,DSNAME872,Personal (Name Authority),Ludovico Settala,Q3839144
Ludovico Vicentino degli Arrighi,Q40186,DSNAME3741,Personal (Name Authority),Ludovico Vicentino degli Arrighi,Q2341081
Ludovicus Bondonus de Branchis,Q8079,DSNAME1588,Personal (Name Authority),Ludovicus Bondonus de Branchis,Q116269474
Ludowic von Harthausen,Q1878,DSNAME643,Personal (Name Authority),Ludowic von Harthausen,Q117321264
Ludwig Rosenthal,Q20135,DSNAME2816,Personal (Name Authority),Ludwig Rosenthal,Q1531825
Ludwig Rosenthal's Antiquariaat,Q16452,DSNAME2141,Corporate (Name Authority),Ludwig Rosenthal's Antiquariaat,Q120442752
Luigi Arrigoni,Q20128,DSNAME2809,Personal (Name Authority),Luigi Arrigoni,Q120869119
Luigi Celotti,Q1636,DSNAME2371,Personal (Name Authority),Luigi Celotti,Q113774991
Luigi Cora,Q20278,DSNAME2967,Personal (Name Authority),Luigi Cora,Q102279780
Luigi Gonzaga,Q17767,DSNAME2559,Personal (Name Authority),Luigi Gonzaga,Q1874025
Luigi Loredano,Q41164,DSNAME4719,Personal (Name Authority),Luigi Loredano,Q117324162
Luigi Serra di Cassano,Q40401,DSNAME3956,Personal (Name Authority),Luigi Serra di Cassano,Q88467257
Luigi Tansillo,Q8080,DSNAME1589,Personal (Name Authority),Luigi Tansillo,Q707853
Luigi de Fano,Q41161,DSNAME4716,Personal (Name Authority),Luigi de Fano,Q117352067
Luigi de' Medici,Q5493,DSNAME1166,Personal (Name Authority),Luigi de' Medici,Q3840279
Luigi di Palazuoli,Q41162,DSNAME4717,Personal (Name Authority),Luigi di Palazuoli,Q117352075
Luis Escobet,Q40608,DSNAME4163,Personal (Name Authority),Luis Escobet,Q124566793
Luis Fernández de Córdoba y Aragón,Q7285,DSNAME1344,Personal (Name Authority),Luis Fernández de Córdoba y Aragón,Q97161291
Luis Ordoñez,Q20136,DSNAME2817,Personal (Name Authority),Luis Ordoñez,Q122873509
Luis de Granada,Q41165,DSNAME4720,Personal (Name Authority),Luis de Granada,Q608713
Luis de la Cruz,Q40483,DSNAME4038,Personal (Name Authority),Luis de la Cruz,Q124380403
Luke the Evangelist,Q41166,DSNAME4721,Personal (Name Authority),Luke the Evangelist,Q128538
Lundell Library,Q17722,DSNAME2513,Corporate (Name Authority),Lundell Library,Q114413773
Lupus Servatus,Q41172,DSNAME4727,Personal (Name Authority),Lupus Servatus,Q675928
Luther Albertus Brewer,Q18654,DSNAME2606,Personal (Name Authority),Luther Albertus Brewer,Q94279538
Lutheran Theological Seminary at Philadelphia,Q20335,DSNAME3027,Corporate (Name Authority),Lutheran Theological Seminary at Philadelphia,Q6705747
Luçon Master,Q20531,DSNAME3044,Personal (Name Authority),Luçon Master,Q15967018
