row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
67,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284773Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577102Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594920Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731509Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091703Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188233Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229256Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836395Z","Lothian, Philip Henry Kerr, Marquis of, 1882-1940",former owner,,http://id.loc.gov/authorities/names/n83138006,,,,human,"Philip Kerr, 11th Marquess of Lothian",Q957575
68,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284776Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577108Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594923Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731514Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091708Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188249Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229268Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836402Z","Ludwig, Irene",former owner,,http://id.loc.gov/authorities/names/n83034178,,,,human,Irene Ludwig,Q1672539
69,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284784Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577111Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594926Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731534Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091720Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188329Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229280Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836412Z","Ludwig, Peter, 1925-1996",former owner,,http://id.loc.gov/authorities/names/n50039163,,,,human,Peter Ludwig,Q73991
70,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284787Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577113Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594936Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731544Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091729Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188344Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229298Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836419Z","Luther, Martin, 1483-1546",author,,http://id.loc.gov/authorities/names/n79089628,Martin Luther,human,Q9554,,,
71,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284791Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577120Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594939Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731554Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091734Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188357Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229309Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836425Z","Lü, Zuqian, 1137-1181",author,"呂祖謙, 1137-1181",http://id.loc.gov/authorities/names/n81093500,Lü Zuqian,human,Q4272132,,,
72,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284796Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577123Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594942Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731563Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091744Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188377Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229334Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836441Z","Maidstone, Richard, -1396",author,,http://id.loc.gov/authorities/names/n85112115,Richard Maidstone,human,Q18734191,,,
73,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284799Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577126Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594946Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731570Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091750Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188392Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229350Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836448Z","Mainardi, Leonardo",author,,,"Mainardi, Leonardo",human,Q123005999,,,
74,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284802Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577136Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594950Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731579Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091755Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188405Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229362Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836454Z","Malyus, Thomas",author,,,Thomas Malyus,human,Q123006059,,,
75,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284811Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577139Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594952Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731587Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091767Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188424Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229387Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836464Z","Marlborough, Charles Spencer, Duke of, 1706 - 1758",former owner,,,"Charles Spencer, 3rd Duke of Marlborough",human,Q514460,,,
76,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284815Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577142Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594960Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731593Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091773Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188437Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229401Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836470Z","McRay, John",former owner,,http://id.loc.gov/authorities/names/n91021176,John McRay,human,Q75228011,,,
77,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284818Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577148Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594962Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731602Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091778Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188450Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229413Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836476Z","Melanchthon, Philip, 1497-1560",author,,http://id.loc.gov/authorities/names/n79121330,Philipp Melanchthon,human,Q76325,,,
78,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284826Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577150Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594965Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731611Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091794Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188466Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229432Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836486Z","Mery of Hatfield, Richard",former owner,,,Richard Mery of Hatfield,human,Q123006407,,,
79,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284830Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577153Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594969Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731616Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091799Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188480Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229444Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836589Z","Mettler-Specker, Arnold, 1867-1945",former owner,,,Arnold Mettler,human,Q28077318,,,
80,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284838Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577158Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594972Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731629Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091812Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188493Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229457Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836601Z","Miaosheng, Shi, active 14th century",author,"妙聲, shi, 14th cent",http://id.loc.gov/authorities/names/no2002081308,Shi Miaosheng,human,Q45424272,,,
81,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284841Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577161Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594975Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.731646Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091825Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188518Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229475Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836613Z","Ming Taizu, Emperor of China, 1328-1398",author,"明太祖, Emperor of China, 1328-1398",http://id.loc.gov/authorities/names/n80056911,Hongwu Emperor,human,Q9957,,,
82,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284844Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577164Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594993Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732039Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091830Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188533Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229489Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836620Z","Morley of Hanaker, John, Sir, d. 1587",former owner,,,John Morley,human,Q6249449,,,
83,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284849Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577170Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594996Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732059Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091835Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188546Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229501Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836627Z","Mulse, Edmunde",former owner,,,Edmunde Mulse,human,Q123006494,,,
84,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284853Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577173Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.594999Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732069Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091847Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188566Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229518Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836645Z","Olschki, Leo S. 1861-1940",former owner,,http://id.loc.gov/authorities/names/nr99026841,,,,human,Leo Olschki,Q15051199
85,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284856Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577179Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595004Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732079Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091856Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188580Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229530Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836652Z",Orthodox Eastern Church,author,,http://id.loc.gov/authorities/names/n50000556,,,,organization,Eastern Orthodox Church,Q35032
86,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284864Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577186Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595007Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732089Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091862Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188594Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229542Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836658Z","Palmer of Fairfield, G",former owner,,,G. Palmer of Fairfield,human,Q123006543,,,
87,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284867Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577188Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595010Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732098Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091870Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188612Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229571Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836668Z","Peter Riga, approximately 1140-1209",author,,http://id.loc.gov/authorities/names/n87118179,,,,human,Petrus Riga,Q556117
88,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284870Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577193Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595014Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732104Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091876Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188625Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229584Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836675Z","Phillipps, Thomas, Sir, 1792-1872",former owner,,http://id.loc.gov/authorities/names/n50078542,,,,human,Thomas Phillipps,Q2147709
89,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284878Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577201Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595017Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732114Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091891Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188638Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229596Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836682Z","Pius II, Pope, 1405-1464",author,,http://id.loc.gov/authorities/names/n50081908,,,,human,Pius II,Q101437
90,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284881Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577203Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595024Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732127Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091910Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188656Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229660Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836691Z","Pownall, William, fl. 1724",former owner,,,William Pownall,human,Q123006695,,,
91,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284885Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577207Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595027Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732134Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091915Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188670Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229676Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836698Z","Qian, Zai, 1299-1394",author,"錢宰, 1299-1394",http://id.loc.gov/authorities/names/no2002093934,Qian Zai,human,Q122946600,,,
92,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284890Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577211Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595030Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732149Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091921Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188779Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229688Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836704Z","Scheide, John Hinsdale, 1875-1942",former owner,,http://id.loc.gov/authorities/names/nr96026642,John Hinsdale Scheide,human,Q113803276,,,
93,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284893Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577214Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595036Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732164Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091933Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229706Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836713Z","Scheide, William H. 1914-2014",former owner,,http://id.loc.gov/authorities/names/n82010454,William H. Scheide,human,Q19979546,,,
94,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284896Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577218Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595039Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732171Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091942Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188814Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229720Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836720Z","Scheide, William Taylor, 1847-1907",former owner,,http://id.loc.gov/authorities/names/nr96026641,William Taylor Scheide,human,Q121471393,,,
95,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284901Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577222Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595042Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732183Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091950Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188828Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229731Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.836726Z","Scheide, William Taylor, 1847-1907",former owner.,,http://id.loc.gov/authorities/names/nr96026641,William Taylor Scheide,human,Q121471393,,,
96,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284904Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577224Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595047Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732190Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091955Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188847Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229748Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.839158Z","Selden, John, 1584-1654",former owner,,http://id.loc.gov/authorities/names/n50005935,John Selden,human,Q735697,,,
97,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284907Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577230Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595051Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732196Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091960Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188861Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229760Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.846496Z","Sun, Yiyuan, 1484-1520",author,"孫一元, 1484-1520",http://id.loc.gov/authorities/names/nr96021170,Sun Yiyuan,human,Q45424958,,,
98,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284915Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577237Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595054Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732208Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091969Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188875Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229772Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847111Z","Sunderland, Anne Churchill, Countess of, 1674-1722",former owner,,,"Anne Spencer, Countess of Sunderland",human,Q2755975,,,
99,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-03T16:51:02.284918Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-03T16:55:29.577240Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-03T16:55:29.595058Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-03T17:08:02.732214Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-10-03T17:08:49.091975Z | NAME RECON STEP 6: START ORG RECON 2023-10-10T19:16:25.188893Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-10-10T19:16:25.229798Z | NAME RECON STEP 9: FINALIZED 2023-10-10T19:32:17.847126Z","Sunderland, Charles Spencer, Earl of, 1674-1722",former owner,,http://id.loc.gov/authorities/names/n81131857,"Charles Spencer, 3rd Earl of Sunderland",human,Q332619,,,
