name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,label-correct,structured_value
"A. Rosenthal, Ltd",former owner,,,organization,A. Rosenthal Ltd.,A. Rosenthal Ltd.,Q120869211
A. Rosenthal Ltd,former owner,,,organization,A. Rosenthal Ltd.,A. Rosenthal Ltd.,Q120869211
"Abbadia San Salvatore (Siena, Italy)",author,,,organization,Abbadia San Salvatore,Abbadia San Salvatore,Q91096
"Abbadia San Salvatore (Siena, Italy)",author,,http://id.loc.gov/authorities/names/nr87000182,organization,Abbadia San Salvatore,Abbadia San Salvatore,Q91096
Abbaye d'Ambronay,associated name,,,organization,Our Lady of Ambronay,Our Lady of Ambronay,Q1283154
"Abbaye d'Anchin (Pecquencourt, France)",former owner,,,organization,Anchin Abbey,Anchin Abbey,Q1971381
"Abbaye de Chassagne (Ain, France)",associated name,,,organization,Chassagne monastery,Chassagne monastery,Q1775120
"Abbaye de Saint-Martin de Tournai (Tournai, Belgium)",former owner,,,organization,Abbaye de Saint-Martin de Tournai,Abbaye de Saint-Martin de Tournai,Q2820407
"Abbaye Saint-Sulpice (Ain, France)",former owner,,,organization,Abbaye de Saint-Sulpice,Abbaye de Saint-Sulpice,Q1572876
Abbazia di Morimondo,former owner,,http://id.loc.gov/authorities/names/nr93035920 http://id.loc.gov/authorities/names/nr93035920 http://viaf.org/viaf/sourceID/LC%7cnr93035920,organization,Abbey of Morimondo,Abbey of Morimondo,Q1775687
"Abbe, Dorothy",former owner,,,human,"Abbe, Dorothy",Dorothy Abbe,Q123274719
"Abbey, J. R. 1896-1969",former owner,,,human,John Roland Abbey,John Roland Abbey,Q6255470
"Abbey, J. R. 1896-1969",former owner,,http://id.loc.gov/authorities/names/nr94014439,human,John Roland Abbey,John Roland Abbey,Q6255470
Abbey of Bury St. Edmunds,former owner,,http://id.loc.gov/authorities/names/n81086928,organization,Bury St Edmunds Abbey,Bury St Edmunds Abbey,Q334286
Abbot von Heselwang,former owner,,,human,Abbot von Heselwang,Abbot von Heselwang,Q114242549
"Abdülbâkî Ârif Efendi, 1633-1713",author,عبد الباقي عارف افندي،,,human,"Abdülbâkî Ârif Efendi, 1633-1713",Abdülbâkî Ârif Efendi,Q123581714
"Abell, William, active approximately 1440-1460",artist,,,human,William Abell,William Abell,Q18577146
"Abezier, Johann",former owner,,,human,Johannes Abezier,Johannes Abezier,Q95771
"Abhinanda, active 9th century",author,,http://id.loc.gov/authorities/names/n88147689,human,Abhinanda,Abhinanda,Q99972294
"Abhinavagupta, Rājānaka",author,,http://id.loc.gov/authorities/names/n50034836,human,Abhinavagupta,Abhinavagupta,Q320619
Abhinavanārāyaṇendrasarasvatī,author,,http://id.loc.gov/authorities/names/n79033269,human,Abhinavanārāyaṇendrasarasvatī,Abhinavanārāyaṇendrasarasvatī,Q124252802
"Abīwardī, Muḥammad ibn Aḥmad, -1113",author,ابيوردي، محمد بن احمد، -1113,,human,Muḥammad ibn Aḥmad Abīwardī,Muḥammad ibn Aḥmad Abīwardī,Q112875441
Abraham Abulafia,author,,,human,Abraham Abulafia,Abraham Abulafia,Q323448
Abraham bar Hiyya ha-Nasi,author,,,human,Abraham bar Hiyya,Abraham bar Hiyya,Q31439
"Abraham bar Hiyya Savasorda, approximately 1065-approximately 1136",author,,,human,Abraham bar Hiyya,Abraham bar Hiyya,Q31439
"Abraham bar Hiyya Savasorda, approximately 1065-approximately 1136",author,,http://id.loc.gov/authorities/names/n50057585,human,Abraham bar Hiyya,Abraham bar Hiyya,Q31439
"Abraham ben Meshullam, of Sant'Angelo",scribe,,,human,Abraham ben Meshullam of Sant'Angelo,Abraham ben Meshullam of Sant'Angelo,Q124426309
Abraham Faber,author,,,human,Abraham Faber,Abraham Faber,Q67198306
Abraham ibn Ezra,author,,,human,Abraham ibn Ezra,Abraham ibn Ezra,Q270670
"Abū al-Faraj al-Iṣbahānī, 897 or 898-967",author,ابو الفرج الاصبهاني، 897 or 898-967,,human,Abu al-Faraj al-Isfahani,Abu al-Faraj al-Isfahani,Q335599
"Abū al-Faraj al-Iṣbahānī, 897 or 898-967",author,ابو الفرج الاصبهاني، 897 or 898-967,,human,Abu al-Faraj al-Isfahani,Abu al-Faraj al-Isfahani,Q335599
"Abū al-Faraj ʻAbd Allāh ibn al-Tayyib, -1043",author,ابو الفرج عبد الله بن الطيب,http://id.loc.gov/authorities/names/nr95024340,human,Ibn al-Tayyib,Ibn al-Tayyib,Q2820894
"Abū al-Faraj ʻAbd Allāh ibn al-Tayyib, -1043",author,ابو الفرج عبد الله بن الطيب,http://id.loc.gov/authorities/names/nr95024340,human,Ibn al-Tayyib,Ibn al-Tayyib,Q2820894
"Abū al-Fatḥ ibn Abī al-Ḥasan, al-Sāmirī, active 1355",author,ابو الفتح بن ابي الحسن، السامري، active 1355,,human,Abu l-Fath,Abu l-Fath,Q3603860
Abū al-Ḥasan Dallāl,former owner,ابو الحسن دلال،,,human,Abū al-Ḥasan Dallāl,Abū al-Ḥasan Dallāl,Q124130444
Abū al-Ḥasan Sa'ad,scribe,,,human,Abū al-Ḥasan Sa'ad,Abū al-Ḥasan Sa'ad,Q116235219
