place_as_recorded,authorized_label,structured_value,ds_qid
Austria; Germany,Austria;Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084,Q132;Q131
"Austria; Germany, Austria or Germany (?)",Austria;Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084,Q132;Q131
"Austria; Germany, Flanders or Holland",Austria;Germany;Flanders;Holland,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/1003759,Q132;Q131;Q126;Q1295
"Austria; Germany, Germany",Austria;Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084,Q132;Q131
"Austria; Germany, Germany or Austria",Austria;Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084,Q132;Q131
"Austria; Germany, Southeastern Germany or Austria",Austria;Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084,Q132;Q131
"Austria; Germany, Southern Germany or Austria",Austria;Germany;Southern Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/4004316,Q132;Q131;Q4333
Austria; Germany?,Austria;Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084,Q132;Q131
Austria?,Austria,http://vocab.getty.edu/tgn/1000062,Q132
Austria ?,Austria,http://vocab.getty.edu/tgn/1000062,Q132
Austria? Hungary,Austria;Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278,Q132;Q19897
Austria? Hungary?,Austria;Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278,Q132;Q19897
Austria (northern),Austria,http://vocab.getty.edu/tgn/1000062,Q132
Austria or eastern Germany,Austria;Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084,Q132;Q131
Austria or Germany,Austria;Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084,Q132;Q131
Austria or Hungary,Austria;Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278,Q132;Q19897
Austria or Italy,Austria;Italy,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/1000080,Q132;Q134
Austria or southern Germany,Austria;Southern Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/4004316,Q132;Q4333
Austria or Southern Germany,Austria;Southern Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/4004316,Q132;Q4333
Austro-Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669,Q1303
Autun,Autun,http://vocab.getty.edu/tgn/7008237,Q76256
"Autun, France",Autun;France,http://vocab.getty.edu/tgn/7008237;http://vocab.getty.edu/tgn/1000070,Q76256;Q122
Autun?] (France),Autun;France,http://vocab.getty.edu/tgn/7008237;http://vocab.getty.edu/tgn/1000070,Q76256;Q122
Āvarnah,Avarneh,http://vocab.getty.edu/tgn/8898656,Q63769
"Aveyron, France",Département de l'Aveyron;France,http://vocab.getty.edu/tgn/7002906;http://vocab.getty.edu/tgn/1000070,Q42463;Q122
Avignon,Avignon,http://vocab.getty.edu/tgn/7008799,Q4328
"Avignon, France",Avignon;France,http://vocab.getty.edu/tgn/7008799;http://vocab.getty.edu/tgn/1000070,Q4328;Q122
Avignon?,Avignon,http://vocab.getty.edu/tgn/7008799,Q4328
"Avignon?, France",Avignon;France,http://vocab.getty.edu/tgn/7008799;http://vocab.getty.edu/tgn/1000070,Q4328;Q122
"Avignon?, Southern France",Avignon;Southern France,http://vocab.getty.edu/tgn/7008799;http://vocab.getty.edu/tgn/4004037,Q4328;Q19904
Avila,Ávila,http://vocab.getty.edu/tgn/7007090,Q66905
Avio,Avio,http://vocab.getty.edu/tgn/7005507,Q76300
Awrangābād [Pakistan,Aurangābād;Pakistan,http://vocab.getty.edu/tgn/8000157;http://vocab.getty.edu/tgn/1000133,Q106567;Q106568
Badia Polesine,Badia Polesine,http://vocab.getty.edu/tgn/7003285,Q76314
Baghdad,Baghdad,http://vocab.getty.edu/tgn/7002482,Q11612
Baghdād,Baghdad,http://vocab.getty.edu/tgn/7002482,Q11612
Baghdād,Baghdad,http://vocab.getty.edu/tgn/7002482,Q11612
"Baghdad, Iraq",Baghdad;Iraq,http://vocab.getty.edu/tgn/7002482;http://vocab.getty.edu/tgn/1000118,Q11612;Q3090
Baldat Shām,Syria (region),http://vocab.getty.edu/tgn/7594765,Q38306
Bali (Indonesia : Province),Bali;Indonesia,http://vocab.getty.edu/tgn/1001137;http://vocab.getty.edu/tgn/1000116,Q100359;Q38217
Balikesri (Turkey),Balıkesir;Turkey,http://vocab.getty.edu/tgn/1086053;http://vocab.getty.edu/tgn/1000144,Q52678;Q3079
Balkan Peninsula,Balkan Peninsula,http://vocab.getty.edu/tgn/7011636,Q27480
Bamberg,Bamberg,http://vocab.getty.edu/tgn/7004325,Q6976
"Bamberg, Germany",Bamberg;Germany,http://vocab.getty.edu/tgn/7004325;http://vocab.getty.edu/tgn/7000084,Q6976;Q131
