File,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid
titles.csv,al-Awwal min al-ʻInāyah sharḥ al-Hidāyah,الاول من العناية شرح الهداية.,ʻInāyah ʻalá al-Hidāyah,عناية على الهداية,ʻInāyah ʻalá al-Hidāyah,Q12061
titles.csv,al-Awwal min Kitāb Tajrīd al-uṣūl min aḥādīth al-Rasūl,الاول من كتاب تجريد الصول من احاديث الرسول-,Tajrīd al-uṣūl min aḥādīth al-Rasūl,تجريد الصول من احاديث الرسول,Tajrīd al-uṣūl min aḥādīth al-Rasūl,Q39177
titles.csv,al-Bahjah al-wafīyah,,,,al-Bahjah al-wafīyah,Q54562
titles.csv,al-Basīṭ,,,,Works of Basīṭ,Q54601
titles.csv,al-Bayān wa al-tidhkār fī ṣinʻat ʻamal al-ghubār,البيان و التذكار في صنعة عمل الغبار.,,,al-Bayān wa al-tidhkār fī ṣinʻat ʻamal al-ghubār,Q39160
titles.csv,al-Bayān wa al-tidhkār fī ṣinʻat ʻamal al-ghubār,البيان و التذكار في صنعة عمل الغبار.,,,al-Bayān wa al-tidhkār fī ṣinʻat ʻamal al-ghubār,Q39160
titles.csv,Al Beharistan,,,,Baharestan,Q39215
titles.csv,al-Bulbul al-faṣīḥ,البلبل الفصيح,,,Works of Bulbul,Q54675
titles.csv,"Album of English manuscripts; poems, epigrams and letters written between 1450 and 1790",,,,Miscellany,Q3673
titles.csv,Album of miniatures and specimens of calligraphy of Indian origin,,,,Calligraphy,Q39902
titles.csv,"Alchemical, medical and technical compilation",,,,Scientific texts,Q7521
titles.csv,Alchemical compendium,,,,Alchemical texts,Q3132
titles.csv,Alchemical manuscript(s),,,,Alchemical texts,Q3132
titles.csv,Alchemical miscellany,,,,Alchemical texts,Q3132
titles.csv,"Alchemical miscellany, including a table of transmutable metals",,,,Alchemical texts,Q3132
titles.csv,Alciatis Gaietano .s.,,,,Verse,Q39179
titles.csv,al-Daftar al-khāmis min dafātir Tawārīkh al-ʻālam /,الدفتر الخامس من دفاتر تواريخ العالم /,Rawz̤at al-ṣafā,روضة الصفا,Rawz̤at al-ṣafāʼ,Q48522
titles.csv,al-Ḍawʼ ʻalá al-Miṣbāḥ,,,,al-Ḍawʼ ʻalá al-Miṣbāḥ,Q54486
titles.csv,al-Dhukhr,الذخر.,,,Dhukhr,Q11696
titles.csv,Aldobrando Delci power of attorney,,,,Power of attorney,Q8176
titles.csv,al-Durar al-farāʼid ʻalá mukhtaṣar al-Qawāʻid,,,,al-Durar al-farāʼid ʻalá mukhtaṣar al-Qawāʻid,Q54587
titles.csv,al-Durar al-kāfiyah fī ḥall Sharḥ al-Shāfiyah,,,,al-Durar al-kāfiyah fī ḥall Sharḥ al-Shāfiyah,Q54633
