item,itemLabel,description,DSID,searchURL,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q138106223,"Williamstown, Massachusetts, Williams College, Codex Mss 028",manuscript containing Farraggine astronomica.,DS25507,https://search.digital-scriptorium.org/catalog/DS25507,Q98247,Q98248,Williams College,Codex Mss 028
http://www.wikidata.org/entity/Q138106224,"Williamstown, Massachusetts, Williams College, Codex Mss 029",manuscript containing Aurelii Augustini tractatus de psalmodi.,DS25508,https://search.digital-scriptorium.org/catalog/DS25508,Q98250,Q98251,Williams College,Codex Mss 029
http://www.wikidata.org/entity/Q138106226,"Williamstown, Massachusetts, Williams College, Codex Mss 030",manuscript containing Breviarum Romanum.,DS25509,https://search.digital-scriptorium.org/catalog/DS25509,Q98253,Q98254,Williams College,Codex Mss 030
http://www.wikidata.org/entity/Q138106228,"Williamstown, Massachusetts, Williams College, Codex Mss 031",manuscript containing [Liber meditationum].,DS25510,https://search.digital-scriptorium.org/catalog/DS25510,Q98256,Q98257,Williams College,Codex Mss 031
http://www.wikidata.org/entity/Q138105968,"Williamstown, Massachusetts, Williams College, Codex Mss 032",manuscript containing [Horae B.V.M. use of Rome].,DS25511,https://search.digital-scriptorium.org/catalog/DS25511,Q98259,Q98260,Williams College,Codex Mss 032
http://www.wikidata.org/entity/Q138106229,"Williamstown, Massachusetts, Williams College, Codex Mss 033",manuscript containing [Horae B.V.M.].,DS25512,https://search.digital-scriptorium.org/catalog/DS25512,Q98262,Q98263,Williams College,Codex Mss 033
http://www.wikidata.org/entity/Q138106231,"Williamstown, Massachusetts, Williams College, Codex Mss 034",manuscript containing [Horae B.V.M.].,DS25513,https://search.digital-scriptorium.org/catalog/DS25513,Q98265,Q98266,Williams College,Codex Mss 034
http://www.wikidata.org/entity/Q138106233,"Williamstown, Massachusetts, Williams College, Codex Mss 035",manuscript containing Missal,DS25514,https://search.digital-scriptorium.org/catalog/DS25514,Q98268,Q98269,Williams College,Codex Mss 035
http://www.wikidata.org/entity/Q138106234,"Williamstown, Massachusetts, Williams College, Codex Mss 036",manuscript containing Sermones Quadragsimales,DS25515,https://search.digital-scriptorium.org/catalog/DS25515,Q98271,Q98272,Williams College,Codex Mss 036
http://www.wikidata.org/entity/Q138105970,"Williamstown, Massachusetts, Williams College, Codex Mss 037",manuscript containing [Syriac New Testament],DS25516,https://search.digital-scriptorium.org/catalog/DS25516,Q98274,Q98275,Williams College,Codex Mss 037
http://www.wikidata.org/entity/Q138106236,"Williamstown, Massachusetts, Williams College, Codex Mss 038",manuscript containing Carta executoria a pedimiento de Diego de Herrera Pimentel vezino del lugar de los Verchules.,DS25517,https://search.digital-scriptorium.org/catalog/DS25517,Q98277,Q98278,Williams College,Codex Mss 038
http://www.wikidata.org/entity/Q138106245,"Williamstown, Massachusetts, Williams College, Codex Mss 039",manuscript containing Carta executoria de hidalguia a pedimiento de Luis de Soto Morillo y Francisco de Soto ci d vezinos de la villa de Belalcazar.,DS25518,https://search.digital-scriptorium.org/catalog/DS25518,Q98280,Q98281,Williams College,Codex Mss 039
http://www.wikidata.org/entity/Q138106246,"Williamstown, Massachusetts, Williams College, Codex Mss 040",manuscript containing خمسه نظامی; Khamsah Niẓāmī,DS25519,https://search.digital-scriptorium.org/catalog/DS25519,Q98283,Q98284,Williams College,Codex Mss 040
