item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q131478309,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.273",manuscript containing Bible (Glossed),DS11692,Ohio State University,Spec.Rare.MS.MR.Frag.273
http://www.wikidata.org/entity/Q131478311,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.274",manuscript containing Historia Scholastica,DS11693,Ohio State University,Spec.Rare.MS.MR.Frag.274
http://www.wikidata.org/entity/Q131477800,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.275",manuscript containing Bible (portable),DS11694,Ohio State University,Spec.Rare.MS.MR.Frag.275
http://www.wikidata.org/entity/Q131477804,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.276",manuscript containing Bible (portfolio),DS11695,Ohio State University,Spec.Rare.MS.MR.Frag.276
http://www.wikidata.org/entity/Q131478312,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.277",manuscript containing Medical treatise,DS11696,Ohio State University,Spec.Rare.MS.MR.Frag.277
http://www.wikidata.org/entity/Q131477806,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.278",manuscript containing Unidentified treatise on astronomy / astrology,DS11697,Ohio State University,Spec.Rare.MS.MR.Frag.278
http://www.wikidata.org/entity/Q131478314,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.279",manuscript containing In V Libros Decretalium,DS11698,Ohio State University,Spec.Rare.MS.MR.Frag.279
http://www.wikidata.org/entity/Q131478316,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.280",manuscript containing Sermones de sanctis,DS11699,Ohio State University,Spec.Rare.MS.MR.Frag.280
http://www.wikidata.org/entity/Q131750005,"Lawrence, Kansas, University of Kansas, MS C160",manuscript containing Quadragesimale Rothimata /,DS1170,University of Kansas,2959876|MS C160
http://www.wikidata.org/entity/Q131478318,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.281",manuscript containing Summa de Casibus Conscientiae,DS11700,Ohio State University,Spec.Rare.MS.MR.Frag.281
http://www.wikidata.org/entity/Q131477808,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.282",manuscript containing Bible (pocket),DS11701,Ohio State University,Spec.Rare.MS.MR.Frag.282
http://www.wikidata.org/entity/Q131477809,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.283",manuscript containing Sermones,DS11702,Ohio State University,Spec.Rare.MS.MR.Frag.283
http://www.wikidata.org/entity/Q131477811,"Columbus, Ohio, Ohio State University, Spec.Rare.MS.MR.Frag.284",manuscript containing Festivalia,DS11703,Ohio State University,Spec.Rare.MS.MR.Frag.284
