item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q132169427,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.97","manuscript containing Tratado de la Orden de Toison de Oro y sus constituciones; irigido a Don Philipe V. deste nombre en la sucession de Borgona, principe de España nuestro señor",DS12752,"University of California, Berkeley",991048141619706532|BANC MS UCB 143 v.97
http://www.wikidata.org/entity/Q132169428,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.117",manuscript containing Chronici henrrici quarti Regis Castelle,DS12753,"University of California, Berkeley",991048149519706532|BANC MS UCB 143 v.117
http://www.wikidata.org/entity/Q132169429,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.137",manuscript containing Comiença la chronica del Jllustrissimo Prinçipe Don Henrrique quarto rey deste nombre en Castilla y en Leon /,DS12754,"University of California, Berkeley",991048149799706532|BANC MS UCB 143 v.137
http://www.wikidata.org/entity/Q132169430,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.138",manuscript containing Comiença la coronica del 4o rey Don Henrrique de Gloriosa memoria /,DS12755,"University of California, Berkeley",991048149939706532|BANC MS UCB 143 v.138
http://www.wikidata.org/entity/Q132169432,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.139",manuscript containing Coronica del rey Don Enrique quarto despaña /,DS12756,"University of California, Berkeley",991048150109706532|BANC MS UCB 143 v.139
http://www.wikidata.org/entity/Q132169437,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.118","manuscript containing Siete libros de republica sacados de derecho diuino y natural y humano y de los antiguos buenos echos y costumbres de los los españoles y otras nasiones, todo recupilado segun esmerado derecho /",DS12757,"University of California, Berkeley",991048183029706532|BANC MS UCB 143 v.118
http://www.wikidata.org/entity/Q132169438,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.119",manuscript containing Sant. Isidro Arçobispo de Seuilla /,DS12758,"University of California, Berkeley",991048183089706532|BANC MS UCB 143 v.119
http://www.wikidata.org/entity/Q132169439,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.122",manuscript containing Historia general de Hespaña,DS12759,"University of California, Berkeley",991048183169706532|BANC MS UCB 143 v.122
http://www.wikidata.org/entity/Q132169440,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.123","manuscript containing Compendio delos reyes a tenido España desde Adam, hasta el rey Don Phelipe el quarto n[uest]ro señor",DS12760,"University of California, Berkeley",991048183239706532|BANC MS UCB 143 v.123
http://www.wikidata.org/entity/Q132169433,"Berkeley, California, University of California, Berkeley, BANC MS UCB 143 v.124",manuscript containing Cronica dela destrucion y renuevo de las españas,DS12761,"University of California, Berkeley",991048183319706532|BANC MS UCB 143 v.124
