item,itemLabel,description,DSID,manuscriptQID,recordQID,collection,identifiers
http://www.wikidata.org/entity/Q131750000,"Lawrence, Kansas, University of Kansas, MS C131","manuscript containing Regula, with Latin commentary",DS1165,Q6354,Q6355,University of Kansas,2959848|MS C131
http://www.wikidata.org/entity/Q131750001,"Lawrence, Kansas, University of Kansas, MS C143",manuscript containing Collection of religious and theological treatises /,DS1166,Q6357,Q6358,University of Kansas,2959860|MS C143
http://www.wikidata.org/entity/Q131750002,"Lawrence, Kansas, University of Kansas, MS C145",manuscript containing Sermoni alli soi frati heremitani,DS1167,Q6360,Q6361,University of Kansas,2959862|MS C145
http://www.wikidata.org/entity/Q131750003,"Lawrence, Kansas, University of Kansas, MS C147",manuscript containing Decretals and other fragments /,DS1168,Q6363,Q6364,University of Kansas,2959864|MS C147
http://www.wikidata.org/entity/Q131750004,"Lawrence, Kansas, University of Kansas, MS C158",manuscript containing A collection of mediaeval devotional works in Italian,DS1169,Q6366,Q6367,University of Kansas,2959873|MS C158
http://www.wikidata.org/entity/Q131750005,"Lawrence, Kansas, University of Kansas, MS C160",manuscript containing Quadragesimale Rothimata /,DS1170,Q6369,Q6370,University of Kansas,2959876|MS C160
http://www.wikidata.org/entity/Q131750006,"Lawrence, Kansas, University of Kansas, MS C164",manuscript containing Malogranatus and other texts,DS1171,Q6372,Q6373,University of Kansas,2959879|MS C164
http://www.wikidata.org/entity/Q131750007,"Lawrence, Kansas, University of Kansas, MS C277",manuscript containing Epistolae /,DS1172,Q6375,Q6376,University of Kansas,2959962|MS C277
http://www.wikidata.org/entity/Q131750008,"Lawrence, Kansas, University of Kansas, MS C278",manuscript containing Sermones de mortuis secundum evangelia dominicalia /,DS1173,Q6378,Q6379,University of Kansas,2959963|MS C278
http://www.wikidata.org/entity/Q131750009,"Lawrence, Kansas, University of Kansas, MS C283",manuscript containing Opusculum de formandis epistolis (incomplete),DS1174,Q6381,Q6382,University of Kansas,2959970|MS C283
http://www.wikidata.org/entity/Q131750010,"Lawrence, Kansas, University of Kansas, MS C189",manuscript containing Collection of works by Aristotle and commentaries on Aristotle's works,DS1175,Q6384,Q6385,University of Kansas,2960364|MS C189
http://www.wikidata.org/entity/Q131750011,"Lawrence, Kansas, University of Kansas, MS J6:2",manuscript containing A Heu Glossary,DS1176,Q6387,Q6388,University of Kansas,2960396|MS J6:2
http://www.wikidata.org/entity/Q131750012,"Lawrence, Kansas, University of Kansas, MS J6:3:A1","manuscript containing Leaf containing Ecclesiastes xii, 16 to xvi, 22",DS1177,Q6390,Q6391,University of Kansas,2960397|MS J6:3:A1
http://www.wikidata.org/entity/Q131750013,"Lawrence, Kansas, University of Kansas, MS C210","manuscript containing Commentaries on Aristotle; on the Physica, De generatione et corruptione, De celo et mundo, De anima",DS1178,Q6393,Q6394,University of Kansas,2960444|MS C210
http://www.wikidata.org/entity/Q131750014,"Lawrence, Kansas, University of Kansas, MS B22","manuscript containing Lilium medicinae, extract",DS1179,Q6396,Q6397,University of Kansas,2960451|MS B22
