row_index,workflow_history,place_as_recorded,authorized_label_add,structured_value_add,authorized_label,structured_value
43,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.522769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z","Cologne?, Germany",,,Cologne;Germany,http://vocab.getty.edu/tgn/7004446;http://vocab.getty.edu/tgn/7000084
44,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.522769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z","Constance, Germany",,,Konstanz;Germany,http://vocab.getty.edu/tgn/7005174;http://vocab.getty.edu/tgn/7000084
45,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.522769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z",Constantinople,,,Istanbul,http://vocab.getty.edu/tgn/7002473
46,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.522769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z","Constantinople, Turkey",,,Istanbul;Turkey,http://vocab.getty.edu/tgn/7002473;http://vocab.getty.edu/tgn/1000144
47,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.522769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z",Constantinople?,,,Istanbul,http://vocab.getty.edu/tgn/7002473
48,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.522769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z","Cremona, Italy",,,Cremona;Italy,http://vocab.getty.edu/tgn/7005868;http://vocab.getty.edu/tgn/1000080
49,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.522769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z","Cuijk?, Netherlands",,,Cuyk;Netherlands,http://vocab.getty.edu/tgn/7006847;http://vocab.getty.edu/tgn/7016845
50,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.522769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z","Dijon, Burgundy, France",,,Dijon;Burgundy;France,http://vocab.getty.edu/tgn/7008224;http://vocab.getty.edu/tgn/7029372;http://vocab.getty.edu/tgn/1000070
51,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.522769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z","Diocese of Treviso, Montello, Italy",,,Treviso;Volpago del Montello;Italy,http://vocab.getty.edu/tgn/7002996;http://vocab.getty.edu/tgn/1047496;http://vocab.getty.edu/tgn/1000080
52,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.522769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z",Eastern Netherlands,,,Netherlands,http://vocab.getty.edu/tgn/7016845
53,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.522769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z",Egypt ;,,,Egypt,http://vocab.getty.edu/tgn/7016833
54,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.522769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z",Egypt?,,,Egypt,http://vocab.getty.edu/tgn/7016833
55,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.522769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z","Emilia-Romagna, Rimini?, Italy",,,Emilia-Romagna;Rimini;Italy,http://vocab.getty.edu/tgn/7008516;http://vocab.getty.edu/tgn/7004929;http://vocab.getty.edu/tgn/1000080
56,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.522769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z","Emilia?, Italy",,,Emilia;Italy,http://vocab.getty.edu/tgn/7015397;http://vocab.getty.edu/tgn/1000080
57,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.522769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.174308400Z",England,,,England,http://vocab.getty.edu/tgn/7002445
