title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,authorized_label
Kitāb Tawḍīḥ al-Alfīyah /,كتاب توضيح الالفية /,Awḍaḥ al-masālik ilá Alfīyat Ibn Mālik,اوضح المسالك الى الفية ابن مالك,Awḍaḥ al-masālik ilá Alfīyat Ibn Mālik,
Kitāb Taʻlīm al-mutaʻallim ... etc,كتاب تعليم المتعلم ... الخ.,,,Taʻlīm al-mutaʻallim,
Kitāb Thamarāt al-bustān fī taḥqīq masʼalat al-Rummān /,كتاب ثمرات البستان في تحقيق مسئلة الرمان /,Thamarāt al-bustān fī taḥqīq masʼalat al-Rummān,ثمرات البستان في تحقيق مسئلة الرمان,Thamarāt al-bustān fī taḥqīq masʼalat al-Rummān,
Kitāb Ṭibb Aʻrābī,کتاب طب اعرابي.,,,Kitāb Ṭibb Aʻrābī,
Kitāb Ṭirāz al-ḥullah fī salṭanat al-qullah /,كتاب طراز الحلة في سلطنة القلة /,Ṭirāz al-ḥullah fī salṭanat al-qullah,طراز الحلة فى سلطنة القلة,Ṭirāz al-ḥullah fī salṭanat al-qullah,
Kitāb Tuḥfat al-adīb fī al-radd ʻalá ahl al-ṣalīb /,كتاب تحفة الاديب في الرد على اهل الصليب /,Tuḥfat al-arīb fī al-radd ʻalá ahl al-ṣalīb,تحفة الاريب في الرد على اهل الصليب,Tuḥfat al-arīb fī al-radd ʻalá ahl al-ṣalīb,
Kitāb Tuḥfat al-anām fī faḍāʼil al-Shām /,كتاب تحفة الانام في فضائل الشام /,Tuḥfat al-anām fī faḍāʼil al-Shām,تحفة الانام في فضائل الشام,Tuḥfat al-anām fī faḍāʼil al-Shām,
Kitāb Tuḥfat al-jalīl fī akhbār Miṣr wa-al-Nīl /,كتاب تحفة الجليل في اخبار مصر والنيل /,Tuḥfat al-jalīl fī akhbār Miṣr wa-al-Nīl,تحفة الجليل في اخبار مصر والنيل,Tuḥfat al-jalīl fī akhbār Miṣr wa-al-Nīl,
Kitāb Yatīmat al-dahr,کتاب يتيمة الدهر.,Yatīmat al-dahr,يتيمة الدهر,Yatīmat al-dahr,
Kitāb Yatīmat al-dahr fī maḥāsin ahl al-ʻaṣr /,كتاب يتيمة الدهر في محاسن اهل العصر /,Yatīmat al-dahr fī maḥāsin ahl al-ʻaṣr,يتيمة الدهر في محاسن اهل العصر,Yatīmat al-dahr fī maḥāsin ahl al-ʻaṣr,
Kitāb yusammá al-ʻAqīdah al-Darwīshīyah fī taḥrīr al-sabʻ funūn al-adabīyah /,كتاب يسمى العقيدة الدرويشية في تحرير السبع فنون الادبية /,"ʻAqīdah al-Darwīshīyah fī taḥrīr al-sabʻ funūn
				al-adabīyah.",عقيدة الدرويشية في تحرير السبع فنون الادبية.,ʻAqīdah al-Darwīshīyah fī taḥrīr al-sabʻ funūn al-adabīyah,
Kitāb Zahr al-rayāḥīn fī Riyāḍ al-ṣāliḥīn /,كتاب زهر الرياحين في رياض الصالحين /,Zahr al-rayāḥīn fī Riyāḍ al-ṣāliḥīn,زهرالرياحين من رياض الصالحين,Zahr al-rayāḥīn fī Riyāḍ al-ṣāliḥīn,
Kitāb Zubdat al-bayān fī rusūm maṣāḥif ʻUthmān /,كتاب زبدة البيان في رسوم مصاحف عثمان /,Zubdat al-bayān fī rusūm maṣāhif ʻUthmān,زبدة البيان في رسوم مصاحف عثمن,Zubdat al-bayān fī rusūm maṣāhif ʻUthmān,
Kitāb Zubdat al-minḥah fī ʻilmay al-ʻilāj wa-al-ṣiḥḥah. Kitāb Risālat al-Shuhdah fī takmīl muqaddimat al-Zubdah,"كتاب زبدة المنحة في علمي العلاج والصحة. كتاب رسالة الشهدة في تكميل مقدمة
				الزبدة",Works.,اعمال.,Works,
Kitāb ʻUjālat al-muḥtāj li-sharḥ al-Minhāj /,كتاب عجالة المحتاج لشرح المنهاج /,ʻUjālat al-muḥtāj ilá tawjīh al-Minhāj.,عجالة المحتاج الى توجيه المنهاج.,ʻUjālat al-muḥtāj ilá tawjīh al-Minhāj,
Kitāb ʻUmdat al-aḥkām /,كتاب عمدة الاحكام /,ʻUmdat al-aḥkām,عمدة الاحكام,ʻUmdat al-aḥkām,
Kitāb ʻUmdat al-aḥkām min aḥādīth Sayyid al-Anām /,كتاب عمدة الاحكام من احاديث سيد الانام /,,,ʻUmdat al-aḥkām min aḥādīth Sayyid al-Anām,
Kitāb ʻUnqūd al-zawāhir,كتاب عنقود الزواهر.,ʻUnqūd al-zawāhir,عنقود الزواهر,ʻUnqūd al-zawāhir,
Kitāb ʻUyūn al-madhāhib fī khilāfāt al-amṣār /,كتاب عيون المذاهب في خلافاة الامصار /,ʻUyūn al-madhāhib fī khilāfāt al-amṣār,عيون المذاهب في خلافات الامصار,ʻUyūn al-madhāhib fī khilāfāt al-amṣār,
Lāmīyat Ibn al-Wardī,لاميت ابن الوردي.,Sharḥ Lāmīyat Ibn al-Wardī,شرح لامية ابن الوردي,Sharḥ Lāmīyat Ibn al-Wardī,
Lectionary of prophets,,,,Lectionary,
Le gouuernement des rois et princes terriens. Le liure de bonnes meurs / Jacques Legrand,,,,Le governement des rois et princes terriens,
Liber dialogorvm,,Dialogi,,Dialogi,
Libro de capitoli della compagnia della fraternita di santo bernardo la quale si raguna alla badia a septimo ... etc,,,,Capitoli della compagnia della fraternita di santo bernardo la quale si raguna alla badia a septimo,
Lughāt,لغات.,,,Lughāt,
Mafātīḥ al-jinān wa-maṣābīḥ al-janān,مفاتيح الجنان ومصابيح الجنان.,,,Mafātīḥ al-jinān wa-maṣābīḥ al-janān,
Majālis al-abrār wa-masālik al-akhyār wa-makhāliq al-bidaʻ wa-maqāmiʻ al-ashrār,مجالس الابرار ومسالك الاخيار ومخالق البدع ومقامع الاشرار,Majālis al-abrār,مجالس الابرار,Majālis al-abrār,
Majmaʻ al-baḥrayn,مجمع البحرين.,Majmaʻ al-baḥrayn wa-multaqá al-nayyirayn,مجمع البحرين وملتقى النيرين,Majmaʻ al-baḥrayn wa-multaqá al-nayyirayn,
Majmaʻ al-baḥrayn wa-maṭlaʻ al-badrayn /,مجمع البحرين ومطلع البدرين /,Itqān fī ʻulūm al-Qurʼān,اتقان في علوم القرآن,Itqān fī ʻulūm al-Qurʼān,
Majmaʻ al-fatāwá /,مجمع الفتاوى /,,,Majmaʻ al-fatāwá,
Majmaʻ biḥār al-anwār fī gharāʼib al-tanzīl wa-laṭāʼif al-akhbār,مجمع بحار الانوار في غرائب التنزيل ولطائف الاخبار,,,Majmaʻ biḥār al-anwār fī gharāʼib al-tanzīl wa-laṭāʼif al-akhbār,
Majmūat ʻaqāʼid,مجموة عقائد.,,,Majmūat ʻaqāʼid,
Majmūʻ adabīyāt,مجموع ادبيات.,,,Majmūʻ adabīyāt,
Majmūʻah ḥisābīyah,مجموعة حسابية.,,,Majmūʻah ḥisābīyah,
Majmūʻah laṭīfah tashtamilu ʻalá sajʻ fāyiq wa-naẓm rāyiq wa-akhbār wa-ghurar asmār /,مجموعة لطيفة تشتمل على سجع فايق ونظم رايق واخبار وغرر اسمار.,,,Majmūʻah laṭīfah tashtamilu ʻalá sajʻ fāyiq wa-naẓm rāyiq wa-akhbār wa-ghurar asmār,
Majmūʻah rasāʼil,مجموعة رسائل.,,,Majmūʻah rasāʼil,
Majmūʻah shiʻrīyah muntakhabah min al-kitāb al-mashhūr al-musammá al-Badr al-sāfir ʻan uns al-musāfir ... etc,"مجموعة شعرية منتخبة من الكتاب المشهور المسمى البدر السافر عن انس المسافر
				... الخ",,,Majmūʻah shiʻrīyah muntakhabah min al-kitāb al-mashhūr al-musammá al-Badr al-sāfir ʻan uns al-musāfir,
Majmūʻah ṭibbīyah,مجموعة طبية,,,Majmūʻah ṭibbīyah,
Majmūʻat alghāz wa-nawādir,مجموعة الغاز ونوادر.,,,Majmūʻat alghāz wa-nawādir,
Majmūʻat ashghāl al-mūsīqah wa-al-nawbāt al-sabʻah wa-al-uṣūlāt al-ithnayn wa-sabʻīn uṣūl,"مجموعة اشغال الموسيقة والنوبات السبعة والاصولات الاثنين وسبعين
				اصول.",,,Majmūʻat ashghāl al-mūsīqah wa-al-nawbāt al-sabʻah wa-al-uṣūlāt al-ithnayn wa-sabʻīn uṣūl,
Majmūʻat ashʻār fī madḥ sayyidī Aḥmad al-Badawī,مجموعة اشعار في مدح سيدي احمد البدوي.,,,Majmūʻat ashʻār fī madḥ sayyidī Aḥmad al-Badawī,
Majmūʻat ashʻār mukhtalifah,مجموعة اشعارمختلفة.,,,Majmūʻat ashʻār mukhtalifah,
Majmūʻat asʼilat imtiḥān ... etc,مجموعة اسئلة امتحان ... الخ.,,,Majmūʻat asʼilat imtiḥān,
Majmuʻat qaṣāʼid /,مجموعة قصائد.,,,Majmuʻat qaṣāʼid,
Majmūʻat qaṣāʼid wa-ashʻār wa-mawwālāt wa-ghayr dhālik,مجموعة قصائد واشعار وموالات وغير ذلك.,,,Majmūʻat qaṣāʼid wa-ashʻār wa-mawwālāt wa-ghayr dhālik,
Majmūʻat qiṭaʻ adabīyah,مجموعة قطع ادبية,,,Majmūʻat qiṭaʻ adabīyah,
Majmūʻ fīhi khamsat rasāyil li-Nūḥ Afandī,مجموع فيه خمسة رسايل لنوح افندي.,,,Majmūʻ fīhi khamsat rasāyil li-Nūḥ Afandī,
Majmūʻ ḥuwiyá kitābayn ʻaẓīmayn,مجموع حويى كتابين عظيمين :,,,Majmūʻ ḥuwiyá kitābayn ʻaẓīmayn,
Majmūʻ laṭīf ḥāwī min kull shiʻr ẓarīf wa-fīhi min kalām Ibn al-Darrā wa-Turjumān al-ashwāq,"مجموع لطيف حاوي من کل شعر ظريف وفيه من کلام ابن الدرا وترجمان
				الاشواق.",,,Majmūʻ laṭīf ḥāwī min kull shiʻr ẓarīf wa-fīhi min kalām Ibn al-Darrā wa-Turjumān al-ashwāq,
Majmūʻ mubārak,مجموع مبارك.,,,Majmūʻ mubārak,
Majmūʻ ẓarīf min laṭāyif wa-raqayiq wa-ẓarāyif wa-daqāyiq wa-qaṣāyid sanīyah wa-nukat adabīyah ...,مجموع ظريف من لطايف ورقايق وظرايف ودقايق وقصايد سنية ونکت ادبية.,,,Majmūʻ ẓarīf min laṭāyif wa-raqayiq wa-ẓarāyif wa-daqāyiq wa-qaṣāyid sanīyah wa-nukat adabīyah,
Majūʻah fī awwalhā Matn al-Hamzīyah ... etc,مجوعة في اولها متن الهمزية ... الخ.,,,Majūʻah fī awwalhā Matn al-Hamzīyah,
Manāqib al-Imām Abū Bakr ibn Qiwām,مناقب الامام ابي بکر ابن قوام.,,,Manāqib al-Imām Abū Bakr ibn Qiwām,
Manār,منار.,,,Manār,
Manār Ibn Malak min al-uṣūl,منار ابن ملك من الاصول.,Sharḥ Manār al-anwār fī uṣūl al-fiqh,شرح منار الانوار في اصول الفقه,Sharḥ Manār al-anwār fī uṣūl al-fiqh,
Manāsik al-ḥajj /,مناسك الحج /,,,Manāsik al-ḥajj,
Maqālah tashtamilu ʻalá fuṣūl min Kitāb al-ḥayawān li-Arisṭū,مقالة تشتمل على فصول من كتاب الحيوان لارسطوا.,,,Maqālah tashtamilu ʻalá fuṣūl min Kitāb al-ḥayawān li-Arisṭū,
Maqāmāt Abū al-Qạsim Maḥmūd ibn ʻUmar al-Zamakhsharī,مقامات ابو القسم محمود بن عمر الزمخشري.,Maqāmāt al-Zamakhsharī.,مقامات الزمخشري.,Maqāmāt al-Zamakhsharī,
Maqāmat fatḥ Qandīyah ... etc,مقامة فتح قندية ... الخ,,,Maqāmat fatḥ Qandīyah,
Maqāmāt-i Ḥarīrī,مقامات حريري.,Maqāmāt,مقامات,Maqāmāt,
Mā rawāhu al-sādah fī al-ittikāʼ ʻalá al-wisādah /,ما رواه الساده في الاتكاء على الوساده /,,,Mā rawāhu al-sādah fī al-ittikāʼ ʻalá al-wisādah,
Maṣābīḥ al-sunnah,مصابيح السنة.,,,Maṣābīḥ al-sunnah,
Mashāriq al-anwār al-nabawīyah min ṣiḥāḥ al-akhbār al-Muṣṭafawīyah,مشارق الانوار النبوية من صحاح الاخبار المصطفوية.,,,Mashāriq al-anwār al-nabawīyah min ṣiḥāḥ al-akhbār al-Muṣṭafawīyah,
Mashāriq sharīf,مشارق شريف.,Mashāriq al-anwār,مشارق الانوار,Mashāriq al-anwār,
Maṭāliʻ al-anẓār fī sharḥ Ṭawāliʻ al-anwār. Ṭawāliʻ al-anwār min maṭāliʻ al-anẓār,"مطالع الانظار في شرح طوالع الانوار. طوالع الانوار من مطالع
				الانظار.",,,Maṭāliʻ al-anẓār fī sharḥ Ṭawāliʻ al-anwār. Ṭawāliʻ al-anwār min maṭāliʻ al-anẓār,
Maṭlaʻ al-nayyirayn wa-baʻḍ rasāʼil al-Qīrāṭī,مطلع النيرين وبعض رسائل القيراطي,Maṭlaʻ al-nayyirayn,مطلع النيرين,Maṭlaʻ al-nayyirayn,
Matn Manẓūmat Aḥmad al-Ḥārifī wa-sharḥuhā lil-Shurunbulālī,متن منظومة احمد الحارفي وشرحها للشرنبلالي.,,,Matn Manẓūmat Aḥmad al-Ḥārifī wa-sharḥuhā lil-Shurunbulālī,
Matn shamāʼil al-muṣṭafá ... etc,متن شمائل المصطفى ... الخ.,,,Matn shamāʼil al-muṣṭafá,
Mawḍūʻāt al-ʻulūm,موضوعات العلوم,,,Mawḍūʻāt al-ʻulūm,
Mawḍūʻāt al-ʻulūm ... etc,موضوعات العلوم ... الخ.,,,Mawḍūʻāt al-ʻulūm,
Maẓhar al-taqdīs bi-dhahāb dawlat al-Faransīs /,مظهر التقديس بذهاب دولة الفرنسيس /,Maẓhar al-taqdīs bi-zawāl Dawlat al-Faransīs,مظهر التقديس بزوال دولة الفرنسيس,Maẓhar al-taqdīs bi-zawāl Dawlat al-Faransīs,
Mecmua-yi hadis̲-i arbain,مجموعة حديث اربعين.,,,Mecmua-yi hadis̲-i arbain,
Mirqāt al-lughah,مرقاة اللغة.,,,Mirqāt al-lughah,
Mīrʼāt,ميرءات.,Mirʼāt al-uṣūl,مرآة الاصول,Mirʼāt al-uṣūl,
Mirʼāt bi-sharḥ Mirqāt,مرآة بشرح مرقات,Mirʼāt al-uṣūl,مرآة الاصول,,
Miṣbāḥ fī al-naḥw ... etc,مصباح في النحو ... الخ.,,,Miṣbāḥ fī al-naḥw,
Miscellany,,,,,Miscellany
Missal,,"Missal (Princeton University Library. Manuscript. Garrett MS.
				37)",,,Missal
Missale secundum usum fratrum ordinis beate dei genetricis Marie de Monte Carmeli,,Missal (Carmelite),,Missal,
Mūḍiḥat al-ḥāl fī baʻḍ masmūʻāt al-Dajjāl /,موضحة الحال في بعض مسموعات الدجال /,,,Mūḍiḥat al-ḥāl fī baʻḍ masmūʻāt al-Dajjāl,
Mufīd al-iʻrāb,مفيد الاعراب.,,,Mufīd al-iʻrāb,
Mughnī al-ṭullāb sharḥ Īsāghūjī,مغني الطلاب شرح ايساغوجي.,Mughnī al-ṭullāb,مغني الطلاب,Mughnī al-ṭullāb,
Mukhtār al-Aghānī fī al-akhbār wa-al-tahānī,مختار الاغاني في الاخبار والتهاني.,Kitāb al-Aghānī.,كتاب الاغاني.مختارات,Kitāb al-Aghānī,
Mukhtaṣar al-maʻānī,مختصر المعاني,,,Mukhtaṣar al-maʻānī,
Mukhtaṣar al-Sunan lil-Imām al-ḥāfiẓ Abī Dāwūd Sulaymān ibn al-Ashʻath al-Sijistānī /,مختصر السنن للامام الحافظ ابي داود سليمان بن الاشعث السجستاني /,Mukhtaṣar Sunan Abī Dāʼūd,مختصر سنن ابي داؤود,Mukhtaṣar Sunan Abī Dāʼūd,
Mukhtaṣar sharḥ al-Sujāʻī ʻalá qaṣīdat Imruʼ al-Qays ibn Ḥujr al-Kindī,مختصر شرح السجاعي على قصيدة امرئ القيس بن حجر الکندي.,Sharḥ ʻalá qaṣīdat Imruʼ al-Qays.,شرح على قصيدة امرؤ القيس.,Sharḥ ʻalá qaṣīdat Imruʼ al-Qays,
Mukhtaṣar Tahdhīb al-asmāʼ wa-al-lughāt,مختصر تهذيب الاسماء واللغات.,,,Mukhtaṣar Tahdhīb al-asmāʼ wa-al-lughāt,
Mukhtaṣar ʻulūm al-tafāsīr,مختصر علوم التفاسير.,,,Mukhtaṣar ʻulūm al-tafāsīr,
Mulḥat al-iʻrāb,ملحة الاعراب.,,,Mulḥat al-iʻrāb,
Murshid al-ghināʼ bi-sharḥ amthilat al-Bināʼ ... etc,مرشد الغناء بشرح امثلة البناء ... الخ.,,,Murshid al-ghināʼ bi-sharḥ amthilat al-Bināʼ,
Murshid al-mutaʼahhil ... etc,مرشد المتأهل ... الخ.,,,Murshid al-mutaʼahhil,
Mūsáʹzādah ʻalá al-Jāmī wa-ʻIṣmat,موسى‌زادة على الجامي وعصمت.,Sharḥ al-ḥawāshī ʻalá al-Fawāʼid al-Ḍiyāʼīyah,شرح الحواشي على الفوائد الضيائية,Sharḥ al-ḥawāshī ʻalá al-Fawāʼid al-Ḍiyāʼīyah,
"Musnad Imām Mālik, wa-huwa al-Muwaṭṭah",مسند امام مالك، وهو الموطة.,Muwaṭṭaʼ,موطأ,Muwaṭṭaʼ,
Mutashābihāt al-Qurʼān,متشابهات القرآن.,,,Mutashābihāt al-Qurʼān,
Muṭawwal,مطول.,,,Muṭawwal,
Muṭawwal min al-maʻānī,مطول من المعاني.,Muṭawwal.,مطول.,Muṭawwal,
Muthallath /,,,,Muthallath,
Muẓhir al-barakāt,مظهر البرکات.,,,Muẓhir al-barakāt,
Nashr kabīr,نشر كبير.,Nashr fī al-qirāʼāt al-ʻashr,نشر في القراآت العشر,Nashr fī al-qirāʼāt al-ʻashr,
Natāʼij al-afkār fī sharḥ Iẓhār al-asrār,نتائج الافکار في شرح اظهار الاسرار.,,,Natāʼij al-afkār fī sharḥ Iẓhār al-asrār,
Natījat al-fikr fī madḥ ṭayyib al-dhikr ... etc,نتيجة الفكر في مدح طيب الذكر ... الخ.,,,Natījat al-fikr fī madḥ ṭayyib al-dhikr,
Nayl al-saʻādah,نيل السعادة.,Nayl al-saʻādāt fī ʻilm al-maqūlāt,نيل السعادات في علم المقولات,Nayl al-saʻādāt fī ʻilm al-maqūlāt,
Naẓm al-Ghāyah al-musammá bi-al-Kifāyah,نظم الغاية المسمى بالكفاية.,Kifāyah naẓm al-Ghāyah,کفاية نظم الغاية,Kifāyah naẓm al-Ghāyah,
Niḍām al-gharīb fī al-lughah al-ʻArabīyah /,نضام الغريب في اللغة العربية /,,,Niḍām al-gharīb fī al-lughah al-ʻArabīyah,
Nisbah sharīfah wa-risālah munīfah tashtamilu ʻalá dhikr nasab al-Jarākisah min Quraysh,نسبة شريفة ورسالة منيفة تشتمل على ذکر نسب الجراکسة من قريش.,,,Nisbah sharīfah wa-risālah munīfah tashtamilu ʻalá dhikr nasab al-Jarākisah min Quraysh,
Nukat,نكت.,Nukat ʻalá Qaṭr al-nadá,نکت على قطر الندى,Nukat ʻalá Qaṭr al-nadá,
Nuzʹhat al-khāṭir fī shiʻr sayyidī ʻAbd al-Qādir /,نزهة الخاطر في شعر سيدي عبد القادر /,,,Nuzʹhat al-khāṭir fī shiʻr sayyidī ʻAbd al-Qādir,
Ouidius de remediis amoris ... etc,,,,Ouidius de remediis amoris,
Persian ethical treatise,,,,Ethical treatise,
Portolan atlas,,,,,Atlas
Psalter,,Psalter (Princeton University Library. Garrett MS. 35),,,Psalter
Qalāyid al-jawāhir fī manāqib al-Shaykh ʻAbd al-Qādir,قلايد الجواهر في مناقب الشيخ عبد القادر.,Qalāʼid al-jawāhir fī manāqib al-Shaykh ʻAbd al-Qādir,قلائد الجواهر في مناقب الشيخ عبد القادر,Qalāʼid al-jawāhir fī manāqib al-Shaykh ʻAbd al-Qādir,
Qaṣīdah ... etc,قصيدة ... الخ.,,,Qaṣīdah,
Qaṣīdat al-Burdah ... etc,قصيدة البردة ... الخ.,,,Qaṣīdat al-Burdah,
Qiṭaʻ min al-manẓūmāt al-sabʻ,قطع من المنظومات السبع.,,,Qiṭaʻ min al-manẓūmāt al-sabʻ,
Qiṭaʻ min Anwār al-tanzīl wa-asrār al-taʼwīl,قطع من انوار التنزيل واسرار التأويل,Anwār al-tanzīl wa-asrār al-taʼwīl.,انوار التنزيل واسرار التأويل.,Anwār al-tanzīl wa-asrār al-taʼwīl,
Qiṭʻah min Tafsīr al-Qushayrī min Sūrat Banī Isrāʼīl ilá akhir Sūrat Qad Afllaḥa al-Muʼminūn,"قطعة من تفسير القشيري من سورة بني اسرائيل الى اخر سورة قد افلح
				المؤمنون.",Taysīr fī ʻilm al-tafsīr.,تبسير في علم التفسير.,Taysīr fī ʻilm al-tafsīr,
Qūt al-muḥtāj fī sharḥ al-Minhāj,قوت المحتاج في شرح المنهاج,Qūt al-muḥtāj fī al-Minhāj.,قوت المحتاج في المنهاج.,Qūt al-muḥtāj fī al-Minhāj,
Rabīʻ al-anwār,ربيع الانوار.,,,Rabīʻ al-anwār,
Rayḥānat al-alibbā wa-zahrat al-ḥayāh al-dunyā /,ريحانة الالبا وزهرة الحياة الدنيا /,,,Rayḥānat al-alibbā wa-zahrat al-ḥayāh al-dunyā,
Revelations /,,Revelationes.,,Revelations,
Riḥlat al-Amīr ʻAbd al-Qādir al-Jazāʼirī wa-ʻArūḍ wa-ghayrihi adab,رحلة الامير عبد القادر الجزائري وعروض وغيره ادب.,,,Riḥlat al-Amīr ʻAbd al-Qādir al-Jazāʼirī wa-ʻArūḍ wa-ghayrihi adab,
Riḥlat al-shitāʼ wa-al-ṣayf /,رحلة الشتاء والصيف /,,,Riḥlat al-shitāʼ wa-al-ṣayf,
Risālah al-dāmighah lil-fāsiq ... etc,رسالة الدامغة للفاسق ... الخ..,,,Risālah al-dāmighah lil-fāsiq,
Risālah fī al-ḥisāb ... etc,رسالة في الحساب ... الخ.,,,Risālah fī al-ḥisāb,
Risālah fī al-waqf,رسالة في الوقف.,,,Risālah fī al-waqf,
Risālah fī al-ʻamal bi-dāyirat al-muʻaddal fī al-bilād jamīʻan wa-kayfīyat istikhrāj al-ḥiṣaṣ wa-al-aʻmāl ... etc,"رسالة في العمل بدايرة المعدل في البلاد جميعا وكيفية استخراج الحصص والاعمال
				... الخ.",,,Risālah fī al-ʻamal bi-dāyirat al-muʻaddal fī al-bilād jamīʻan wa-kayfīyat istikhrāj al-ḥiṣaṣ wa-al-aʻmāl,
Risālah fī bayān aqsām al-ḥadīth ... etc,رسالة في بيان اقسام الحديث ... الخ.,,,Risālah fī bayān aqsām al-ḥadīth,
Risālah fī faḍāʼil ahl al-bayt /,رسالة في فضائل اهل البيت /,,,Risālah fī faḍāʼil ahl al-bayt,
Risālah fī rumūz kutub al-ḥadīth /,رسالة في رموز كتب الحديث /,Ḍawʼ al-qabas al-munīr li-rumūz rijāl al-Jāmiʻ al-ṣaghīr,ضوء القبس المنير لرموز رجال الجامع الصغير,Ḍawʼ al-qabas al-munīr li-rumūz rijāl al-Jāmiʻ al-ṣaghīr,
Risālah fī tafsīr baʻḍ al-āyāt al-sharīfah,رسالة في تفسير بعض الايات الشريفة.,,,Risālah fī tafsīr baʻḍ al-āyāt al-sharīfah,
Risālah fī tafsīr qawlihi taʻālá li-dulūk al-shams wa-al-adillah al-handasīyah wa-fīhā samt al-qiblah,"رسالة في تفسير قوله تعالى لدلوك الشمس والادلة الهندسية وفيها سمت
				القبلة.",,,Risālah fī tafsīr qawlihi taʻālá li-dulūk al-shams wa-al-adillah al-handasīyah wa-fīhā samt al-qiblah,
Risālah fī tafsīr qawlihi taʻālá satajidūna ākhirīn yurīdūna an yaʼmanūkum ilakh,رسالة في تفسير قول تعالى ستجدون آخرين يريدون ان يأمنوكم الخ.,,,Risālah fī tafsīr qawlihi taʻālá satajidūna ākhirīn yurīdūna an yaʼmanūkum ilakh,
Risālah fī ʻalāmāt al-sāʻah,رسالة في علامات الساعة.,Kharīdat al-ʻajāʼib wa-farīdat al-gharāʼib.,خريدة العجائب وفريدة الغرائب.,Kharīdat al-ʻajāʼib wa-farīdat al-gharāʼib,
Risālah laṭīfah fī sīrat Nabīnā Muḥammad /,رسالة لطيفة في سيرة نبينا محمد /,Risālah fī sīrat al-Nabī,رسالة في سيرة النبي,Risālah fī sīrat al-Nabī,
Risālah lil-tawfīq bayna āyah Qurʼānīyah wa-ḥadīth Nabawī,رسالة للتوفيق بين آية قرآنية وحديث نبوي,,,Risālah lil-tawfīq bayna āyah Qurʼānīyah wa-ḥadīth Nabawī,
Risālah tashtamilu ʻalá majālis sanad al-Imām al-Bukhārī,رسالة تشتمل على مجالس سند الامام البخاري.,,,Risālah tashtamilu ʻalá majālis sanad al-Imām al-Bukhārī,
Risālah ʻalá faḍl al-dāʼir,رسالة على فضل الدائر.,,,Risālah ʻalá faḍl al-dāʼir,
Risālatān fī irth dhawī al-arḥām,رسالتان في ارث ذوي الارحام.,Works.,اعمال.,Works,
Risālat Bayān ghurbat al-Islām bi-wāsiṭat ṣinfay al-mutafaqqihah wa-al-mutafaqqirah min ahl Miṣr wa-al-Shām wa-mā yalīhima min bilād al-aʻjām,"رسالة بيان غربة الاسلام بواسطة صنفي المتفقهة والمتفقرة من اهل مصر والشام
				وما يليهم من بلاد الاعجام.","Bayān ghurbat al-Islām bi-wāsiṭat ṣinfay al-mutafaqqihah
				wa-al-mutafaqqirah min ahl Miṣr wa-al-Shām wa-mā yalīhima min bilād
				al-aʻjām","بيان غربة الاسلام بواسطة صنفي المتفقهة والمتفقرة من اهل مصر والشام وما
				يليهما من بلاد الاعجام",Bayān ghurbat al-Islām bi-wāsiṭat ṣinfay al-mutafaqqihah wa-al-mutafaqqirah min ahl Miṣr wa-al-Shām wa-mā yalīhima min bilād al-aʻjām,
Risālat Sharḥ al-Farāʼiḍ. Sayf ṣārim ʻalá Risālat Abū al-Saʻūd fī waqf al-nuqūd / lil-Birkawī,"رسالة شرح الفرائض. سيف صارم على رسالة ابو السعود في وقف النقود /
				للبركوي.",,,Risālat Sharḥ al-Farāʼiḍ. Sayf ṣārim ʻalá Risālat Abū al-Saʻūd fī waqf al-nuqūd,
Rūḥ al-shurūḥ,روح الشروح.,,,Rūḥ al-shurūḥ,
Rumūz al-kunūz alladhī baraza ibrīzihi aḥsan burūz /,رموز الكنوز الذي برز ابريزه احسن بروز /,Rumūz al-kunūz,رموزالکنوز,Rumūz al-kunūz,
Safīnah /,سفينة /,,,Safīnah,
Safīnat al-mulk wa-nafīsat al-fulk,سفينة الملك ونفيسة الفلك.,,,Safīnat al-mulk wa-nafīsat al-fulk,
Safīnat al-najāh muḥtawiyah ʻalá biḍāʻah muzjāh min al-fawāyid al-muntaqāh,سفينة النجاه محتوية على بضاعة مزجاه من الفوايد المنتقاة.,,,Safīnat al-najāh muḥtawiyah ʻalá biḍāʻah muzjāh min al-fawāyid al-muntaqāh,
Ṣaḥīḥ,صحيح :,Jāmiʻ al-ṣaḥīḥ.,جامع الصحيح.,Jāmiʻ al-ṣaḥīḥ,
Sālikūtī ʻalá al-Muṭawwal,سالكوتى على المطول.,Ḥāshiyah ʻalá al-Muṭawwal.,حاشية على المطول.,Ḥāshiyah ʻalá al-Muṭawwal,
Sanad,سند.,,,Sanad,
Sayyid Sharīf ʻalá al-Kashshāf,سيد شريف على الكشاف.,Ḥāshiyah ʻalá tafsīr al-Kashshāf,حاشية على تفسير الکشاف,Ḥāshiyah ʻalá tafsīr al-Kashshāf,
Sayyid ʻalá al-Muṭawwal,سيد على المطول,Ḥāshiyah ʻalá al-Muṭawwal.,حاشية على المطول.,Ḥāshiyah ʻalá al-Muṭawwal,
