title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,authorized_label
al-Risālah al-jiddīyah li-Ibn Zaydūn al-Andulusī wa-sharḥuhā /,الرسالة الجدية لابن زيدون الاندلسي وشرحها /,,,Risālah al-jiddīyah li-Ibn Zaydūn al-Andulusī wa-sharḥuhā,
al-Ṣaḥīfah al-ʻabqarīyah fī al-uṣūl al-manṭiqīyah,الصحيفة العبقرية في الاصول المنطقية.,,,Ṣaḥīfah al-ʻabqarīyah fī al-uṣūl al-manṭiqīyah,
al-Sāmi fī al-asāmī,السامي في الاسامي.,,,Sāmi fī al-asāmī,
al-Samīr al-anīs idha ghuliba al-muḥibb wa-al-jalīs,السمير الانيس اذ غلب المحب والجليس :,,,Samīr al-anīs idha ghuliba al-muḥibb wa-al-jalīs,
al-Ṣuḥbah /,الصحبة /,Munīf al-rutbah li-man thabata la-hu sharīf al-ṣuḥbah,منيف الرتبة لمن ثبت له شريف الصحبة,Munīf al-rutbah li-man thabata la-hu sharīf al-ṣuḥbah,
"al-Sunan al-māthūrah ʻan Rasūl Allāh, ṣallá Allāh ʻalayhi wa-salam /",السنن الماثورة عن رسول الله، صلى الله عليه وسلم /,Mujtabá,مجتبى,Mujtabá,
al-Taḥdīth ʻan nāzilat al-ḥadīth,التحديث عن نازلة الحديث.,,,Taḥdīth ʻan nāzilat al-ḥadīth,
al-Takhmīs /,التخميس /,,,Takhmīs,
al-Tanqīḥ wa-ghayrih,التنقيح وغيره.,,,Tanqīḥ wa-ghayrih,
al-Tarjamah al-ʻabqarīyah wa-al-ṣawlah al-ḥaydarīyah lil-Tuḥfah al-Ithnay ʻAsharīyah,الترجمة العبقرية والصولة الحيدرية للتحفة الاثني عشرية.,Tuḥfah-ʼi Is̲nay ʻAsharīyah.,تحفۀ اثنى عشرية.,Tuḥfah-ʼi Is̲nay ʻAsharīyah,
al-Taṣānīf fī iṣṭilāḥ ahl al-athar ... etc,التصانيف في اصطلاح اهل الاثر ... الخ.,,,Taṣānīf fī iṣṭilāḥ ahl al-athar,
al-Tāsiʻ min Kitāb al-Bukhārī,التاسع من كتاب البخاري.,Jāmiʻ al-ṣaḥīḥ.,جامع الصحيح.,Jāmiʻ al-ṣaḥīḥ,
al-Tawḍīḥ fī ḥall ghawāmiḍ al-Tanqīḥ,التوضيح في حل غوامض التنقيح.,,,Tawḍīḥ,
