row_index,workflow_history,language_as_recorded,language_code,authorized_label,structured_value
103,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.856Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.949Z",Persian with Arabic source-text.,per|ara,Persian|Arabic,Q9168|Q13955
104,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.856Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.949Z",Persian with Arabic source-text.,per,Persian|Arabic,Q9168|Q13955
105,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.856Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.307Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.949Z",Persian with source-text in Arabic; some glosses and notes in Chinese.,per|chi,Persian|Arabic|Chinese,Q9168|Q13955|Q7850
106,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.856Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.308Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.949Z",Persian with two pages in Arabic (f. 1v-2r).,per,Persian|Arabic,Q9168|Q13955
107,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.856Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.308Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.949Z",Persian with two pages in Arabic (f. 23r/v).,per,Persian|Arabic,Q9168|Q13955
108,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.856Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.308Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.949Z",Persian.,per,Persian,Q9168
109,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.856Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.308Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.949Z",Spanish,,Spanish,Q1321
110,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.857Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.308Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.949Z",Spanish.,spa,Spanish,Q1321
111,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.857Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.308Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.950Z",Spanish|Latin|Latin,,Latin|Spanish,Q397|Q1321
112,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.602Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.857Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.308Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.950Z",Spanish|Spanish,,Spanish,Q1321
