File,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
20240903-titles-indiana-mets-legacy.csv,Letter to Eusebius,,,,,,Letter to Eusebius,"Q1410"
20240903-titles-indiana-mets-legacy.csv,Epistle,,,,,,Epistles,"Q1466"
20240903-titles-indiana-mets-legacy.csv,Letter to Aurelius,,,,,,Letter to Aurelius,"Q1357"
20240903-titles-indiana-mets-legacy.csv,Letter to Bassula,,,,,,Letter to Bassula,"Q1369"
20240903-titles-indiana-mets-legacy.csv,Dialogi,,,,,,Dialogue,"Q17587"
20240903-titles-indiana-mets-legacy.csv,Historia Francorum extracts,,,,,,Historia Francorum,"Q1373"
20240903-titles-indiana-mets-legacy.csv,History,,,,,,History,"Q1444"
20240903-titles-indiana-mets-legacy.csv,De Virtutibus S. Martini,,,,,,De virtutibus sancti Martini,"Q1356"
20240903-titles-indiana-mets-legacy.csv,"Book I, 4,5,6",,,,,,,
20240903-titles-indiana-mets-legacy.csv,Historia Francorum extract:Life of Saint Brictius of Tours,,,,,,Historia Francorum,"Q1373"
20240903-titles-indiana-mets-legacy.csv,Tituli Metrici de S.o Martino or Sylloge Epigraphica Turonensis de Sancto Martino,,,,,,Sylloge Epigraphica Turonensis de Sancto Martino,"Q1420"
20240903-titles-indiana-mets-legacy.csv,Verses about Saint Martin,,,,,,Poems on Saint Martin,"Q1385"
20240903-titles-indiana-mets-legacy.csv,De Trinitate,,,,,,De Trinitate,"Q1383"
20240903-titles-indiana-mets-legacy.csv,Formata ut conmendata,,,,,,,
20240903-titles-indiana-mets-legacy.csv,Letters of introduction,,,,Letters,Q5068,,
20240903-titles-indiana-mets-legacy.csv,Office of Saint Emmeram,,,,Office,Q1467,,
20240903-titles-indiana-mets-legacy.csv,Liturgical Office,,,,,,Liturgy,"Q1325"
20240903-titles-indiana-mets-legacy.csv,De origine rerum,,,,,,De origine rerum,"Q1436"
20240903-titles-indiana-mets-legacy.csv,Rabanus de origine rerum,,,,,,De rerum naturis,"Q1477"
20240903-titles-indiana-mets-legacy.csv,"Bible, Tours",,,,,,Bible,"Q661"
20240903-titles-indiana-mets-legacy.csv,Inscription,,,,Inscription,Q39231,,
20240903-titles-indiana-mets-legacy.csv,Compendium in Cantica canticorum,,,,,,Compendium in Cantica canticorum,"Q1468"
20240903-titles-indiana-mets-legacy.csv,Commentary,,,,,,Commentary,"Q1376"
20240903-titles-indiana-mets-legacy.csv,Homilarium,,,,,,Homiliary,"Q1338"
20240903-titles-indiana-mets-legacy.csv,Homilia Bede in fest Annunciationis,,,,Homilies;Works of Bede,Q1246;Q39763,,
20240903-titles-indiana-mets-legacy.csv,Homily,,,,,,Homilies,"Q1246"
20240903-titles-indiana-mets-legacy.csv,Massbook,,,,,,Massbook,"Q1386"
20240903-titles-indiana-mets-legacy.csv,Lives of the Saints,,,,,,Lives of the Saints,"Q1483"
20240903-titles-indiana-mets-legacy.csv,III. KLS. Augusti. Passio,,,,,,,
20240903-titles-indiana-mets-legacy.csv,Saints lives,,,,,,Lives of the Saints,"Q1483"
20240903-titles-indiana-mets-legacy.csv,Excerptiones de arte grammatica,,,,Grammatical text,Q6010,,
20240903-titles-indiana-mets-legacy.csv,Grammar,,,,Grammatical text,Q6010,,
20240903-titles-indiana-mets-legacy.csv,Psalter,,,,,,Psalter,"Q660"
20240903-titles-indiana-mets-legacy.csv,Sidonius Apollinaris to Agricola,,,,,,,
20240903-titles-indiana-mets-legacy.csv,Letter,,,,,,Letter,"Q1454"
20240903-titles-indiana-mets-legacy.csv,De vera religione,,,,,,De vera religione,"Q1421"
20240903-titles-indiana-mets-legacy.csv,De verbis apostolis,,,,,,De verbis apostolis,"Q1363"
20240903-titles-indiana-mets-legacy.csv,De heresis adversus chirstainum fidem,,,,,,De heresis adversus christianum fidem,"Q1473"
20240903-titles-indiana-mets-legacy.csv,De haeresibus,,,,,,De haeresibus,"Q1323"
20240903-titles-indiana-mets-legacy.csv,Quotations,,,,Quotations,Q18620,,
20240903-titles-indiana-mets-legacy.csv,"Bible, Atlantic Bible",,,,,,Bible,"Q661"
20240903-titles-indiana-mets-legacy.csv,Alphabet,,,,Alphabet,Q39603,,
20240903-titles-indiana-mets-legacy.csv,De arca Noe morali et mystica,,,,,,De arca Noe,"Q1401"
20240903-titles-indiana-mets-legacy.csv,hugonis canonici sancti victoris parisiensis de archa noe pro archa sapientiae cum archa ecclesiae de arch matris gratiae liber primus incipit,,,,,,De arca Noe,"Q1401"
