row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
168,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993601Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.544162Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695276Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270913Z","Kâtip Çelebi, 1609-1657",author,كاتب چلبي,,human,Kâtip Çelebi,Q390123,DSNAME6808,Q54789,,,,
169,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993604Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.545858Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695284Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270917Z","Kâtip Çelebi, 1609-1657",author,كاتب چلبي، 1609-1657,,human,Kâtip Çelebi,Q390123,DSNAME6808,Q54789,,,,
170,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993607Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.546214Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695293Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270925Z","İsmail Ankaravî, -1631 or 1632",author,اسماعيل انقروي,,human,İsmail Ankaravî,Q19613800,DSNAME6319,Q49190,,,,
171,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993616Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.546219Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695304Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270929Z",Edhem,author,ادهم,,human,Edhem,Q130374989,DSNAME6828,Q54809,,,,
172,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993619Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.546225Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695313Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270936Z","Yahyâ Bey, -1582",author,يحيى بك، -1582,,human,Yahya bey Dukagjini,Q6096434,DSNAME6718,Q54699,,,,
173,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993623Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.546229Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695327Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270941Z","Avicenna, 980-1037",author,"ابن سينا, 980-1037",,,,,,,human,Avicenna,Q8011,Q2845
174,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993628Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.546231Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695336Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270945Z","ʻAbdurraḥman ʻAbdī, -1692",author,عبد الرحمن عبدي,,human,Abdi Paixà,Q1584075,DSNAME6829,Q54810,,,,
175,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993631Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.546235Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695345Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270955Z","Kemalpaşazade, 1468 or 1469-1534",author,كمال پاشا زاده، 1468 or 1469-1534,http://id.loc.gov/authorities/names/n85370452 http://id.loc.gov/authorities/names/n85370452 http://viaf.org/viaf/sourceID/LC%7cn85370452,,,,,,human,Ibn Kemal,Q449254,Q12483
176,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993638Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.546239Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695356Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270960Z","Ayn-i Ali, active 17th century",author,عين على,,human,Ayn-i Ali,Q130374990,DSNAME6830,Q54811,,,,
177,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.993641Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.546241Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.695365Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.270965Z","Baki, 1526-1600",author,باقي,,,,,,,human,Bâkî,Q852738,Q18741
